orderid,productid,unitprice,quantity,discount
10801,29,123.79,20,0.0
10964,18,62.5,6,0.0
10604,48,12.75,6,0.0
10628,1,18.0,25,0.0
10319,28,36.4,14,0.0
10740,56,38.0,14,0.0
10875,49,20.0,15,0.0
10672,71,21.5,12,0.0
10985,32,32.0,35,0.0
10747,41,9.65,35,0.0
10416,19,7.3,20,0.0
10827,39,18.0,21,0.0
10763,21,10.0,40,0.0
10273,40,14.7,60,0.0
10691,1,18.0,30,0.0
10751,30,25.89,30,0.0
10532,66,17.0,24,0.0
10362,51,42.4,20,0.0
10393,2,15.2,25,0.0
11039,49,20.0,60,0.0
10390,31,10.0,60,0.0
10533,72,34.8,24,0.0
10966,56,38.0,12,0.0
11007,8,40.0,30,0.0
10576,31,12.5,20,0.0
10861,18,62.5,20,0.0
10575,72,34.8,30,0.0
10861,21,10.0,40,0.0
10774,31,12.5,2,0.0
10527,4,22.0,50,0.0
10254,74,8.0,21,0.0
10303,68,10.0,15,0.0
10943,46,12.0,15,0.0
10861,17,39.0,42,0.0
10621,71,21.5,15,0.0
10342,31,10.0,56,0.0
10425,76,14.4,20,0.0
10287,34,11.2,20,0.0
10701,76,18.0,35,0.0
11055,25,14.0,15,0.0
10747,69,36.0,30,0.0
11077,52,7.0,2,0.0
10319,17,31.2,8,0.0
11039,35,18.0,24,0.0
10889,11,21.0,40,0.0
10540,3,10.0,60,0.0
10302,28,36.4,28,0.0
10511,7,30.0,50,0.0
10682,66,17.0,4,0.0
10433,56,30.4,28,0.0
10651,19,9.2,12,0.0
10535,57,19.5,5,0.0
11012,60,34.0,36,0.0
10326,75,6.2,50,0.0
10306,53,26.2,10,0.0
10524,10,31.0,2,0.0
10998,24,4.5,12,0.0
11057,70,15.0,3,0.0
10960,41,9.65,24,0.0
11062,53,32.8,10,0.0
10443,11,16.8,6,0.0
10643,28,45.6,15,0.0
10546,35,18.0,30,0.0
10794,14,23.25,15,0.0
10524,30,25.89,10,0.0
10776,45,9.5,27,0.0
10479,59,44.0,60,0.0
10512,24,4.5,10,0.0
10861,33,2.5,35,0.0
10370,64,26.6,30,0.0
10990,61,28.5,66,0.0
11049,12,38.0,4,0.0
10454,33,2.0,20,0.0
10725,41,9.65,12,0.0
10612,60,34.0,40,0.0
10523,41,9.65,6,0.0
10762,47,9.5,30,0.0
10700,1,18.0,5,0.0
10528,33,2.5,8,0.0
10498,40,18.4,5,0.0
10673,43,46.0,6,0.0
10838,1,18.0,4,0.0
10402,23,7.2,60,0.0
10946,77,13.0,40,0.0
10467,24,3.6,28,0.0
11065,54,7.45,20,0.0
10656,44,19.45,28,0.0
10998,75,7.75,30,0.0
10933,53,32.8,2,0.0
10670,75,7.75,25,0.0
10512,60,34.0,12,0.0
10937,28,45.6,8,0.0
10336,4,17.6,18,0.0
11009,24,4.5,12,0.0
10399,77,10.4,14,0.0
10807,40,18.4,1,0.0
10684,60,34.0,30,0.0
10273,33,2.0,20,0.0
10434,11,16.8,6,0.0
10975,75,7.75,10,0.0
10347,40,14.7,4,0.0
10928,47,9.5,5,0.0
