name,code,capital,province,area,population
Belgium,B,Brussels,Brabant,30510.0,10170241
Belarus,BY,Minsk,Belarus,207600.0,10415973
Czech Republic,CZ,Prague,Praha,78703.0,10321120
Germany,D,Berlin,Berlin,356910.0,83536115
Spain,E,Madrid,Madrid,504750.0,39181114
France,F,Paris,Ile de France,547030.0,58317450
United Kingdom,GB,London,Greater London,244820.0,58489975
Greece,GR,Athens,Attiki,131940.0,10538594
Hungary,H,Budapest,Budapest (munic.),93030.0,10002541
Italy,I,Rome,Lazio,301230.0,57460274
Netherlands,NL,Amsterdam,Noord Holland,37330.0,15568034
Poland,PL,Warsaw,Warszwaskie,312683.0,38642565
Russia,R,Moscow,Moskva,17075200.0,148178487
Romania,RO,Bucharest,Bucuresti,237500.0,21657162
Turkey,TR,Ankara,Ankara,780580.0,62484478
Ukraine,UA,Kiev,Kyyivska,603700.0,50864009
Tonga,TO,Nukualofa,Tonga,748.0,106466
Cote dIvoire,CI,Yamoussoukro,Cote dIvoire,322460.0,14762445
Niue,NIUE,Alofi,Niue,260.0,1398
Gibraltar,GBZ,Gibraltar,Gibraltar,6.5,28765
Holy See,V,Vatican City,Holy See,0.44,840
Suriname,SME,Paramaribo,Suriname,163270.0,436418
Colombia,CO,Bogota,"Santa Fe de Bogota, DC",1138910.0,36813161
Gambia,WAG,Banjul,Gambia,11300.0,1204984
Bangladesh,BD,Dhaka,Bangladesh,144000.0,123062800
Macedonia,MK,Skopje,Macedonia,25333.0,2104035
Cook Islands,COOK,Avarua,Cook Islands,240.0,11870
Cuba,C,Havana,Ciudad de la Habana,110860.0,10951334
Kyrgyzstan,KGZ,Bishkek,Kyrgyzstan,198500.0,4529648
Benin,BEN,Porto-Novo,Benin,112620.0,5709529
Tajikistan,TAD,Dushanbe,Dushanbe (munic.),143100.0,5916373
Madagascar,RM,Antananarivo,Antananarivo,587041.0,13670507
Hong Kong,HONX,Hong Kong,Hong Kong,1092.0,7055071
Kosovo,KOS,Pristina,Kosovo,10887.0,1804838
Sao Tome and Principe,STP,Sao Tome,Sao Tome and Principe,1001.0,144128
China,TJ,Beijing,Beijing (munic.),9596960.0,1210004956
Nigeria,WAN,Abuja,Nigeria,923770.0,103912489
Ethiopia,ETH,Addis Ababa,Ethiopia,1127130.0,57171662
Kenya,EAK,Nairobi,Nairobi,582650.0,28176686
Bolivia,BOL,La Paz,Bolivia,1098580.0,7165257
Norway,N,Oslo,Oslo,324220.0,4383807
Slovenia,SLO,Ljubljana,Slovenia,20256.0,1951443
Peru,PE,Lima,Lima,1285220.0,24523408
Congo,RCB,Brazzaville,Congo,342000.0,2527841
Nicaragua,NIC,Managua,Nicaragua,129494.0,4272352
Wallis and Futuna,WAFU,Mata-Utu,Wallis and Futuna,274.0,15289
Argentina,RA,Buenos Aires,Distrito Federal,2766890.0,34672997
Israel,IL,Jerusalem,Central,20770.0,5421995
French Guiana,FGU,Cayenne,French Guiana,91000.0,151187
Anguilla,AXA,The Valley,Anguilla,102.0,14436
Mauritius,MS,Port Louis,Mauritius,2040.0,1140256
Mauritania,RIM,Nouakchott,Mauritania,1030700.0,2336048
Cameroon,CAM,Yaounde,Centre,475440.0,14261557
Saudi Arabia,SA,Riyadh,Saudi Arabia,1960580.0,19409058
Saint Kitts and Nevis,KN,Basseterre,Saint Kitts and Nevis,269.0,41369
French Polynesia,FPOL,Papeete,French Polynesia,4167.0,287032
Pitcairn Islands,PITC,Adamstown,Pitcairn Islands,47.0,48
Papua New Guinea,PNG,Port Moresby,Papua New Guinea,461690.0,4394537
Taiwan,RC,Taipei,Taiwan,36179.0,21465881
Marshall Islands,MH,Majuro,Marshall Islands,181.3,58363
Aruba,ARU,Oranjestad,Aruba,193.0,103065
Tanzania,EAT,Dar es Salaam,Daressalam,945090.0,29058470
Nepal,NEP,Kathmandu,Nepal,140800.0,22094033
El Salvador,ES,San Salvador,El Salvador,21040.0,5828987
Man,GBM,Douglas,Man,588.0,73837
Virgin Islands,VIRG,Charlotte Amalie,Virgin Islands,352.0,97120
Senegal,SN,Dakar,Dakar,196190.0,9092749
Moldova,MD,Chisinau,Moldova,33700.0,4463847
Guatemala,GCA,Guatemala City,Guatemala,108890.0,11277614
Somalia,SP,Mogadishu,Somalia,637660.0,9639151
Uzbekistan,UZB,Tashkent,Toshkent,447400.0,23418381
Vietnam,VN,Hanoi,Vietnam,329560.0,73976973
South Korea,ROK,Seoul,South Korea,98480.0,45482291
Saint Martin,SMAR,Marigot,Saint Martin,54.0,29820
Iceland,IS,Reykjavik,Iceland,103000.0,270292
Monaco,MC,Monaco,Monaco,1.9,31719
Panama,PA,Panama City,Panama,78200.0,2655094
Georgia,GE,Tbilisi,Georgia,69700.0,5219810
Micronesia,FSM,Palikir,Micronesia,702.0,125377
Namibia,NAM,Windhoek,Namibia,825418.0,1677243
Bosnia and Herzegovina,BIH,Sarajevo,Bosnia and Herzegovina,51233.0,2656240
Canada,CDN,Ottawa,Ontario,9976140.0,28820671
Belize,BZ,Belmopan,Belize,22960.0,219296
