sea,country,province
Pacific Ocean,TO,Tonga
Mediterranean Sea,GR,Ionioi Nisoi
Gulf of Bengal,BD,Bangladesh
Sulawesi Sea,RI,Indonesia
Caribbean Sea,PA,Colon
Indian Ocean,AUS,Victoria
Pacific Ocean,USA,Washington
Norwegian Sea,N,Finnmark
Pacific Ocean,MEX,Baja California Sur
The Channel,GB,West Sussex
Pacific Ocean,J,Ibaraki
Norwegian Sea,GB,Shetland
Mediterranean Sea,ET,El Iskandariya
Baltic Sea,R,Leningradskaya oblast
Red Sea,ET,El Bahr el Ahmar
Gulf of Mexico,C,Ciudad de la Habana
Pacific Ocean,J,Chiba
North Sea,GB,Kent
Sea of Azov,R,Rostovskaya oblast
Atlantic Ocean,E,Canary Islands
Sea of Japan,R,Sakhalinskaya oblast
Gulf of Oman,PK,Pakistan
Pacific Ocean,RI,Indonesia
Atlantic Ocean,ANG,Zaire
Atlantic Ocean,SPMI,Saint Pierre and Miquelon
Sunda Sea,TL,Timor-Leste
Sea of Japan,J,Tottori
Black Sea,UA,Mykolayivska
Pacific Ocean,PE,Arequipa
North Sea,N,Hordaland
Caribbean Sea,MEX,Quintana Roo
Caribbean Sea,HCA,Gracias a Dios
Norwegian Sea,IS,Iceland
Pacific Ocean,MEX,Guerrero
Sea of Japan,J,Hyogo
Sea of Okhotsk,R,Kamchatskaya oblast
Atlantic Ocean,C,Sancti Spiritus
East China Sea,TJ,Zhejiang
Gulf of Bengal,CL,Sri Lanka
Atlantic Ocean,BR,Rio Grande do Sul
Skagerrak,DK,Denmark
Andaman Sea,MYA,Yangon
Atlantic Ocean,P,Lisbon
Sea of Japan,ROK,South Korea
Atlantic Ocean,USA,New Jersey
Atlantic Ocean,WL,Saint Lucia
Atlantic Ocean,BVIR,British Virgin Islands
Pacific Ocean,PE,Lima
Mediterranean Sea,GR,Notion Aiyaion
Persian Gulf,UAE,Ras al Khaymah
Sea of Japan,J,Yamagata
Mediterranean Sea,HR,Croatia
Mediterranean Sea,TR,Aydin
Mediterranean Sea,ET,El Daqahliya
North Sea,GB,Grampian
Atlantic Ocean,GUY,Guyana
Pacific Ocean,MV,Maldives
Pacific Ocean,J,Aichi
The Channel,GB,Hampshire
Irish Sea,IRL,Ireland
Pacific Ocean,MEX,Sonora
Gulf of Bengal,IND,Orissa
Atlantic Ocean,P,Algarve
Mediterranean Sea,IL,Tel Aviv
Sea of Japan,J,Shimane
Mediterranean Sea,MNE,Montenegro
Skagerrak,N,Oestfold
North Sea,N,Telemark
Atlantic Ocean,GBZ,Gibraltar
Mediterranean Sea,I,Abruzzo
Atlantic Ocean,RA,Rio Negro
Sea of Japan,J,Ishikawa
Atlantic Ocean,USA,North Carolina
Atlantic Ocean,GNB,Guinea-Bissau
Mediterranean Sea,F,Languedoc Roussillon
Black Sea,GE,Georgia
Mediterranean Sea,GBZ,Gibraltar
Pacific Ocean,J,Kochi
Atlantic Ocean,AXA,Anguilla
