island,country,province
Taiwan,RC,Taiwan
Great Britain,GB,Hertfordshire
Gotland,S,Gotland
Trinidad,TT,Trinidad and Tobago
Oahu,USA,Hawaii
Oesel,EW,Estonia
Tristan Da Cunha,HELX,Saint Helena
Cuba,C,Guantanamo
Greenland,GROX,Greenland
East Falkland,FALK,Falkland Islands
Hierro,E,Canary Islands
Ponape,FSM,Micronesia
Mohilla,COM,Comoros
Hispaniola,DOM,Dominican Republic
Honshu,J,Hyogo
Honshu,J,Okayama
Arran,GB,Strathclyde
Okinawa,J,Okinawa
Great Britain,GB,Caerphilly
New Guinea,RI,Indonesia
Savaii,WS,Samoa
Honshu,J,Gifu
Great Britain,GB,Berkshire
Madagaskar,RM,Mahajanga
Isla da Ometepe,NIC,Nicaragua
Principe,STP,Sao Tome and Principe
Baltrum,D,Niedersachsen
Kauai,USA,Hawaii
Great Britain,GB,West Yorkshire
Honshu,J,Chiba
Great Britain,GB,Cumbria
Rota,NMIS,Northern Mariana Islands
Rugen,D,Mecklenburg Vorpommern
Olkhon,R,Rep. of Buryatiya
