city,province,country,river,lake,sea
Oral,Batys Qazaqstan,KAZ,Ural,,
Omdurman,al Khartum,SUD,Blue Nile,,
Itajai,Santa Catarina,BR,,,Atlantic Ocean
Montevideo,Uruguay,ROU,,,Atlantic Ocean
Hammerfest,Finnmark,N,,,Barents Sea
Buenos Aires,Distrito Federal,RA,Parana,,
Al Hillah,Babil,IRQ,Euphrat,,
Bari,Puglia,I,,,Mediterranean Sea
Santo Domingo,Dominican Republic,DOM,,,Caribbean Sea
El Arish,Sina ash Shamaliyah,ET,,,Mediterranean Sea
Tallinn,Estonia,EW,,,Baltic Sea
Xianning,Hubei,TJ,Jangtse,,
Kiel,Schleswig Holstein,D,,,Baltic Sea
Aarau,AG,CH,Aare,,
Recife,Pernambuco,BR,,,Atlantic Ocean
Huangshi,Hubei,TJ,Jangtse,,
Boma,Bas Zaire,ZRE,Zaire,,
Honiara,Solomon Islands,SLB,,,Pacific Ocean
Allahabad,Uttar Pradesh,IND,Ganges,,
Turku,Turku-Pori,SF,,,Baltic Sea
Varanasi,Uttar Pradesh,IND,Ganges,,
Edmonton,Alberta,CDN,Saskatchewan River,,
Galati,Galati,RO,Donau,,
Bandundu,Bandundu,ZRE,Kasai,,
Astrakhan,Astrakhanskaya oblast,R,Volga,,
Knoxville,Tennessee,USA,Tennessee,,
Bridgetown,Barbados,BDS,,,Atlantic Ocean
Kingston,Jamaica,JA,,,Caribbean Sea
Takamatsu,Kagawa,J,,,Pacific Ocean
La Spezia,Liguria,I,,,Mediterranean Sea
Barrancabermeja,Santander del Sur,CO,Rio Magdalena,,
Wroclaw,Wroclawskie,PL,Oder,,
Natal,Rio Grande do Norte,BR,,,Atlantic Ocean
Kansas City,Kansas,USA,Missouri,,
Setubal,Setubal,P,,,Atlantic Ocean
Diwaniyah,Al Qadisiyah,IRQ,Euphrat,,
Port Blair,Andaman and Nicobar Is.,IND,,,Gulf of Bengal
Nantong,Jiangsu,TJ,Jangtse,,
Kyzyl,Rep. of Tyva,R,Jenissej,,
Victoria,British Columbia,CDN,,,Pacific Ocean
Espoo,Uusimaa,SF,,,Baltic Sea
Jinan,Shandong,TJ,Hwangho,,
Kaluga,Kaluzhskaya oblast,R,Oka,,
Sharjah,Ash Shariqah,UAE,,,Persian Gulf
Oran,Algeria,DZ,,,Mediterranean Sea
Offenbach am Main,Hessen,D,Main,,
Lausanne,VD,CH,,Lac Leman,
Maputo,Maputo (munic.),MOC,,,Indian Ocean
Malakal,Aali an Nil,SUD,White Nile,,
Iquitos,Loreto,PE,Amazonas,,
Palermo,Sicilia,I,,,Mediterranean Sea
Wad Madani,Nil al Asraq,SUD,Blue Nile,,
Gauhati,Assam,IND,Brahmaputra,,
Bratsk,Irkutskaya oblast,R,Angara,,
El Uqsur,Qena,ET,Nile,,
Uruguaiana,Rio Grande do Sul,BR,Uruguay,,
St. Louis,Missouri,USA,Missouri,,
