country,organization,type
RL,IBRD,member
P,IEA,member
RCB,UNESCO,member
SME,IADB,member
RMM,UNESCO,member
PL,ZC,member
IR,ILO,member
GB,IFC,member
HR,UPU,member
HCA,WFTU,member
AXA,OECS,associate member
MNE,IOM,member
JOR,OIC,member
SK,UNCRO,member
IL,IFC,member
VN,IAEA,member
NZ,WHO,member
NIC,WToO,member
CI,FZ,member
E,UNCRO,member
TM,WHO,member
FPOL,WMO,member
IR,ITU,member
IRQ,AL,member
LAO,WFTU,member
NEP,UN,member
MNE,UN,member
SD,FAO,member
GR,UPU,member
ER,ICAO,member
WAN,PCA,member
M,FAO,member
YE,AL,member
TL,ILO,member
WAG,ACP,member
MH,IAEA,member
PL,ICFTU,member
TCH,ICAO,member
WAG,ILO,member
BS,ACP,member
EAK,UNPREDEP,member
AUS,UN,member
MEX,ILO,member
BY,OSCE,member
TCH,IBRD,member
E,WFTU,member
EC,PCA,member
TM,EBRD,member
MOC,ECA,member
TO,IFAD,Category III
OM,UN,member
ARM,WMO,member
NL,UNCRO,member
PA,Inmarsat,member
YE,NAM,member
SN,IFC,member
TCH,ICFTU,member
RI,UNIDO,member
MNTS,UPU,member
R,CCC,member
BOL,WIPO,member
USA,WHO,member
J,WHO,member
G,UDEAC,member
J,UNHCR,member
B,UNMOGIP,member
CZ,NSG,member
N,ICRM,National Society
F,UPU,member
ET,UNOMIL,member
MH,ESCAP,member
DZ,FAO,member
NIC,G-77,member
KWT,UPU,member
TO,FAO,member
FJI,UNIKOM,member
KWT,IFAD,Category II
ZRE,IMF,member
H,G-9,member
PA,IDA,Part II
IS,EFTA,member
