abbreviation,name,city,country,province,established
ICRM,International Red Cross and Red Crescent Movement,Geneva,CH,GE,1928-01-01
IFC,International Finance Corporation,Washington,USA,Distr. Columbia,1955-05-25
G-11,Group of 11,,,,1984-06-22
PFP,Partnership for Peace,,,,1994-01-10
WToO,World Tourism Organization,Madrid,E,Madrid,1975-01-02
OAPEC,Organization of Arab Petroleum Exporting Countries,,,,1968-01-09
WADB,West African Development Bank,Lome,RT,Togo,1973-11-14
ANZUS,Australia-New Zealand-United States Security Treaty,Canberra,AUS,Australia Capital Territory,1951-09-01
PCA,Permanent Court of Arbitration,,,,1899-07-29
OIC,Organization of the Islamic Conference,Jeddah,SA,Saudi Arabia,1969-09-22
UDEAC,Central African Customs and Economic Union,Bangui,RCA,Central African Republic,1964-12-08
IOM,International Organization for Migration,Geneva,CH,GE,1951-12-05
UNCTAD,United Nations Conference on Trade and Development,Geneva,CH,GE,1964-12-30
FAO,Food and Agriculture Organization,Rome,I,Lazio,1945-10-16
OSCE,Organization for Security and Cooperation in Europe,Vienna,A,Vienna,1995-01-01
CEEAC,Economic Community of Central African States,Libreville,G,Gabon,1983-10-18
UNOMIG,United Nations Observer Mission in Georgia,New York,USA,New York,
IDA,International Development Association,Washington,USA,Distr. Columbia,1960-01-26
ECLAC,Economic Commission for Latin America and the Caribbean,Santiago,RCH,Chile,1948-02-25
OPEC,Organization of Petroleum Exporting Countries,Vienna,A,Vienna,1960-09-14
UN,United Nations,New York,USA,New York,1945-06-26
UNOMIL,United Nations Observer Mission in Liberia,New York,USA,New York,1993-09-22
OECS,Organization of Eastern Caribbean States,Castries,WL,Saint Lucia,1981-06-18
IFAD,International Fund for Agricultural Development,Rome,I,Lazio,1974-11-01
G-5,Group of 5,,,,1985-09-22
AfDB,African Development Bank,Abidjan,CI,Cote dIvoire,1963-08-04
LAIA,Latin American Integration Association,Montevideo,ROU,Uruguay,1980-08-12
UNMIH,United Nations Mission in Haiti,New York,USA,New York,1993-09-23
SADC,Southern African Development Community,Gaborone,RB,Botswana,1992-08-17
IAEA,International Atomic Energy Agency,Vienna,A,Vienna,1956-10-26
OECD,Organization for Economic Cooperation and Development,Paris,F,Ile de France,1960-12-14
G-77,Group of 77,,,,1967-10-01
UNAVEM III,United Nations Angola Verification Mission,New York,USA,New York,1988-12-20
ACCT,Agency for Cultural and Technical Cooperation,Paris,F,Ile de France,1970-03-21
BDEAC,Central African States Development Bank,Brazzaville,RCB,Congo,1975-12-03
BSEC,Black Sea Economic Cooperation Zone,,,,1992-06-25
IMF,International Monetary Fund,Washington,USA,Distr. Columbia,1944-07-22
CCC,Customs Cooperation Council,Brussels,B,Brabant,1950-12-15
Sparteca,South Pacific Regional Trade and Economic Cooperation Agreement,,,,1981-01-01
UNITAR,United Nations Institute for Training and Research,,,,1963-12-11
Benelux,Benelux Economic Union,Brussels,B,Brabant,1958-02-03
CDB,Caribbean Development Bank,,,,1969-10-18
