desert,country,province
Dascht-e-Margoh,AFG,Afghanistan
Kysylkum,KAZ,Qyzylorda
TaklaMakan,TJ,Xinjiang Uygur
Gobi,TJ,Ningxia Huizu
Karakum,TM,Mary
Kysylkum,UZB,Qaraqalpoghiston
Dascht-e-Lut,IR,Khorasan
Rub Al Chali,SA,Saudi Arabia
Tenere,RN,Niger
Erg Igidi,DZ,Algeria
Rub Al Chali,YE,Yemen
Azaouad,RMM,Mali
Erg Chech,RMM,Mali
Rub Al Chali,UAE,Umm al Qaywayn
Mojave,USA,Arizona
Mujunkum,KAZ,Zhambyl
Ryn,R,Astrakhanskaya oblast
Ferlo,SN,Louga
Tenere,TCH,Chad
Erdi Ennedi,TCH,Chad
Ordos,TJ,Nei Monggol
Great Sandy Desert,AUS,Western Australia
Karakum,TM,Ahal
Mojave,USA,California
Kalahari,ANG,Cuando Cubango
Red Centre,AUS,Northern Territory
Sturt Desert,AUS,Northern Territory
Sonora,USA,Arizona
Fesan,LAR,Libya
Kysylkum,UZB,Jizzakh
Erg Igidi,RMM,Mali
Sturt Desert,AUS,Queensland
Nubian Desert,SUD,ash Sharqiyah
Chihuahua,USA,Texas
Kum Tagh,TJ,Xinjiang Uygur
Sonora,MEX,Chihuahua
Kysylkum,UZB,Samarqand
Owyhee,USA,Idaho
Libyan Desert,ET,Matruh
Kalahari,Z,Southern
Red Centre,AUS,Western Australia
Libyan Desert,ET,El Minya
Kalahari,RB,Botswana
Chihuahua,USA,Arizona
Syrian Desert,JOR,Jordan
Thar,IND,Haryana
Azaouad,RN,Niger
Rub Al Chali,UAE,Ras al Khaymah
Tanezrouft,DZ,Algeria
Libyan Desert,SUD,Darfur
Erg Chech,DZ,Algeria
Simpson Desert,AUS,Queensland
Rub Al Chali,UAE,Al Fujayrah
Mojave,USA,Utah
Karakum,UZB,Samarqand
Syrian Desert,IRQ,Al Anbar
Dascht-e-Lut,IR,Esfahan
Rub Al Chali,OM,Oman
Ust Urt,KAZ,Mangghystau
Great Victoria Desert,AUS,South Australia
Great Victoria Desert,AUS,Western Australia
Ferlo,SN,Tambacounda
Libyan Desert,ET,Beni Suef
Dascht-e-Lut,IR,Sistan e Baluchestan
Colorado Plateau,USA,Colorado
Kalahari,NAM,Namibia
Thar,PK,Pakistan
Simpson Desert,AUS,South Australia
Qaidam,TJ,Qinghai
Namib,NAM,Namibia
Rigestan,PK,Pakistan
Negev,IL,South
Azaouad,DZ,Algeria
Rigestan,AFG,Afghanistan
Owyhee,USA,Nevada
Erg Maqteir,RIM,Mauritania
