mountain,island
Mt. Babel,Rene Levasseur Island
Blue Mountain Peak,Jamaica
Ruapehu,Te Ika-a-Maui (North Island)
Soufriere,Saint Vincent
Morne Diablotins,Dominica
Zhima,Olkhon
Gunung Binaiya,Ceram
Mt. Balbi,Bougainville
Queen Marys Peak,Tristan Da Cunha
Tambora,Sumbawa
Pico de Teide,Teneriffa
Roque de los Muchachos,La Palma
Pico de los Nieves,Gran Canaria
Leuser,Sumatra
Rinjani,Lombok
Barbeau Peak,Ellesmere Island
Puncak Jaya,New Guinea
Krakatau,Krakatau
Gunung Agung,Bali
Kerinci,Sumatra
Yu Shan,Taiwan
Asahi-Dake,Hokkaido
Olympos,Cyprus
Oraefajokull,Iceland
Pico de Sao Tome,Sao Tome
Ben Nevis,Great Britain
Pulog,Luzon
Mt. Cook,Te Waka-a-Maui (South Island)
Haleakala,Maui
