sea1,sea2
Indian Ocean,Sunda Sea
Bering Sea,Pacific Ocean
Gulf of Bengal,Sunda Sea
Baltic Sea,North Sea
Indian Ocean,Pacific Ocean
Arabian Sea,Indian Ocean
Barents Sea,Norwegian Sea
Gulf of Aden,Indian Ocean
Atlantic Ocean,Caribbean Sea
Atlantic Ocean,Gulf of Mexico
North Sea,Skagerrak
Arabian Sea,Gulf of Aden
Pacific Ocean,Sea of Okhotsk
Arctic Ocean,Barents Sea
Arabian Sea,Gulf of Oman
Sulawesi Sea,Sunda Sea
Malakka Strait,South China Sea
Gulf of Aden,Red Sea
East China Sea,South China Sea
Arctic Ocean,Norwegian Sea
South China Sea,Sunda Sea
East China Sea,Pacific Ocean
Atlantic Ocean,Indian Ocean
East China Sea,Yellow Sea
Arctic Ocean,Bering Sea
Barents Sea,Sibirian Sea
