country,independence,dependent,government
AG,1981-11-01,,parliamentary democracy
A,1918-11-12,,federal republic
HELX,,GB,British Overseas Territories
GAZA,,,
LV,1991-09-06,,republic
KWT,1961-06-19,,nominal constitutional monarchy
TO,1970-06-04,,hereditary constitutional monarchy
MOC,1975-06-25,,republic
EAU,1962-10-09,,republic
CZ,1993-01-01,,parliamentary democracy
RSA,1910-05-31,,republic
GBM,,GB,British crown dependency
TN,1956-03-20,,republic
GBJ,,GB,British crown dependency
THA,1238-01-01,,constitutional monarchy
SY,1976-06-29,,republic
CY,1960-08-16,,republic
NL,1579-01-01,,constitutional monarchy
NIUE,1974-10-19,,self governing territory in free association with New Zealand
CL,1948-02-04,,republic
TR,1923-10-29,,republican parliamentary democracy
E,1492-01-01,,parliamentary monarchy
PL,1918-11-11,,democratic state
RM,1960-06-26,,republic
NMIS,,USA,commonwealth in political union with the US
D,1871-01-18,,federal republic
ETH,,,federal republic
ES,1821-09-15,,republic
NAM,1990-03-21,,republic
GBZ,,GB,dependent territory of the UK
VIRG,,,organized
AZ,1991-08-30,,republic
MART,,F,overseas department of France
PA,1903-11-03,,constitutional republic
GUAM,,USA,organized
I,1861-03-17,,republic
AUS,1901-01-01,,federal parliamentary state
ARU,,NL,part of the Dutch realm
MH,1986-10-21,,constitutional government in free association with the US
MK,1991-09-17,,emerging democracy
SK,1993-01-01,,parliamentary democracy
RL,1943-11-22,,republic
MA,1956-03-02,,constitutional monarchy
GE,1991-04-09,,republic
FPOL,,F,overseas territory of France since 1946
IRL,1921-12-06,,republic
UA,1991-12-01,,republic
KAZ,1991-12-16,,republic
F,,,republic
WV,1979-10-27,,constitutional monarchy
DZ,1962-07-05,,republic
M,1964-09-21,,parliamentary democracy
IRQ,1932-10-03,,republic
CR,1821-09-15,,democratic republic
RCH,1810-09-18,,republic
WAL,1961-04-27,,constitutional democracy
MACX,,TJ,special administrative area in China
FJI,1970-10-10,,republic
CH,,,federal republic
BI,1962-07-01,,republic
CDN,1867-07-01,,confederation with parliamentary democracy
COCO,,AUS,territory of Australia
WEST,,,
YE,1990-05-22,,republic
