country,continent,percentage
A,Europe,100.0
AL,Europe,100.0
AND,Europe,100.0
B,Europe,100.0
BG,Europe,100.0
BIH,Europe,100.0
BY,Europe,100.0
CH,Europe,100.0
CY,Europe,100.0
CZ,Europe,100.0
D,Europe,100.0
DK,Europe,100.0
E,Europe,100.0
EW,Europe,100.0
F,Europe,100.0
FARX,Europe,100.0
FL,Europe,100.0
GB,Europe,100.0
GBG,Europe,100.0
GBJ,Europe,100.0
GBM,Europe,100.0
GBZ,Europe,100.0
GR,Europe,100.0
H,Europe,100.0
HR,Europe,100.0
I,Europe,100.0
IRL,Europe,100.0
IS,Europe,100.0
KOS,Europe,100.0
L,Europe,100.0
LT,Europe,100.0
LV,Europe,100.0
M,Europe,100.0
MC,Europe,100.0
MD,Europe,100.0
MK,Europe,100.0
MNE,Europe,100.0
N,Europe,100.0
NL,Europe,100.0
P,Europe,100.0
PL,Europe,100.0
R,Europe,20.0
RO,Europe,100.0
RSM,Europe,100.0
S,Europe,100.0
SF,Europe,100.0
SK,Europe,100.0
SLO,Europe,100.0
SRB,Europe,100.0
SVAX,Europe,100.0
TR,Europe,5.0
UA,Europe,100.0
V,Europe,100.0
ANG,Africa,100.0
COM,Africa,100.0
WG,America,100.0
REUN,Australia/Oceania,100.0
ET,Africa,90.0
RWA,Africa,100.0
BEN,Africa,100.0
NEP,Asia,100.0
GUY,America,100.0
LAO,Asia,100.0
WD,America,100.0
KWT,Asia,100.0
COOK,Australia/Oceania,100.0
MACX,Asia,100.0
KGZ,Asia,100.0
SGP,Asia,100.0
FJI,Australia/Oceania,100.0
LS,Africa,100.0
PITC,Australia/Oceania,100.0
NAU,Australia/Oceania,100.0
