name,islands,area,height,type,longitude,latitude
Barbuda,Lesser Antilles,161.0,,,-61.4,17.3
Langeland,,284.0,,,10.5,55.0
Cebu,Phillipines,5088.0,1000.0,,123.8,10.4
Molokai,Hawaii Islands,676.0,1512.0,,-157.0,21.1
Puerto Rico,Greater Antilles,8870.0,1338.0,,-66.12,18.49
Viti Levu,Fiji Islands,10429.0,,volcanic,178.0,-17.8
Tinian,Mariana Islands,101.0,171.0,,145.6,15.0
Kotelny Island,,11665.0,374.0,,141.0,75.4
Ameland,Westfriesische Inseln,57.6,,,5.75,53.5
Pellworm,Nordfriesische Inseln,37.4,2.0,,8.6,54.5
Dagoe,,965.0,,,22.7,58.8
Islay,Inner Hebrides,619.6,491.0,,7.0,62.1
Bonaire,Lesser Antilles,288.0,,,-68.3,12.2
Oeland,,1344.0,,,17.0,57.0
Reunion,,2510.0,3069.0,volcanic,55.5,-20.9
Anguilla,Lesser Antilles,91.0,65.0,,-64.0,18.0
Linosa,,5.0,195.0,volcanic,13.85,35.85
New Providence,Bahama Islands,207.0,,,-77.4,25.0
Samos,Sporades,478.0,1434.0,,26.8,37.7
Kyushu,Japan,35640.0,1758.0,volcanic,131.0,32.0
Kreta,,8331.0,2456.0,,25.0,37.0
Sicilia,,25462.0,3323.0,,14.0,37.0
Sulawesi,Sunda Islands,189216.0,3455.0,volcanic,120.3,-2.1
Jura,Inner Hebrides,367.0,785.0,,-6.0,56.0
Tutuila,Samoan Islands,135.0,,volcanic,-170.42,-14.16
Anjouan,Comores,424.0,,,44.35,-12.2
San Clemente Island,Californian Channel Islands,147.0,599.0,,-118.5,33.0
Prince of Wales Island,Canadian Arctic Islands,33339.0,,,-98.55,72.6
Te Ika-a-Maui (North Island),New Zealand,114597.0,2797.0,,175.7,-38.4
Efate,Vanuatu,900.0,647.0,,168.4,-17.8
West Falkland,Falkland Islands,4532.0,700.0,,-60.1,-51.8
Sansibar,,1658.0,135.0,,39.3,-6.1
Grand Bermuda,Bermuda Islands,53.3,79.0,coral,-64.47,32.17
Madagaskar,,587041.0,2876.0,,46.0,-20.0
Salina,Lipari Islands,26.8,962.0,volcanic,14.9,38.6
Bishop Rock,Scilly Islands,,,,-6.3,50.0
Malta,Malta,246.0,252.0,,14.5,35.9
La Palma,Canares,708.0,2426.0,volcanic,-17.9,28.7
Oesel,,2714.0,54.0,,22.0,58.3
Providenciales,Turks and Caicos Islands,,,,-72.3,22.0
Baffin Island,Canadian Arctic Islands,507451.0,2147.0,,72.0,69.0
Shetland Mainland,Shetland Islands,970.0,449.0,,-1.3,60.3
Niihau,Hawaii Islands,178.0,381.0,,-160.1,21.9
North Uist,Outer Hebrides,303.0,,,-7.1,57.4
Sumbawa,Sunda Islands,15448.0,2850.0,,116.1,-8.8
Mauritius,,1860.0,828.0,volcanic,57.0,-20.0
Arran,Inner Hebrides,430.0,874.0,,-5.5,55.3
Skye,Inner Hebrides,1385.0,993.0,,-6.3,57.3
Bornholm,,588.0,162.0,,14.9,55.1
Te Waka-a-Maui (South Island),New Zealand,151757.0,3754.0,,170.4,-44.0
Lolland,,1241.0,,,11.5,54.4
Borkum,Ostfriesische Inseln,31.0,6.0,,6.7,53.6
Isla da Ometepe,,270.0,1700.0,,-85.6,11.5
Cyprus,,9251.0,1952.0,,33.2,35.4
Male,Maldives,2.74,1.0,atoll,72.0,2.0
Grand Turk,Turks and Caicos Islands,14.0,20.0,,-71.08,21.28
Tristan Da Cunha,,104.0,,volcanic,-12.3,-37.1
Sachalin,,76400.0,1609.0,volcanic,143.0,50.0
Terschelling,Westfriesische Inseln,88.0,,,5.3,53.4
Aust-Vagoey,Lofotes,526.0,1146.0,,14.6,68.3
Olkhon,,730.0,1276.0,,107.4,53.15
Hainan,,34380.0,1897.0,,109.6,19.1
Norfolk Island,,34.0,318.0,volcanic,168.0,-29.0
East Falkland,Falkland Islands,6605.0,705.0,,-58.8,-51.8
Nevis,Lesser Antilles,93.0,985.0,volcanic,-62.3,17.0
Lanzarote,Canares,846.0,671.0,volcanic,-13.6,29.0
Grande Terre,New Caledonia,16372.0,1628.0,,166.27,-22.16
Vancouver Island,,31285.0,2195.0,,-125.65,49.6
Java,Sunda Islands,126650.0,3676.0,,111.25,-7.5
Norderney,Ostfriesische Inseln,26.3,5.0,,7.9,53.7
Rota,Mariana Islands,85.0,495.0,,145.2,15.15
Lesbos,Sporades,1636.0,968.0,,26.3,39.2
Jeju,,1845.0,1950.0,volcanic,126.5,33.4
Vanua Levu,Fiji Islands,5500.0,,volcanic,179.25,-16.35
Samosir,,852.0,,volcanic,98.85,2.6
Nauru,,21.0,60.0,coral,167.0,-1.0
Lewis and Harris,Outer Hebrides,2170.0,,,-6.8,57.9
Filicudi,Lipari Islands,9.5,774.0,volcanic,14.55,38.6
Vulcano,Lipari Islands,21.2,499.0,volcanic,15.0,38.4
Isabela,Galapagos,5436.0,1707.0,volcanic,-91.3,-1.0
Antigua,Lesser Antilles,281.0,400.0,,-61.8,17.05
Great Britain,British Isles,229850.0,1344.0,,-1.5,53.0
Schiermonnikoog,Westfriesische Inseln,40.0,,,6.2,53.5
Ambon,Moluccan Islands,775.0,1225.0,,128.2,-3.7
Santiago,Cape Verdes,991.0,1394.0,volcanic,-23.6,15.1
Amrum,Nordfriesische Inseln,20.5,32.0,,8.3,54.65
Luzon,Phillipines,108172.0,2928.0,,121.0,16.1
Khark,,20.5,,,50.2,29.1
Pitcairn,Pitcairn Islands,4.5,347.0,volcanic,-130.05,-25.04
