name,area,depth,altitude,type,river,longitude,latitude
Lake Tanganjika,32893.0,1470.0,782.0,,Lukuga,30.0,-6.0
Laacher Maar,3.3,53.0,275.0,caldera,,7.3,50.4
Lake Superior,82103.0,405.0,184.0,,,-87.37,47.7675
Lake Cabora-Bassa,2800.0,,326.0,artificial,Zambezi,32.7,-15.6
Crater Lake,53.2,594.0,1883.0,caldera,,-122.1,42.9
Laguna Mar Chiquita,5770.0,19.0,71.0,salt,,-62.67,-30.5
Siljan,290.0,134.0,161.0,impact,Oesterdalaelv,14.8,60.85
Chad Lake,23000.0,7.0,250.0,salt,,14.0,13.2
Lake Keban,675.0,,,,Euphrat,38.75,38.8
Lake Bangweulu,10000.0,4.0,1140.0,,Luapula,29.7,-11.2
Kallavesi,472.0,,,,Vuoksi,27.7,62.9
Nam Co,1855.0,125.0,4718.0,salt,,90.55,30.7
Lake Nyos,,208.0,,caldera,,10.3,6.44
Loch Lomond,71.0,190.0,7.9,,,-4.59,56.08
Lake Kioga,1720.0,5.7,914.0,,Victoria Nile,33.0,1.5
Lake Turkana,6405.0,73.0,375.0,salt,,36.1,3.6
Loch Ness,56.0,226.0,16.0,,,-4.44,57.31
Lago de Chapala,1685.0,12.0,1520.0,,Rio Lerma,-103.05,20.22
Lake Rukwa,5760.0,5.0,800.0,salt,,32.35,-8.0
Barrage de Mbakaou,,,,artificial,Sanaga,12.75,6.4
Ozero Balchash,18428.0,26.0,342.0,salt,,74.88,46.55
Salar de Uyuni,10582.0,0.0,3650.0,salt,,-67.5,-20.1
Lake Huron,59600.0,229.0,176.0,,Detroit River,-82.44,44.795
Inari,1040.0,92.0,119.0,,Paatsjoki,27.7,68.95
Lake Ontario,18960.0,244.0,75.0,,Saint Lawrence River,-77.96,43.695
Ozero Taimyr,4560.0,26.0,5.0,,,101.6,74.5
Lago di Bracciano,57.0,160.0,164.0,caldera,,12.2,42.1
Dead Sea,41650.0,378.0,-422.0,salt,,35.5,31.3
Thunersee,48.3,217.0,558.0,,Aare,7.716,46.69
Vaettern,1900.0,119.0,88.0,,,14.5,58.3
Fort Peck Lake,981.0,67.0,,artificial,Missouri,-106.4,48.0
Paeijaenne,1118.0,95.0,78.0,,Kymijoki,25.4,61.5
Lake Manitou,104.0,,,,,-82.0,45.76
Lago di Como,146.0,425.0,197.0,,Adda,9.3,46.0
Lago di Bolsena,114.0,151.0,335.0,caldera,,11.9,42.6
Lake Toba,1103.0,505.0,905.0,caldera,Asahan,98.8,2.6
Pyramid Lake,487.0,108.0,1155.0,salt,,-119.57,40.03
Saimaa,4370.0,85.0,76.0,,Vuoksi,28.0,61.3
Lake Ohrid,367.0,289.0,695.0,,Black Drin,20.7,41.0
Issyk-Kul,6236.0,668.0,1609.0,salt,,77.2,42.4
