name,country,population,area,capital,capprov
Yemen,YE,13483178,,Sanaa,Yemen
Berkshire,GB,752500,1259.0,Reading,Berkshire
Erzincan,TR,299251,11903.0,Erzincan,Erzincan
Rhode Island,USA,987429,3139.0,Providence,Rhode Island
Basque Country,E,2075561,7235.0,Vitoria Gasteiz,Basque Country
New Brunswick,CDN,738133,73437.0,Fredericton,New Brunswick
Flintshire,GB,145300,437.0,Mold,Flintshire
Georgia,GE,5219810,,Tbilisi,Georgia
Slupskie,PL,419300,7453.0,Slupsk,Slupskie
Sirnak,TR,262006,7172.0,Sirnak,Sirnak
Ica,PE,608609,21327.0,Ica,Ica
Samarskaya oblast,R,3311500,53600.0,Samara,Samarskaya oblast
Ciego de Avila,C,353000,6910.0,Ciego de Avila,Ciego de Avila
Jersey,GBJ,87848,,Saint Helier,Jersey
Bhutan,BHT,1822625,,Thimphu,Bhutan
Azores,P,236700,2247.0,Ponta Delgada,Azores
Permskaya oblast,R,3009400,160600.0,Perm,Permskaya oblast
Rep. of Mordovia,R,955800,26200.0,Saransk,Rep. of Mordovia
Zapadocesky,CZ,869000,10875.0,Plzen,Zapadocesky
Ivanovskaya oblast,R,1266400,23900.0,Ivanovo,Ivanovskaya oblast
Cote/Littoral,CAM,1354800,20239.0,Douala,Cote/Littoral
Lambayeque,PE,1009655,14231.0,Chiclayo,Lambayeque
Troms,N,146736,,Tromsoe,Troms
Neath and Port Talbot,GB,140100,441.0,Port Talbot,Neath and Port Talbot
Arkansas,USA,2522819,137754.0,Little Rock,Arkansas
Sachsen,D,4584345,18412.0,Dresden,Sachsen
Miranda,YV,2303302,7950.0,Los Teques,Miranda
Luanda,ANG,1629000,2418.0,Luanda,Luanda
Islas de la Bahia,HCA,24500,261.0,Roatan,Islas de la Bahia
Osaka,J,8797268,1868.0,Osaka,Osaka
Assam,IND,22414322,78438.0,Dispur,Assam
Tokyo,J,11773605,2164.0,Tokyo,Tokyo
Formosa,RA,398413,72066.0,Formosa,Formosa
North Korea,NOK,23904124,,Pyongyang,North Korea
Montserrat,MNTS,5097,,Plymouth,Montserrat
Christmas Island,XMAS,1402,,Flying Fish Cove,Christmas Island
Giresun,TR,499087,6934.0,Giresun,Giresun
Tanga,EAT,1283600,26808.0,Tanga,Tanga
Vest Agder,N,140232,,Kristiansand,Vest Agder
Equateur,ZRE,3960187,403293.0,Mbandaka,Equateur
UR,CH,35876,1076.0,Altdorf,UR
Huanuco,PE,722669,36938.0,Huanuco,Huanuco
Fatick,SN,476000,7935.0,Fatick,Fatick
Delhi,IND,9420644,1483.0,New Delhi,Delhi
Donetska,UA,5346700,26500.0,Donetsk,Donetska
Midi Pyrenees,F,2431000,45349.0,Toulouse,Midi Pyrenees
Haut Zaire,ZRE,5119750,503239.0,Kisangani,Haut Zaire
Amurskaya oblast,R,1037800,363700.0,Blagoveshchensk,Amurskaya oblast
Campeche,MEX,642516,51833.0,Campeche,Campeche
El Salvador,ES,5828987,,San Salvador,El Salvador
Vestfold,N,191600,,Toensberg,Vestfold
Niassa,MOC,686700,129055.0,Lichinga,Niassa
Altayskiy kray,R,2690100,169100.0,Barnaul,Altayskiy kray
Delta Amacuro,YV,114390,40200.0,Tucupita,Delta Amacuro
Vaslui,RO,468000,5297.0,Vaslui,Vaslui
Przemyskie,PL,409600,4437.0,Przemysl,Przemyskie
Hubei,TJ,57190000,187400.0,Wuhan,Hubei
LU,CH,340536,1493.0,Luzern,LU
Piemonte,I,4307000,25399.0,Turin,Piemonte
Somerset,GB,469400,3451.0,Taunton,Somerset
OW,CH,31310,490.0,Sarnen,OW
Trujillo,YV,562752,7400.0,Trujillo,Trujillo
Azerbaijan,AZ,7676953,,Baku,Azerbaijan
Mato Grosso do Sul,BR,1922258,358158.0,Campo Grande,Mato Grosso do Sul
Ziguinchor,SN,394700,7339.0,Ziguinchor,Ziguinchor
