island,sea,lake,river
Batam,South China Sea,,
Skye,Atlantic Ocean,,
Sicilia,Mediterranean Sea,,
Bonaire,Caribbean Sea,,
Pico,Atlantic Ocean,,
Faial,Atlantic Ocean,,
Ireland,Atlantic Ocean,,
Falster,Baltic Sea,,
Okinawa,Pacific Ocean,,
Basse-Terre,Caribbean Sea,,
Sao Miguel,Atlantic Ocean,,
Paramuschir,Pacific Ocean,,
Amrum,North Sea,,
Providenciales,Atlantic Ocean,,
Graciosa,Atlantic Ocean,,
Sardegna,Mediterranean Sea,,
Manitoulin,,Lake Huron,
Ponape,Pacific Ocean,,
Santiago,Atlantic Ocean,,
Antigua,Atlantic Ocean,,
Malta,Mediterranean Sea,,
Grand Turk,Atlantic Ocean,,
Grand Cayman,Caribbean Sea,,
Benbecula,Atlantic Ocean,,
San Clemente Island,Pacific Ocean,,
Honshu,Pacific Ocean,,
Saint Pierre,Atlantic Ocean,,
Nantucket,Atlantic Ocean,,
Dominica,Atlantic Ocean,,
New Providence,Atlantic Ocean,,
Principe,Atlantic Ocean,,
Saint Kitts,Atlantic Ocean,,
Curacao,Caribbean Sea,,
Saint Lucia,Caribbean Sea,,
Teneriffa,Atlantic Ocean,,
Guadalcanal,Pacific Ocean,,
Saint Kitts,Caribbean Sea,,
Tortola,Caribbean Sea,,
Niue,Pacific Ocean,,
Rene Levasseur Island,,Lake Manicouagan,
Mindanao,Sulawesi Sea,,
Anguilla,Atlantic Ocean,,
Hokkaido,Sea of Okhotsk,,
Spiekeroog,North Sea,,
Flores,Atlantic Ocean,,
Olkhon,,Ozero Baikal,
Paramuschir,Sea of Okhotsk,,
Kavaratti,Arabian Sea,,
Sumatra,Malakka Strait,,
Pemba,Indian Ocean,,
Ibiza,Mediterranean Sea,,
Montserrat,Atlantic Ocean,,
Great Britain,Irish Sea,,
Great Britain,Atlantic Ocean,,
Sumatra,South China Sea,,
Kos,Mediterranean Sea,,
South Uist,Atlantic Ocean,,
Mauritius,Indian Ocean,,
Mayotte,Indian Ocean,,
Aust-Vagoey,Norwegian Sea,,
Taiwan,East China Sea,,
