city,province,country,island
Stratford on Avon,Warwickshire,GB,Great Britain
Rochdale,Greater Manchester,GB,Great Britain
Kita Kyushu,Fukuoka,J,Kyushu
Copenhagen,Denmark,DK,Seeland
Wolverhampton,West Midlands,GB,Great Britain
Valletta,Malta,M,Malta
Newark on Trent,Nottinghamshire,GB,Great Britain
Palangkaraya,Indonesia,RI,Borneo
Blitar,Indonesia,RI,Java
Tsu,Mie,J,Honshu
Stirling,Central,GB,Great Britain
Fengshan,Taiwan,RC,Taiwan
Haverfordwest,Pembrokeshire,GB,Great Britain
Saga,Saga,J,Kyushu
Palikir,Micronesia,FSM,Ponape
Brighton,East Sussex,GB,Great Britain
Kirklees,West Yorkshire,GB,Great Britain
Agana,Guam,GUAM,Guam
Oxford,Oxfordshire,GB,Great Britain
Sandwell,West Midlands,GB,Great Britain
Manchester,Greater Manchester,GB,Great Britain
Stoke on Trent,Staffordshire,GB,Great Britain
Basseterre,Saint Kitts and Nevis,KN,Saint Kitts
Reigate,Surrey,GB,Great Britain
Palermo,Sicilia,I,Sicilia
Malang,Indonesia,RI,Java
Pingtung,Taiwan,RC,Taiwan
Aberystwyth,Ceredigion,GB,Great Britain
Gorontalo,Indonesia,RI,Sulawesi
Port-Vila,Vanuatu,VU,Efate
Dover,Kent,GB,Great Britain
Yungho,Taiwan,RC,Taiwan
Sutton in Ashfield,Derbyshire,GB,Great Britain
Saint Georges,Grenada,WG,Grenada
Bandar Seri Begawan,Brunei,BRU,Borneo
