lake,country,province
Bodensee,D,Baden Wurttemberg
Lake Turkana,EAK,Rift Valley
Lake Chilwa,MW,Malawi
Lake Bangweulu,Z,Luapula
Lake Superior,USA,Minnesota
Qinghai Lake,TJ,Qinghai
Vierwaldstattersee,CH,OW
Maelaren,S,Uppsala
Lake Van,TR,Bitlis
Lake Victoria,EAT,Kagera
Lake Manitou,CDN,Ontario
Atlin Lake,CDN,Yukon Territory
Lake Michigan,USA,Wisconsin
Balaton,H,Veszprem
Starnberger See,D,Bayern
Ozero Chanka,R,Primorsky kray
Lake Prespa,AL,Albania
Lake Nicaragua,CR,Alajuela
Lake Chilwa,MOC,Niassa
Lago Trasimeno,I,Toscana
Lake Bangweulu,Z,Northern
Licancabur Crater Lake,BOL,Bolivia
Lake Keban,TR,Elazig
Lake Victoria,EAU,Uganda
Lake Nipigon,CDN,Ontario
Vaenern,S,Alvsborg
Lake Erie,USA,Michigan
Lake Tahoe,USA,Nevada
Ozero Balchash,KAZ,Zhezkazghan
Daryacheh ye Namak,IR,Tehran
