name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Dnepr,,,Black Sea,2201.0,34.0,55.5,Waldai Hills,220.0,32.252,46.5257
Paatsjoki,,,Barents Sea,145.0,28.3,68.95,,119.0,30.05,60.75
Amazonas,,,Atlantic Ocean,6448.0,-71.7,-15.5,Andes,5170.0,-50.0,0.0
Lena,,,Sibirian Sea,4400.0,107.88,53.99,,1465.0,126.692,72.4005
Jubba,,,Indian Ocean,1658.0,,,,,42.7,-0.5
Guadalquivir,,,Atlantic Ocean,657.0,-3.0,37.8,Cordillera Betica,1400.0,-6.35,36.8
Tigris,Schatt al Arab,,,1900.0,41.0,38.3,Antitaurus,,47.44,31.0
Reuss,Aare,Vierwaldstattersee,,164.0,8.54,46.56,Alps,2431.0,8.2371,47.4921
Donau,,,Black Sea,2845.0,8.52,47.95,Black Forest,686.0,29.65,45.16
Marne,Seine,,,514.0,5.35,47.8,,406.0,2.4,48.8
Mur,Drau,,,453.0,13.35,47.13,Alps,1898.0,16.88,46.3
Ohio River,Mississippi,,,1579.0,-80.0,40.42,,222.0,-89.13,36.98
Blue Nile,Nile,,,1783.0,37.3,12.0,Ethiopian Highlands,1830.0,32.5,15.6
Zaire,,,Atlantic Ocean,4374.0,25.2,0.5,,,12.0,-6.0
Jordan,,Dead Sea,,251.0,35.7,33.7,Jabal Lubnan,,35.5,31.3
Ruki,Zaire,,,130.0,19.0,-0.3,,,18.0,0.0
Loire,,,Atlantic Ocean,1013.0,4.22,44.84,Cevennes,1408.0,-2.18,47.27
Truckee River,,Pyramid Lake,,225.0,-120.0,39.0,,1900.0,-119.43,39.85
Jangtse,,,East China Sea,6380.0,91.2,33.5,,5405.0,121.5,32.0
Ganges,,,Gulf of Bengal,2511.0,79.5,30.5,,,90.0,22.0
Orinoco,,,Atlantic Ocean,2140.0,-63.5,2.0,Sierra Parima,,-62.0,9.0
Aruwimi,Zaire,,,1287.0,14.7,-11.3,,,29.5,2.5
Busira,Ruki,,,830.0,20.8,-0.2,,,19.0,-0.3
