actor_id,film_id,last_update
122,673,2006-02-15T04:05:03
197,258,2006-02-15T04:05:03
128,696,2006-02-15T04:05:03
88,668,2006-02-15T04:05:03
8,859,2006-02-15T04:05:03
20,652,2006-02-15T04:05:03
157,24,2006-02-15T04:05:03
141,589,2006-02-15T04:05:03
120,424,2006-02-15T04:05:03
43,598,2006-02-15T04:05:03
146,320,2006-02-15T04:05:03
188,593,2006-02-15T04:05:03
83,121,2006-02-15T04:05:03
107,520,2006-02-15T04:05:03
30,87,2006-02-15T04:05:03
77,458,2006-02-15T04:05:03
77,969,2006-02-15T04:05:03
61,832,2006-02-15T04:05:03
144,18,2006-02-15T04:05:03
191,219,2006-02-15T04:05:03
102,508,2006-02-15T04:05:03
52,689,2006-02-15T04:05:03
56,868,2006-02-15T04:05:03
