film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
40,ARMY FLINTSTONES,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,2006,1,,4,0.99,148,22.99,R,"Trailers,Commentaries",2006-02-15T04:03:42
93,BRANNIGAN SUNRISE,A Amazing Epistle of a Moose And a Crocodile who must Outrace a Dog in Berlin,2006,1,,4,4.99,121,27.99,PG,Trailers,2006-02-15T04:03:42
123,CASABLANCA SUPER,A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station,2006,1,,6,4.99,85,22.99,G,"Trailers,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
189,CREATURES SHAKESPEARE,A Emotional Drama of a Womanizer And a Squirrel who must Vanquish a Crocodile in Ancient India,2006,1,,3,0.99,139,23.99,NC-17,"Trailers,Deleted Scenes",2006-02-15T04:03:42
200,CURTAIN VIDEOTAPE,A Boring Reflection of a Dentist And a Mad Cow who must Chase a Secret Agent in A Shark Tank,2006,1,,7,0.99,133,27.99,PG-13,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
308,FERRIS MOTHER,A Touching Display of a Frisbee And a Frisbee who must Kill a Girl in The Gulf of Mexico,2006,1,,3,2.99,142,13.99,PG,"Trailers,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
315,FINDING ANACONDA,A Fateful Tale of a Database Administrator And a Girl who must Battle a Squirrel in New Orleans,2006,1,,4,0.99,156,10.99,R,"Trailers,Commentaries",2006-02-15T04:03:42
395,HANDICAP BOONDOCK,A Beautiful Display of a Pioneer And a Squirrel who must Vanquish a Sumo Wrestler in Soviet Georgia,2006,1,,4,0.99,108,28.99,R,"Commentaries,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
428,HOMICIDE PEACH,A Astounding Documentary of a Hunter And a Boy who must Confront a Boy in A MySQL Convention,2006,1,,6,2.99,141,21.99,PG-13,Commentaries,2006-02-15T04:03:42
429,HONEY TIES,A Taut Story of a Waitress And a Crocodile who must Outrace a Lumberjack in A Shark Tank,2006,1,,3,0.99,84,29.99,R,"Trailers,Commentaries,Deleted Scenes",2006-02-15T04:03:42
430,HOOK CHARIOTS,A Insightful Story of a Boy And a Dog who must Redeem a Boy in Australia,2006,1,,7,0.99,49,23.99,G,"Trailers,Commentaries,Behind the Scenes",2006-02-15T04:03:42
456,INCH JET,A Fateful Saga of a Womanizer And a Student who must Defeat a Butler in A Monastery,2006,1,,6,4.99,167,18.99,NC-17,Deleted Scenes,2006-02-15T04:03:42
509,LANGUAGE COWBOY,A Epic Yarn of a Cat And a Madman who must Vanquish a Dentist in An Abandoned Amusement Park,2006,1,,5,0.99,78,26.99,NC-17,"Trailers,Deleted Scenes",2006-02-15T04:03:42
526,LOCK REAR,A Thoughtful Character Study of a Squirrel And a Technical Writer who must Outrace a Student in Ancient Japan,2006,1,,7,2.99,120,10.99,R,"Trailers,Commentaries",2006-02-15T04:03:42
529,LONELY ELEPHANT,A Intrepid Story of a Student And a Dog who must Challenge a Explorer in Soviet Georgia,2006,1,,3,2.99,67,12.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2006-02-15T04:03:42
549,MAGNOLIA FORRESTER,A Thoughtful Documentary of a Composer And a Explorer who must Conquer a Dentist in New Orleans,2006,1,,4,0.99,171,28.99,PG-13,"Trailers,Commentaries,Deleted Scenes",2006-02-15T04:03:42
614,NAME DETECTIVE,A Touching Saga of a Sumo Wrestler And a Cat who must Pursue a Mad Scientist in Nigeria,2006,1,,5,4.99,178,11.99,PG-13,"Trailers,Commentaries,Behind the Scenes",2006-02-15T04:03:42
622,NEWSIES STORY,A Action-Packed Character Study of a Dog And a Lumberjack who must Outrace a Moose in The Gulf of Mexico,2006,1,,4,0.99,159,25.99,G,"Trailers,Deleted Scenes",2006-02-15T04:03:42
665,PATTON INTERVIEW,A Thrilling Documentary of a Composer And a Secret Agent who must Succumb a Cat in Berlin,2006,1,,4,2.99,175,22.99,PG,Commentaries,2006-02-15T04:03:42
