country_id,country,last_update
1,Afghanistan,2006-02-15T03:44:00
2,Algeria,2006-02-15T03:44:00
3,American Samoa,2006-02-15T03:44:00
4,Angola,2006-02-15T03:44:00
5,Anguilla,2006-02-15T03:44:00
6,Argentina,2006-02-15T03:44:00
8,Australia,2006-02-15T03:44:00
13,Belarus,2006-02-15T03:44:00
15,Brazil,2006-02-15T03:44:00
16,Brunei,2006-02-15T03:44:00
17,Bulgaria,2006-02-15T03:44:00
18,Cambodia,2006-02-15T03:44:00
19,Cameroon,2006-02-15T03:44:00
21,Chad,2006-02-15T03:44:00
23,China,2006-02-15T03:44:00
24,Colombia,2006-02-15T03:44:00
26,Czech Republic,2006-02-15T03:44:00
27,Dominican Republic,2006-02-15T03:44:00
28,Ecuador,2006-02-15T03:44:00
29,Egypt,2006-02-15T03:44:00
32,Faroe Islands,2006-02-15T03:44:00
34,France,2006-02-15T03:44:00
35,French Guiana,2006-02-15T03:44:00
37,Gambia,2006-02-15T03:44:00
38,Germany,2006-02-15T03:44:00
39,Greece,2006-02-15T03:44:00
41,Holy See (Vatican City State),2006-02-15T03:44:00
42,Hong Kong,2006-02-15T03:44:00
44,India,2006-02-15T03:44:00
45,Indonesia,2006-02-15T03:44:00
46,Iran,2006-02-15T03:44:00
47,Iraq,2006-02-15T03:44:00
49,Italy,2006-02-15T03:44:00
50,Japan,2006-02-15T03:44:00
51,Kazakstan,2006-02-15T03:44:00
52,Kenya,2006-02-15T03:44:00
54,Latvia,2006-02-15T03:44:00
55,Liechtenstein,2006-02-15T03:44:00
57,Madagascar,2006-02-15T03:44:00
58,Malawi,2006-02-15T03:44:00
60,Mexico,2006-02-15T03:44:00
62,Morocco,2006-02-15T03:44:00
63,Mozambique,2006-02-15T03:44:00
65,Nauru,2006-02-15T03:44:00
66,Nepal,2006-02-15T03:44:00
67,Netherlands,2006-02-15T03:44:00
68,New Zealand,2006-02-15T03:44:00
71,Oman,2006-02-15T03:44:00
72,Pakistan,2006-02-15T03:44:00
75,Philippines,2006-02-15T03:44:00
76,Poland,2006-02-15T03:44:00
78,Romania,2006-02-15T03:44:00
80,Russian Federation,2006-02-15T03:44:00
81,Saint Vincent and the Grenadines,2006-02-15T03:44:00
83,Senegal,2006-02-15T03:44:00
85,South Africa,2006-02-15T03:44:00
87,Spain,2006-02-15T03:44:00
88,Sri Lanka,2006-02-15T03:44:00
90,Sweden,2006-02-15T03:44:00
91,Switzerland,2006-02-15T03:44:00
92,Taiwan,2006-02-15T03:44:00
94,Thailand,2006-02-15T03:44:00
97,Turkey,2006-02-15T03:44:00
99,Tuvalu,2006-02-15T03:44:00
101,United Arab Emirates,2006-02-15T03:44:00
103,United States,2006-02-15T03:44:00
105,Vietnam,2006-02-15T03:44:00
107,Yemen,2006-02-15T03:44:00
109,Zambia,2006-02-15T03:44:00
