year,lgid,tmid,franchid,confid,divid,rank,confrank,playoff,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,o_tmrebound,d_tmrebound,homewon,homelost,awaywon,awaylost,neutwon,neutloss,confwon,confloss,divwon,divloss,pace,won,lost,games,min,arena,attendance,bbtmid
1992,NBA,CHH,NOH,EC,CD,3,5,CS,Шарлотта Шерлотта,3512,7210,1831,2374,175,537,1095,2508,3603,2161,1790,639,1325,473,9030,3634,7698,1548,234,753,2080,1350,2403,3753,2277,1923,599,1245,438,9050,0,0,22,19,22,19,0,0,29,27,12,16,0,44,38,82,19755.0,Шарлотта Колизей,32767,CHA
1953,NBA,FTW,DET,,WD,3,0,DR,Форт Уэйн Пистоны,1952,5187,1689,2315,0,0,0,0,3785,1474,1669,0,0,0,5593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5476,300,0,19,8,11,17,10,7,0,0,17,15,0,40,32,72,17480.0,Военный мемориал &lt; &lt; Колизей &gt; &gt;,32767,FWP
1980,NBA,PHO,PHO,WC,PC,1,1,CS,Солнце Феникса,3587,7326,1810,2430,35,161,1234,2490,3724,2205,1996,876,1733,416,9019,3368,7221,1762,69,209,2383,1160,2284,3444,1970,2116,912,1752,401,8567,0,0,36,5,21,20,0,0,44,16,22,8,0,57,25,82,19755.0,Мемориал &lt; &lt; Колизей &gt; &gt; &lt; &lt; Аризона ветеранз &gt; &gt;,32767,PHO
1963,NBA,NYK,NYK,,ED,4,0,,Нью-Йорк Никс,3512,7888,1952,2852,0,0,0,0,5067,1563,2222,0,0,0,8976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9521,569,629,10,25,8,27,4,6,0,0,7,29,0,22,58,80,19275.0,Скверный сад Мэдисон (III),32767,NYK
1970,ABA,KEN,KEN,,ED,2,0,F,Полковники Кентукки,3929,8520,2213,2930,193,597,0,0,4790,1878,2271,0,1569,0,10264,3948,8586,2205,159,493,2961,0,0,4530,1816,2229,0,1490,0,10260,0,0,26,15,18,23,0,2,0,0,28,24,0,44,40,84,20185.0,Зал свободы,32767,KEN
1967,NBA,BAL,WAS,,ED,6,0,,Балтиморские пули,3691,8428,2245,2994,0,0,0,0,5431,1534,2127,0,0,0,9627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9659,578,0,17,19,12,23,7,4,0,0,15,25,0,36,46,82,19755.0,Центр &lt; &lt; Балтимор &gt; &gt;,32767,BLT
1980,NBA,WSB,WAS,EC,AT,4,7,,Вашингтонские пули,3549,7517,1499,2072,65,241,1155,2533,3688,2151,1895,641,1422,392,8662,3518,7491,1588,37,176,2161,1204,2638,3842,2060,1888,739,1410,469,8661,0,0,26,15,13,28,0,0,23,35,8,16,0,39,43,82,19780.0,Капитальный центр,32767,WAS
1950,NBA,BOS,BOS,,ED,2,0,DS,Бостонская кельтика,2065,5607,1751,2415,0,0,0,0,3499,1579,1881,0,0,0,5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5899,210,0,26,6,9,22,4,2,0,0,21,19,0,39,30,69,16885.0,Бостонский сад,32767,BOS
1939,NBL,SHE,SHE,,WE,2,0,CF,Шебойган Редскинс,376,0,276,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,0,0,11,3,4,10,0,0,0,0,0,0,0,15,13,28,,,0,SHE
1993,NBA,DAL,DAL,WC,MW,6,13,,&lt; &lt; Даллас маверики &gt; &gt;,3055,7070,1450,1942,241,773,1271,2150,3421,1629,2007,767,1393,299,7801,3212,6508,1841,249,688,2498,1101,2503,3604,1970,1649,782,1428,507,8514,0,0,6,35,7,34,0,0,10,44,7,19,0,13,69,82,19730.0,Воссоединение Арены,32767,DAL
1957,NBA,DET,DET,,WD,2,0,DF,Детройт Пистоны,2746,7295,2093,2774,0,0,0,0,5168,1264,1807,0,0,0,7585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7754,783,0,14,14,13,18,6,7,0,0,18,18,0,33,39,72,17380.0,&lt; &lt; Детройт Олимпиа &gt; &gt;,32767,DET
1987,NBA,NYK,NYK,EC,AT,2,8,C1,Нью-Йорк Никс,3363,7232,1750,2306,179,567,1286,2194,3480,2012,2361,789,1518,445,8655,3202,6710,2177,114,375,2806,1155,2284,3439,2005,1969,705,1631,447,8695,0,0,29,12,9,32,0,0,27,31,10,14,0,38,44,82,19805.0,Скверный сад Мэдисон (IV),32767,NYK
1996,NBA,PHI,PHI,EC,AT,6,14,,Филадельфия 76 лет,3003,6850,1776,2450,433,1356,1267,2355,3622,1695,1733,683,1437,394,8215,3314,7045,1565,558,1529,2134,1186,2453,3639,2066,2008,822,1278,494,8751,0,0,11,30,11,30,0,0,14,40,11,14,0,22,60,82,19780.0,Центр &lt; &lt; Основные государства &gt; &gt;,32767,PHI
1980,NBA,POR,POR,WC,PC,3,4,C1,Портлендские шоссейные блейзеры,3741,7535,1573,2191,25,148,1243,2388,3631,2244,2034,769,1518,480,9080,3584,7351,1805,34,149,2377,1249,2419,3668,2109,1932,802,1575,422,9007,0,0,30,11,15,26,0,0,33,27,18,12,0,45,37,82,19855.0,Мемориал &lt; &lt; Колизей &gt; &gt;,32767,POR
1972,ABA,UTS,UTS,,WD,1,0,DF,Звезды Юты,3656,7499,2291,2886,105,335,1265,2891,4156,1963,2240,0,1582,0,9708,3528,7908,2085,103,391,2791,1466,2640,4106,1891,2283,0,1493,0,9244,0,0,37,5,18,23,0,1,0,0,29,15,0,55,29,84,20260.0,Соленый дворец,0,UTS
2006,NBA,DAL,DAL,WC,SW,1,1,C1,&lt; &lt; Даллас маверики &gt; &gt;,3010,6442,1646,2045,535,1404,920,2515,3435,1632,1837,560,1140,408,8201,2790,6241,1654,375,1074,2216,839,2286,3125,1471,1811,565,1190,312,7609,0,0,36,5,31,10,0,0,40,12,14,2,0,67,15,82,19755.0,Центр американских авиалиний,32767,
2007,NBA,IND,IND,EC,CD,3,9,,Индиана Пасерс,3102,6993,1568,2042,755,2021,904,2633,3537,1864,1921,623,1207,412,8527,3093,6817,1850,606,1571,2443,929,2800,3729,1820,1782,663,1233,416,8642,0,0,21,20,15,26,0,0,24,28,5,11,99,36,46,82,19755.0,Полевое отделение &lt; &lt; Консеко &gt; &gt;,32767,
