lake,country,province
Lac Leman,CH,GE
Lake Winnipesaukee,USA,New Hampshire
Lago Maggiore,CH,TI
Ozero Balchash,KAZ,Zhambyl
Bodensee,CH,SG
Lake Urmia,IR,Azarbayian e Gharbt
Maelaren,S,Stockholm
Lake Kariba,ZW,Zimbabwe
Lake Sakakawea,USA,North Dakota
Lake Sese Seko/Albertsee,EAU,Uganda
Fort Peck Lake,USA,Montana
Paeijaenne,SF,Suomi
Siljan,S,Dalarna
Chad Lake,CAM,Nord extreme
Vaettern,S,Ostergotland
Lake Ontario,CDN,Ontario
Atlin Lake,CDN,British Columbia
Vaenern,S,Varmland
Lake Hume,AUS,New South Wales
Lac Leman,F,Rhone Alpes
Lake Huron,CDN,Ontario
Lake Sese Seko/Albertsee,ZRE,Haut Zaire
Lake Huron,USA,Michigan
Lake Erie,USA,Pennsylvania
Lake Tanganjika,Z,Northern
Dead Sea,WEST,West Bank
Lake Michigan,USA,Indiana
Lake Abbe,ETH,Ethiopia
Chew Bahir,EAK,Eastern
Ozero Aral,UZB,Qaraqalpoghiston
Lake Rukwa,EAT,Tabora
Lake Champlain,USA,Vermont
Ozero Baikal,R,Irkutskaya oblast
Lake Powell,USA,Arizona
Lake Irazu,CR,Cartago
Lac Leman,CH,VS
Lake Prespa,GR,Dhytiki Makedhonia
Ozero Chanka,R,Primorsky kray
Rutanzige/Eduardsee,EAU,Uganda
Zurichsee,CH,GL
Great Bear Lake,CDN,Northwest Territories
Lake Rukwa,EAT,Mbeya
Lake Bosumtwi,GH,Ghana
Lake Turkana,EAK,Eastern
Etoscha Salt Pan,NAM,Namibia
Lake Titicaca,BOL,Bolivia
Saimaa,SF,Kymi
Lake Superior,USA,Wisconsin
Lake Toba,RI,Indonesia
Atlin Lake,CDN,Yukon Territory
Caspian Sea,KAZ,Mangghystau
Saimaa,SF,Mikkeli
Thunersee,CH,BE
Chad Lake,TCH,Chad
Starnberger See,D,Bayern
Lake Powell,USA,Utah
Zurichsee,CH,ZH
Caspian Sea,TM,Balkan
Lake Skutari,AL,Albania
Daryacheh ye Namak,IR,Tehran
Loch Lomond,GB,Highland
Caspian Sea,R,Rep. of Dagestan
Lake Urmia,IR,Azarbayian e Sharqi
Vaettern,S,Orebro
Lake Mweru,ZRE,Shaba/Katanga
Lake Winnipeg,CDN,Manitoba
Lake Kariba,Z,Southern
Lake Oahe,USA,North Dakota
Lake Superior,USA,Minnesota
Ozero Onega,R,Leningradskaya oblast
Licancabur Crater Lake,RCH,Chile
Lake Nasser,ET,Aswan
Lake Nicaragua,NIC,Nicaragua
Ozero Aral,KAZ,Qyzylorda
Ozero Pskovskoje,R,Pskovskaya oblast
Chiemsee,D,Bayern
Lake Keban,TR,Tunceli
Lake Victoria,EAT,Mara
Maelaren,S,Vastmanland
Vierwaldstattersee,CH,OW
Lake Malawi,MOC,Niassa
Lake Malawi,EAT,Iringa
Lake Nipigon,CDN,Ontario
Lago di Como,I,Lombardia
Caspian Sea,KAZ,Atyrau
Lago Trasimeno,I,Toscana
Lake Champlain,USA,New York
Lake Abbe,DJI,Djibouti
Lake Victoria,EAT,Mwanza
Lake Manitou,CDN,Ontario
Lake Superior,CDN,Ontario
Lake Nasser,SUD,ash Shamaliyah
Caspian Sea,AZ,Azerbaijan
Lake Champlain,CDN,Quebec
Lake Tahoe,USA,Nevada
Lake Chilwa,MOC,Niassa
Lake Titicaca,PE,Puno
Ozero Balchash,KAZ,Almaty (munic.)
Lake Keban,TR,Malatya
Vierwaldstattersee,CH,NW
Lake Erie,CDN,Ontario
Lake Skutari,MNE,Montenegro
Lake Nicaragua,CR,Alajuela
Ozero Balchash,KAZ,Zhezkazghan
Lake Turkana,EAK,Rift Valley
Lake Tanganjika,ZRE,Shaba/Katanga
Lake Bangweulu,Z,Northern
Lake Erie,USA,Michigan
Laacher Maar,D,Rheinland Pfalz
Lake Maracaibo,YV,Zulia
Lago di Garda ,I,Lombardia
Lake Bangweulu,Z,Luapula
Ozero Ladoga,R,Leningradskaya oblast
Nam Co,TJ,Tibet
Laguna Mar Chiquita,RA,Santa Fe
Storuman,S,Vasterbotten
Lake Ohrid,AL,Albania
Loch Ness,GB,Strathclyde
Lake Tanganjika,EAT,Kigoma
Lake Victoria,EAT,Kagera
Lake Malawi,EAT,Ruvuma
Hamun e Jaz Murian,IR,Sistan e Baluchestan
Salar de Uyuni,BOL,Bolivia
Lake Victoria,EAU,Uganda
Kentucky Lake,USA,Kentucky
Arresoe,DK,Denmark
Lake Kivu,ZRE,Kivu
Kallavesi,SF,Kuopio
Kentucky Lake,USA,Tennessee
Lake Tana,ETH,Ethiopia
Caspian Sea,R,Astrakhanskaya oblast
Pyramid Lake,USA,Nevada
Chad Lake,WAN,Nigeria
Balaton,H,Veszprem
Bodensee,D,Bayern
Lake Victoria,EAK,Western
Lake Tanganjika,EAT,Tabora
Lake Okeechobee,USA,Florida
Ozero Taimyr,R,Krasnoyarskiy kray
Ozero Pskovskoje,EW,Estonia
Lake Prespa,MK,Macedonia
Lake Michigan,USA,Michigan
Franklin. D. Roosevelt Lake,USA,Washington
Great Slave Lake,CDN,Northwest Territories
