sea,country,province
Skagerrak,N,Vest Agder
Pacific Ocean,R,Sakhalinskaya oblast
Atlantic Ocean,RH,Haiti
The Channel,F,Picardie
Caribbean Sea,HCA,Gracias a Dios
Pacific Ocean,MEX,Jalisco
Sea of Japan,R,Primorsky kray
Persian Gulf,UAE,Ras al Khaymah
Sunda Sea,RI,Indonesia
Andaman Sea,THA,Thailand
Atlantic Ocean,ANG,Benguela
Atlantic Ocean,BR,Para
Indian Ocean,COCO,Cocos Islands
Mediterranean Sea,MA,Morocco
Atlantic Ocean,WSA,Western Sahara
Persian Gulf,UAE,Ash Shariqah
Pacific Ocean,HCA,Choluteca
Skagerrak,N,Buskerud
North Sea,D,Bremen
Atlantic Ocean,WD,Dominica
Persian Gulf,IRQ,Al Basrah
Pacific Ocean,J,Tokushima
Pacific Ocean,AUS,New South Wales
Atlantic Ocean,FALK,Falkland Islands
Black Sea,TR,Zonguldak
Andaman Sea,MYA,Ayeyarwady
Malakka Strait,MAL,Melaka
South China Sea,MACX,Macau
Gulf of Bengal,MYA,Ayeyarwady
Atlantic Ocean,P,Lisbon
Yellow Sea,NOK,North Korea
Caribbean Sea,VIRG,Virgin Islands
South China Sea,MAL,Sabah
Atlantic Ocean,P,Beja
Atlantic Ocean,C,Matanzas
Atlantic Ocean,GB,Cornwall
Mediterranean Sea,GR,Kedriki Makedhonia
South China Sea,K,Cambodia
Atlantic Ocean,WL,Saint Lucia
Pacific Ocean,HCA,Valle
Arabian Sea,IND,Goa
Atlantic Ocean,STP,Sao Tome and Principe
Norwegian Sea,GB,Shetland
Atlantic Ocean,P,Leiria
Malakka Strait,SGP,Singapore
Pacific Ocean,R,Magadanskaya oblast
Pacific Ocean,J,Hokkaido
Pacific Ocean,J,Mie
Atlantic Ocean,ANG,Cuanza Sul
Atlantic Ocean,USA,New Hampshire
Atlantic Ocean,CAM,Centre
Atlantic Ocean,CDN,Prince Edward Island
Indian Ocean,RSA,Eastern Cape
Sulawesi Sea,RI,Indonesia
Atlantic Ocean,SN,Ziguinchor
South China Sea,VN,Vietnam
Persian Gulf,BRN,Bahrain
Atlantic Ocean,RA,Tierra del Fuego
Black Sea,TR,Kocaeli
Pacific Ocean,ES,El Salvador
Mediterranean Sea,E,Andalusia
North Sea,GB,Humberside
Barents Sea,R,Arkhangelskaya oblast
Irish Sea,GB,Cardiff
Atlantic Ocean,BEN,Benin
North Sea,GB,Orkneys
Gulf of Bengal,MYA,Rakhine
Pacific Ocean,COOK,Cook Islands
Atlantic Ocean,ANG,Luanda
Atlantic Ocean,BDS,Barbados
Norwegian Sea,FARX,Faroe Islands
Mediterranean Sea,ET,Sharqiya
Mediterranean Sea,ET,Dumyat
Gulf of Oman,OM,Oman
Pacific Ocean,MEX,Oaxaca
Bering Sea,R,Magadanskaya oblast
Persian Gulf,SA,Saudi Arabia
Atlantic Ocean,P,Setubal
Pacific Ocean,PE,Arequipa
East China Sea,J,Kagoshima
Atlantic Ocean,P,Porto
Sea of Japan,J,Yamaguchi
Pacific Ocean,PA,Darien
Caribbean Sea,C,Granma
Andaman Sea,IND,Andaman and Nicobar Is.
South China Sea,SGP,Singapore
Atlantic Ocean,BR,Pernambuco
Skagerrak,DK,Denmark
Mediterranean Sea,ET,El Iskandariya
Sulawesi Sea,MAL,Sarawak
Pacific Ocean,CO,Valle de Cauca
Atlantic Ocean,MA,Morocco
Mediterranean Sea,IL,Central
Caribbean Sea,AG,Antigua and Barbuda
Atlantic Ocean,BERM,Bermuda
Atlantic Ocean,RSA,Western Cape
Sea of Japan,J,Fukui
Atlantic Ocean,WAN,Nigeria
Pacific Ocean,PA,Herrera
Atlantic Ocean,SMAR,Saint Martin
Pacific Ocean,RP,Philippines
Atlantic Ocean,SN,Fatick
Arabian Sea,IND,Lakshadweep Is.
Caribbean Sea,SMAR,Saint Martin
Persian Gulf,UAE,Abu Dhabi
Caribbean Sea,WL,Saint Lucia
Atlantic Ocean,G,Gabon
Persian Gulf,IR,Khuzestan
Black Sea,RO,Constanta
Persian Gulf,OM,Oman
Andaman Sea,MYA,Bago
Pacific Ocean,CDN,Yukon Territory
Pacific Ocean,J,Wakayama
Indian Ocean,PK,Pakistan
East China Sea,J,Kumamoto
Atlantic Ocean,GB,Outer Hebrides
Arabian Sea,IND,Kerala
Skagerrak,N,Vestfold
Atlantic Ocean,C,Guantanamo
Atlantic Ocean,GH,Ghana
Baltic Sea,SF,Lappia
Atlantic Ocean,BR,Sergipe
Pacific Ocean,PE,Moquegua
Pacific Ocean,USA,California
Atlantic Ocean,KN,Saint Kitts and Nevis
North Sea,N,Vest Agder
Atlantic Ocean,AG,Antigua and Barbuda
Pacific Ocean,CR,Puntarenas
Atlantic Ocean,WAL,Sierra Leone
Mediterranean Sea,IL,Haifa
Pacific Ocean,VU,Vanuatu
Indian Ocean,MOC,Maputo
Gulf of Bengal,IND,West Bengal
Atlantic Ocean,SPMI,Saint Pierre and Miquelon
Caribbean Sea,C,Sancti Spiritus
Caribbean Sea,AXA,Anguilla
Mediterranean Sea,F,Corse
Mediterranean Sea,LAR,Libya
Red Sea,SUD,ash Sharqiyah
Baltic Sea,DK,Denmark
Baltic Sea,SF,Turku-Pori
Pacific Ocean,J,Iwate
Atlantic Ocean,E,Andalusia
Norwegian Sea,GROX,Greenland
Atlantic Ocean,E,Canary Islands
Atlantic Ocean,BR,Alagoas
Persian Gulf,KWT,Kuwait
Sea of Azov,UA,Krym
Arabian Sea,IND,Tamil Nadu
Atlantic Ocean,USA,Massachusetts
South China Sea,MAL,Terengganu
Caribbean Sea,WD,Dominica
Arabian Sea,IND,Gujarat
Caribbean Sea,C,Isla de la Juventud
Mediterranean Sea,TR,Balikesir
Arctic Ocean,USA,Alaska
Pacific Ocean,USA,Washington
Caribbean Sea,PA,Bocas del Toro
Black Sea,TR,Samsun
The Channel,GB,East Sussex
North Sea,NL,Zeeland
Atlantic Ocean,P,Viana do Castelo
North Sea,GB,Highland
Mediterranean Sea,TR,Hatay
Pacific Ocean,AUS,Victoria
Atlantic Ocean,TT,Trinidad and Tobago
Atlantic Ocean,USA,Virginia
Caribbean Sea,C,Guantanamo
Caribbean Sea,CO,Choco
Sea of Japan,J,Shimane
Pacific Ocean,TO,Tonga
Kattegat,S,Kristianstad
Persian Gulf,IR,Bushehr
Atlantic Ocean,C,Villa Clara
