country,independence,dependent,government
GBG,,GB,British crown dependency
WSA,,,legal status of territory and question of sovereignty unresolved
HR,1991-06-25,,parliamentary democracy
MD,1991-08-27,,republic
DOM,1844-02-27,,republic
TO,1970-06-04,,hereditary constitutional monarchy
L,,,constitutional monarchy
KIR,1979-07-12,,republic
CAYM,,GB,British Overseas Territories
BR,1822-09-07,,federal republic
YE,1990-05-22,,republic
BD,1971-12-16,,republic
EAU,1962-10-09,,republic
XMAS,,AUS,territory of Australia
PL,1918-11-11,,democratic state
KN,1983-09-19,,constitutional monarchy
YV,1811-07-05,,republic
BHT,1949-08-08,,monarchy
TUV,1978-10-01,,democracy
NIUE,1974-10-19,,self governing territory in free association with New Zealand
MK,1991-09-17,,emerging democracy
LV,1991-09-06,,republic
MART,,F,overseas department of France
BERM,,GB,British Overseas Territories
GBZ,,GB,dependent territory of the UK
AMSA,,USA,unincorporated and unorganized territory of the US
DK,,,constitutional monarchy
PAL,1994-10-01,,constitutional government in free association with the US
BF,1960-08-05,,parliamentary
GUAM,,USA,organized
I,1861-03-17,,republic
JA,1962-08-06,,parliamentary democracy
V,1929-02-11,,monarchical sacerdotal state
AL,1912-11-28,,emerging democracy
MACX,,TJ,special administrative area in China
BG,1908-09-22,,emerging democracy
P,1140-01-01,,republic
MW,1964-07-06,,multiparty democracy
FALK,,GB,British Overseas Territories
RCB,1960-08-15,,republic
EAT,1964-04-26,,republic
GR,1829-01-01,,parliamentary republic
CL,1948-02-04,,republic
LAO,1949-07-19,,Communist state
FARX,,DK,part of the Danish realm
UA,1991-12-01,,republic
ES,1821-09-15,,republic
CDN,1867-07-01,,confederation with parliamentary democracy
GBJ,,GB,British crown dependency
SYR,1946-04-17,,republic under military regime since March 1963
SN,1960-08-20,,republic under multiparty democratic rule
CZ,1993-01-01,,parliamentary democracy
NAU,1968-01-31,,republic
SVAX,,N,territory of Norway administered by the Ministry of Industry
DJI,1977-06-27,,republic
MV,1965-07-26,,republic
NA,,NL,part of the Dutch realm
UZB,1991-08-31,,republic
FJI,1970-10-10,,republic
AG,1981-11-01,,parliamentary democracy
ET,1922-02-28,,republic
SLB,1978-07-07,,parliamentary democracy
REUN,,F,overseas department of France
NMIS,,USA,commonwealth in political union with the US
TL,2002-05-20,,parliamentary democracy
MNTS,,GB,British Overseas Territories
RP,1946-07-04,,republic
LT,1991-09-06,,republic
GE,1991-04-09,,republic
PNG,1975-09-16,,parliamentary democracy
RWA,1962-07-01,,republic
NOK,,,Communist state
MAYO,,F,territorial collectivity of France
ER,1993-05-27,,transitional government
ETH,,,federal republic
MNE,2006-06-03,,parliamentary democracy
GNB,1974-09-10,,republic
PR,,USA,commonwealth associated with the US
IL,1948-05-14,,republic
BRU,1984-01-01,,constitutional sultanate
FGU,,F,overseas department of France
CAM,1960-01-01,,unitary republic
THA,1238-01-01,,constitutional monarchy
C,1902-05-20,,Communist state
ARM,1918-05-28,,republic
BIH,1992-04-01,,emerging democracy
WG,1974-02-07,,parliamentary democracy
BZ,1981-09-21,,parliamentary democracy
IR,1979-04-01,,theocratic republic
RG,1958-10-02,,republic
SMAR,,F,overseas collectivity of France
RH,1804-01-01,,republic
MS,1968-03-12,,parliamentary democracy
COCO,,AUS,territory of Australia
Z,1964-10-24,,republic
GCA,1821-09-15,,republic
N,1905-10-26,,constitutional monarchy
GB,1801-01-01,,constitutional monarchy
BDS,1966-11-30,,parliamentary democracy
MAL,1957-08-31,,constitutional monarchy
PE,1821-07-28,,republic
BS,1973-07-10,,commonwealth
RCA,1960-08-13,,republic
MH,1986-10-21,,constitutional government in free association with the US
TT,1962-08-31,,parliamentary democracy
LS,1966-10-04,,modified constitutional monarchy
IRL,1921-12-06,,republic
LAR,1951-12-24,,Jamahiriya in theory
PA,1903-11-03,,constitutional republic
S,,,constitutional monarchy
NZ,1907-09-26,,parliamentary democracy
HONX,,TJ,special administrative area in China
TAD,1991-09-09,,republic
RI,1945-08-17,,republic
JOR,1946-05-25,,constitutional monarchy
SA,1932-09-23,,monarchy
ANG,1975-11-11,,transitional government nominally a multiparty democracy with a strong presidential system
USA,1776-07-04,,federal republic
KGZ,1991-08-31,,republic
AFG,1919-08-19,,transitional government
CR,1821-09-15,,democratic republic
RMM,1960-09-22,,republic
SF,1917-12-06,,republic
WV,1979-10-27,,constitutional monarchy
D,1871-01-18,,federal republic
BI,1962-07-01,,republic
RM,1960-06-26,,republic
RA,1816-07-09,,republic
RC,,,multiparty democratic regime
MEX,1810-09-16,,federal republic operating under a centralized government
MYA,1948-01-04,,military regime
FL,1719-01-23,,hereditary constitutional monarchy
ZW,1980-04-18,,parliamentary democracy
NORF,,AUS,territory of Australia
COOK,,NZ,self governing parliamentary government in free association with New Zealand
K,1949-11-09,,multiparty liberal democracy under a constitutional monarchy established in September 1993
COM,1975-07-06,,independent republic
SPMI,,F,territorial collectivity of France
CY,1960-08-16,,republic
J,,,constitutional monarchy
WS,1962-01-01,,constitutional monarchy under native chief
GBM,,GB,British crown dependency
CO,1810-07-20,,republic
RCH,1810-09-18,,republic
RSM,0301-01-01,,republic
AUS,1901-01-01,,federal parliamentary state
AND,,,parliamentary democracy that retains as its heads of state a coprincipality
TCH,1960-08-11,,republic
ARU,,NL,part of the Dutch realm
NL,1579-01-01,,constitutional monarchy
CI,1960-08-07,,republic
NEP,1768-01-01,,parliamentary democracy as of 12 May 1991
