name,country,province,population,longitude,latitude
Bakersfield,USA,California,176264.0,-119.05,35.4167
Meerut,IND,Uttar Pradesh,753778.0,,
Stockholm,S,Stockholm,711119.0,18.0667,59.35
La Paz,MEX,Baja California Sur,137641.0,-100.5,24.1
Ruda Slaska,PL,Katowickie,170000.0,,
Helsingborg,S,Malmohus,114339.0,,
Stroud,GB,Gloucestershire,105400.0,,
Pecs,H,Pecs (munic.),171000.0,,
Tashkent,UZB,Toshkent,2106000.0,69.3,41.3333
Mosul,IRQ,Ninawa,664221.0,43.15,36.3167
Grudziadz,PL,Torunskie,101000.0,,
Gorno Altaysk,R,Rep. of Altay,,,
Novo Iguacu,BR,Rio de Janeiro,801036.0,,
Pachuca,MEX,Hidalgo,174013.0,,
Petare,YV,Miranda,338417.0,,
Santa Rosa,USA,California,113261.0,-122.817,38.5167
Bukhoro,UZB,Bukhoro,236000.0,,
Kirsehir,TR,Kirsehir,,,
Cuernavaca,MEX,Morelos,279187.0,-99.2,19.0
Chongjin,NOK,North Korea,520000.0,,
Pematang Siantar,RI,Indonesia,219328.0,,
Nam Dinh,VN,Vietnam,219615.0,,
Managua,NIC,Nicaragua,1195000.0,-86.25,12.1667
Baracaldo,E,Basque Country,103594.0,,
Nossa Senhora do Socorro,BR,Sergipe,103496.0,,
Ann Arbor,USA,Michigan,109608.0,,
Batna,DZ,Algeria,181601.0,,
Minna,WAN,Nigeria,120000.0,,
Donetsk,UA,Donetska,1117000.0,,
Kunsan,ROK,South Korea,266517.0,,
Kumasi,GH,Ghana,376249.0,,
Vila Nova de Gaia,P,Porto,62468.0,,
Cleveland,USA,Ohio,505616.0,,
Botucatu,BR,Sao Paulo,100826.0,,
Lviv,UA,Lvivska,798000.0,,
Poltava,UA,Poltavska,317000.0,,
Salford,GB,Greater Manchester,230700.0,,
Sao Jose dos Campos,BR,Sao Paulo,485780.0,,
Lucapa,ANG,Lunda Norte,,,
San Miguel de Tucuman,RA,Tucuman,622324.0,-65.2,-26.5
Freiburg im Breisgau,D,Baden Wurttemberg,198496.0,,
Lubeck,D,Schleswig Holstein,216854.0,,
Constantine,DZ,Algeria,440842.0,,
Kaiserslautern,D,Rheinland Pfalz,101910.0,,
