city,province,country,river,lake,sea
Valladolid,Castile and Leon,E,Douro,,
The Valley,Anguilla,AXA,,,Atlantic Ocean
Basseterre,Saint Kitts and Nevis,KN,,,Caribbean Sea
Wiesbaden,Hessen,D,Main,,
El Giza,El Giza,ET,Nile,,
Skikda,Algeria,DZ,,,Mediterranean Sea
Fareham,Hampshire,GB,,,The Channel
Tromsoe,Troms,N,,,Norwegian Sea
Halifax,Nova Scotia,CDN,,,Atlantic Ocean
Torshavn,Faroe Islands,FARX,,,Norwegian Sea
Okhotsk,Magadanskaya oblast,R,,,Sea of Okhotsk
Safi,Morocco,MA,,,Atlantic Ocean
Sao Tome,Sao Tome and Principe,STP,,,Atlantic Ocean
Vila Velha,Espirito Santo,BR,,,Atlantic Ocean
Zaragoza,Aragon,E,Ebro,,
Kavaratti,Lakshadweep Is.,IND,,,Arabian Sea
Tunis,Tunisia,TN,,,Mediterranean Sea
Chongqing,Sichuan,TJ,Jangtse,,
Kobe,Hyogo,J,,,Pacific Ocean
Colwyn Bay,Aberconwy and Colwyn,GB,,,Irish Sea
Pago Pago,American Samoa,AMSA,,,Pacific Ocean
Castries,Saint Lucia,WL,,,Caribbean Sea
Panama City,Panama,PA,,,Pacific Ocean
Omsk,Omskaya oblast,R,Irtysch,,
Independence,Missouri,USA,Missouri,,
Buffalo,New York,USA,,Lake Erie,
Nukualofa,Tonga,TO,,,Pacific Ocean
Mariestad,Skaraborg,S,,Vaenern,
Zamboanga,Philippines,RP,,,Sulawesi Sea
Petropavl,Soltustik Qazaqstan,KAZ,Ischim,,
La Coruna,Galicia,E,,,Atlantic Ocean
Castellon de la Plana,Valencia,E,,,Mediterranean Sea
Mamoutzou,Mayotte,MAYO,,,Indian Ocean
Arkhangelsk,Arkhangelskaya oblast,R,Northern Dwina,,Barents Sea
Vaasa,Vaasa,SF,,,Baltic Sea
Haifa,Haifa,IL,,,Mediterranean Sea
Innsbruck,Tyrol,A,Inn,,
Kenitra,Morocco,MA,,,Atlantic Ocean
Varanasi,Uttar Pradesh,IND,Ganges,,
Turku,Turku-Pori,SF,,,Baltic Sea
Lillehammer,Oppland,N,,Mjoesa-See,
Saint Peter Port,Guernsey,GBG,,,The Channel
Donostia,Basque Country,E,,,Atlantic Ocean
Dubai,Dubayy,UAE,,,Persian Gulf
Bujumbura,Burundi,BI,,Lake Tanganjika,
Kremenchuk,Poltavska,UA,Dnepr,,
Trondheim,Soer Trondelag,N,,,Norwegian Sea
Porto Alegre,Rio Grande do Sul,BR,,,Atlantic Ocean
Steinkjer,Nord Trondelag,N,,,Norwegian Sea
George Town,Cayman Islands,CAYM,,,Caribbean Sea
Buffalo,New York,USA,,Lake Erie,
Pori,Turku-Pori,SF,Kokemaeenjoki,,
Turin,Piemonte,I,Po,,
Dededo,Guam,GUAM,,,Pacific Ocean
Santos,Sao Paulo,BR,,,Atlantic Ocean
Yibin,Sichuan,TJ,Jangtse,,
Kurgan,Kurganskaya oblast,R,Tobol,,
Krakow,Krakowskie,PL,Weichsel,,
Southend on Sea,Essex,GB,Thames,,North Sea
Hamburg,Hamburg,D,Elbe,,
Abu Dhabi,Abu Dhabi,UAE,,,Persian Gulf
Verona,Veneto,I,Etsch,,
Khorramshahr,Khuzestan,IR,Karun,,
Rovaniemi,Lappia,SF,Ounasjoki,,
Kagoshima,Kagoshima,J,,,East China Sea
Santa Fe,Santa Fe,RA,Parana,,
Honolulu,Hawaii,USA,,,Pacific Ocean
Victoria,British Columbia,CDN,,,Pacific Ocean
Wonsan,North Korea,NOK,,,Sea of Japan
Qingdao,Shandong,TJ,,,Yellow Sea
Chiba,Chiba,J,,,Pacific Ocean
Pusan,South Korea,ROK,,,Sea of Japan
Serpukhov,Moskovskaya oblast,R,Oka,,
Tolyatti,Samarskaya oblast,R,Volga,,
Hualien,Taiwan,RC,,,Pacific Ocean
Myitkyina,Kachin,MYA,Irawaddy,,
Messina,Sicilia,I,,,Mediterranean Sea
Dublin,Ireland,IRL,,,Irish Sea
Dhaka,Bangladesh,BD,Ganges,,
El Giza,El Giza,ET,Nile,,
Semarang,Indonesia,RI,,,Sunda Sea
Baton Rouge,Louisiana,USA,Mississippi,,
Simbirsk,Ulyanovskaya oblast,R,Volga,,
Concordia,Entre Rios,RA,Uruguay,,
Poole,Dorset,GB,,,The Channel
Ciudad Juarez,Chihuahua,MEX,Rio Grande,,
Ancona,Marche,I,,,Mediterranean Sea
Piraeus,Attiki,GR,,,Mediterranean Sea
Albuquerque,New Mexico,USA,Rio Grande,,
Bremerhaven,Bremen,D,Weser,,North Sea
Bahia Blanca,Buenos Aires,RA,,,Atlantic Ocean
Willemstad,Netherlands Antilles,,,,Caribbean Sea
An Najaf,An Najaf,IRQ,Euphrat,,
Ujung Pandang,Indonesia,RI,,,Sunda Sea
Zurich,ZH,CH,Limmat,Zurichsee,
Chita,Chitinskaya oblast,R,Schilka,,
Harnosand,Vasternorrland,S,,,Baltic Sea
Wakayama,Wakayama,J,,,Pacific Ocean
Grand Turk,Turks and Caicos Islands,TUCA,,,Atlantic Ocean
Oslo,Oslo,N,,,Skagerrak
Moss,Oestfold,N,,,Skagerrak
Dakar,Dakar,SN,,,Atlantic Ocean
Bratislava,Slovakia,SK,Donau,,
Sharjah,Ash Shariqah,UAE,,,Persian Gulf
Solothurn,SO,CH,Aare,,
Cartagena,Murcia,E,,,Mediterranean Sea
Victoria,Seychelles,SY,,,Indian Ocean
Sevilla,Andalusia,E,Guadalquivir,,
Annaba,Algeria,DZ,,,Mediterranean Sea
Onitsha,Nigeria,WAN,Niger,,
Qena,Qena,ET,Nile,,
Lyon,Rhone Alpes,F,Saone,,
Gdansk,Gdanskie,PL,Weichsel,,Baltic Sea
Nakhodka,Primorsky kray,R,,,Sea of Japan
Noumea,New Caledonia,NCA,,,Pacific Ocean
Ulm,Baden Wurttemberg,D,Donau,,
Wroclaw,Wroclawskie,PL,Oder,,
Regensburg,Bayern,D,Donau,,
Ostrava,Severomoravsky,CZ,Oder,,
Dover,Kent,GB,,,The Channel
Djibouti,Djibouti,DJI,,,Gulf of Aden
Posadas,Misiones,RA,Parana,,
El Arish,Sina ash Shamaliyah,ET,,,Mediterranean Sea
Southampton,Hampshire,GB,,,The Channel
St. Petersburg,Florida,USA,,,Gulf of Mexico
Svolvaer,Nordland,N,,,Norwegian Sea
Mosul,Ninawa,IRQ,Tigris,,
Zaragoza,Aragon,E,Ebro,,
Zaporizhzhya,Zaporizka,UA,Dnepr,,
Monrovia,Liberia,LB,,,Atlantic Ocean
Montevideo,Uruguay,ROU,,,Atlantic Ocean
Yueyang,Hunan,TJ,Jangtse,,
Volgograd,Volgogradskaya oblast,R,Volga,,
Bournemouth,Dorset,GB,,,The Channel
The Valley,Anguilla,AXA,,,Atlantic Ocean
Matsuyama,Ehime,J,,,Pacific Ocean
Surabaya,Indonesia,RI,,,Sunda Sea
Grenoble,Rhone Alpes,F,Isere,,
Sinuiju,North Korea,NOK,,,Yellow Sea
Edmonton,Alberta,CDN,Saskatchewan River,,
Toronto,Ontario,CDN,,Lake Ontario,
Pisa,Toscana,I,Arno,,
Norfolk,Virginia,USA,,,Atlantic Ocean
Kaluga,Kaluzhskaya oblast,R,Oka,,
Jamestown,Saint Helena,HELX,,,Atlantic Ocean
Badalona,Catalonia,E,,,Mediterranean Sea
Neuss,Nordrhein Westfalen,D,Rhein,,
Dili,Timor-Leste,TL,,,Sunda Sea
Kremenchuk,Poltavska,UA,Dnepr,,
Albany,Western Australia,AUS,,,Indian Ocean
Astrakhan,Astrakhanskaya oblast,R,Volga,,
Bratsk,Irkutskaya oblast,R,Angara,,
Nantong,Jiangsu,TJ,Jangtse,,
Aarau,AG,CH,Aare,,
Fukuoka,Fukuoka,J,,,Sea of Japan
Kurgan,Kurganskaya oblast,R,Tobol,,
Cardiff,Cardiff,GB,,,Irish Sea
Banjarmasin,Indonesia,RI,,,Sunda Sea
Cartagena,Murcia,E,,,Mediterranean Sea
Saint Peter Port,Guernsey,GBG,,,The Channel
Little Rock,Arkansas,USA,Arkansas,,
Heilbronn,Baden Wurttemberg,D,Neckar,,
Kaohsiung,Taiwan,RC,,,South China Sea
Aracaju,Sergipe,BR,,,Atlantic Ocean
Rabat,Morocco,MA,,,Atlantic Ocean
Oshawa,Ontario,CDN,,Lake Ontario,
Hammerfest,Finnmark,N,,,Barents Sea
Luoyang,Henan,TJ,Hwangho,,
Mata-Utu,Wallis and Futuna,WAFU,,,Pacific Ocean
