country,gdp,agriculture,service,industry,inflation
SLB,1000.0,,,,13.0
FPOL,6100.0,3.5,20.4,76.1,1.1
ETH,24200.0,48.0,15.0,37.0,10.0
BVIR,133.0,,,,2.5
SD,3600.0,25.0,40.0,35.0,14.7
MAL,193600.0,8.0,25.0,67.0,5.3
RB,4500.0,5.0,,,10.0
E,565000.0,3.6,33.6,62.8,4.3
CI,21900.0,37.0,24.0,39.0,10.0
RO,105700.0,19.6,36.3,44.1,25.0
KGZ,5400.0,,,,32.0
TN,37100.0,15.0,30.0,55.0,5.5
VN,97000.0,28.0,28.0,44.0,14.0
TL,489.0,32.2,12.8,55.0,7.8
V,,,,,
FSM,205.0,,,,4.0
ROK,590700.0,8.0,45.0,47.0,4.3
CDN,694000.0,2.0,26.0,72.0,2.4
CR,18400.0,,,,22.5
IRL,54600.0,6.8,35.3,57.9,2.8
RL,18300.0,13.0,28.0,59.0,9.0
RM,11400.0,35.0,15.0,50.0,35.0
COOK,183.2,15.1,9.6,75.3,2.1
BS,4800.0,3.0,35.0,62.0,1.5
RA,278500.0,6.0,31.0,63.0,1.7
MAYO,953.6,,,,
SME,1300.0,21.6,23.7,54.7,62.0
G,6000.0,8.2,44.7,47.1,15.0
MART,3950.0,6.0,11.0,83.0,3.9
L,10000.0,1.4,33.7,64.9,3.6
MOC,12200.0,33.0,12.0,55.0,50.0
SGP,66100.0,,28.0,72.0,1.7
GR,101700.0,11.8,22.2,66.0,8.1
NMIS,633.4,,,,-0.8
RN,5500.0,38.5,17.9,43.6,35.6
Q,10700.0,1.0,50.0,49.0,3.0
KOS,3237.0,20.0,20.0,60.0,5.3
FALK,105.1,,,,
PA,13600.0,10.0,16.0,74.0,1.1
DOM,26800.0,13.0,32.0,55.0,9.5
IR,323500.0,21.0,37.0,42.0,60.0
GBZ,205.0,,,,
EC,44600.0,13.0,39.0,48.0,25.0
TCH,3300.0,49.0,17.0,34.0,41.0
HONX,307600.0,0.0,7.9,92.0,2.1
SPMI,68.0,,,,
CY,7800.0,5.6,24.9,69.5,
MEX,721400.0,8.5,28.4,63.1,52.0
N,106200.0,2.9,34.7,62.4,2.5
SK,39000.0,6.7,47.6,45.7,7.5
LT,13300.0,20.0,42.0,38.0,35.0
RSA,215000.0,,,,8.7
MYA,47000.0,60.0,10.0,30.0,38.0
RMM,5400.0,42.4,15.4,42.2,8.0
EAK,36800.0,27.0,19.0,54.0,1.7
XMAS,,,,,
PAL,81.8,,,,
AL,4100.0,55.0,,,16.0
MV,390.0,21.5,15.3,63.2,16.5
NA,2800.0,1.0,15.0,84.0,2.1
NEP,25200.0,49.3,18.4,32.3,6.7
NIC,7100.0,,,,11.4
RG,6500.0,24.0,31.0,45.0,4.1
FARX,733.0,,,,6.8
WAL,4400.0,40.0,17.0,43.0,24.0
RH,6500.0,34.8,23.0,42.2,14.5
MH,94.0,,,,4.0
DJI,500.0,3.0,21.0,76.0,6.0
CZ,106200.0,5.8,40.7,53.5,9.1
IL,80100.0,3.5,22.0,74.5,10.1
ARU,2258.0,,,,3.4
MNTS,29.0,1.2,23.1,75.7,2.6
BY,49200.0,21.0,49.0,30.0,244.0
GCA,36700.0,25.0,20.0,55.0,9.0
LB,2300.0,,,,50.0
CO,192500.0,21.5,29.0,49.5,19.5
OM,19100.0,3.0,60.0,37.0,-0.7
GBG,,,,,7.0
NAU,100.0,,,,-3.6
KWT,30800.0,0.0,55.0,45.0,5.0
DZ,108700.0,12.0,50.0,38.0,28.0
PY,17000.0,25.7,25.8,48.5,10.5
SLO,22600.0,5.3,39.9,54.8,8.0
SUD,25000.0,33.0,17.0,50.0,66.0
COCO,,,,,
NORF,,,,,
HCA,10800.0,30.0,20.0,50.0,30.0
BRN,7300.0,,,,3.0
RC,290500.0,3.6,37.3,59.1,4.0
C,14700.0,7.0,30.0,63.0,
CL,65600.0,24.0,24.0,52.0,8.4
GUAD,3700.0,6.0,9.0,85.0,3.7
Z,8900.0,32.0,22.0,46.0,55.0
AUS,405400.0,3.1,27.7,69.2,4.75
EW,12300.0,10.0,37.0,53.0,29.0
WS,415.0,50.0,,,18.0
M,4400.0,,,,5.0
HR,20100.0,12.7,30.6,56.7,3.7
H,72500.0,7.3,37.5,55.2,28.3
ER,2000.0,,,,10.0
GNB,1000.0,44.0,8.0,48.0,15.0
IRQ,41100.0,,,,
TM,11500.0,32.5,33.4,34.1,25.0
VU,210.0,,,,7.0
BHT,1300.0,,,,8.6
D,1452200.0,1.0,34.2,64.8,
MD,10400.0,33.0,36.0,31.0,24.0
CH,158500.0,3.0,33.5,63.5,1.8
LAO,5200.0,50.0,17.0,33.0,20.0
JOR,19300.0,11.0,25.0,64.0,3.0
UA,174600.0,31.0,43.0,26.0,9.0
CV,440.0,13.0,17.0,70.0,5.0
B,197000.0,2.0,28.0,70.0,1.6
BG,43200.0,12.0,36.0,52.0,35.0
GQ,325.0,47.0,26.0,27.0,41.0
PR,88000.0,1.0,45.0,54.0,6.5
YV,195500.0,5.0,41.0,54.0,57.0
R,796000.0,6.0,41.0,53.0,7.0
MNE,4515.0,,,,3.4
I,1088600.0,2.9,31.6,65.5,5.4
AND,1000.0,,,,
WL,640.0,13.8,17.4,68.8,0.8
DK,112800.0,3.0,23.5,73.5,2.4
GBM,780.0,,,,7.0
SVAX,,,,,
WEST,3700.0,33.0,7.0,60.0,14.0
RI,710900.0,17.0,32.6,50.4,8.6
RCH,113200.0,7.4,36.4,56.2,8.1
NOK,21500.0,25.0,60.0,15.0,
NCA,3158.0,15.0,8.8,76.2,1.4
RT,4100.0,49.2,17.7,33.1,8.8
MA,87400.0,14.3,32.2,53.5,5.4
CAYM,1939.0,1.4,3.2,95.4,4.4
GAZA,1700.0,,,,5.7
ANG,7400.0,12.0,56.0,32.0,20.0
SF,92400.0,4.6,28.0,67.4,2.0
AG,425.0,3.5,19.3,77.2,3.5
TT,16200.0,4.8,44.5,50.7,5.4
RSM,380.0,,,,5.5
MW,6900.0,31.0,14.0,55.0,83.3
HELX,18.0,,,,
UZB,54700.0,,,,7.7
PITC,,,,,
K,7000.0,52.0,13.5,34.5,6.0
ARM,9100.0,57.0,36.0,7.0,32.2
PE,87000.0,,,,10.2
BERM,4500.0,1.0,10.0,89.0,2.8
MACX,220400.0,0.1,2.8,97.1,6.2
BF,7400.0,32.0,24.0,44.0,5.0
KIR,68.0,,,,5.5
BDS,2500.0,6.4,39.3,54.3,1.7
WAFU,60.0,,,,
WD,200.0,26.0,,,0.4
ES,11400.0,,,,11.4
SRB,52180.0,12.3,24.2,63.5,6.8
PL,226700.0,7.0,38.0,55.0,21.6
WAN,135900.0,38.0,22.0,40.0,57.0
LV,14700.0,9.0,31.0,60.0,20.0
A,152000.0,2.0,34.0,64.0,2.3
F,1173000.0,2.4,26.5,71.1,1.7
SA,189300.0,9.0,50.0,41.0,5.0
MS,10900.0,,,,9.4
BIH,1000.0,,,,
RP,179700.0,22.0,30.0,48.0,8.1
PNG,10200.0,,,,15.0
ET,171000.0,,,,9.4
J,2679200.0,2.1,40.2,57.7,-0.1
FJI,4700.0,22.0,17.0,61.0,2.0
MK,1900.0,24.0,44.0,32.0,14.8
WSA,,,,,
GUAM,2500.0,,,,2.5
STP,138.0,28.0,14.0,58.0,38.0
MNG,4900.0,28.0,35.0,37.0,53.0
REUN,2900.0,,,,
WAG,1100.0,27.0,15.0,58.0,1.7
BR,976800.0,16.0,25.0,59.0,23.0
KN,220.0,6.2,35.7,58.1,-0.9
BEN,7600.0,36.8,12.6,50.6,55.0
BD,144500.0,,,,4.5
LAR,32900.0,,,,25.0
MC,788.0,,,,
LS,2800.0,10.4,48.8,40.8,9.5
KAZ,46900.0,28.5,41.5,30.0,60.3
ZW,18100.0,18.3,35.3,46.4,25.8
FL,630.0,,,,5.4
