sea1,sea2
East China Sea,South China Sea
Andaman Sea,Gulf of Bengal
Arctic Ocean,Sibirian Sea
Arctic Ocean,Atlantic Ocean
Gulf of Bengal,Pacific Ocean
Pacific Ocean,Sea of Okhotsk
North Sea,Skagerrak
Atlantic Ocean,Caribbean Sea
Barents Sea,Norwegian Sea
East China Sea,Yellow Sea
Gulf of Oman,Persian Gulf
East China Sea,Pacific Ocean
South China Sea,Sulawesi Sea
Gulf of Bengal,Sunda Sea
Arctic Ocean,Bering Sea
Arabian Sea,Gulf of Aden
Arctic Ocean,Barents Sea
Black Sea,Mediterranean Sea
Baltic Sea,North Sea
Pacific Ocean,Sulawesi Sea
Bering Sea,Pacific Ocean
Arabian Sea,Indian Ocean
East China Sea,Sea of Japan
Pacific Ocean,Sunda Sea
Gulf of Aden,Red Sea
Arctic Ocean,Norwegian Sea
Atlantic Ocean,Gulf of Mexico
Atlantic Ocean,The Channel
Black Sea,Sea of Azov
Andaman Sea,Malakka Strait
Caribbean Sea,Gulf of Mexico
Gulf of Aden,Indian Ocean
Malakka Strait,South China Sea
Pacific Ocean,Sea of Japan
North Sea,The Channel
Atlantic Ocean,Indian Ocean
Atlantic Ocean,North Sea
Sea of Japan,Yellow Sea
Indian Ocean,Sunda Sea
Atlantic Ocean,Irish Sea
Pacific Ocean,South China Sea
Andaman Sea,Indian Ocean
Barents Sea,Sibirian Sea
Atlantic Ocean,Mediterranean Sea
Sea of Japan,Sea of Okhotsk
Atlantic Ocean,Norwegian Sea
Arabian Sea,Gulf of Oman
Indian Ocean,Pacific Ocean
South China Sea,Sunda Sea
Kattegat,Skagerrak
Atlantic Ocean,Pacific Ocean
North Sea,Norwegian Sea
Sulawesi Sea,Sunda Sea
Gulf of Oman,Indian Ocean
