abbreviation,name,city,country,province,established
ICFTU,International Confederation of Free Trade Unions,Brussels,B,Brabant,1949-12-01
EIB,European Investment Bank,Luxembourg,L,Luxembourg,1957-03-25
UNMIH,United Nations Mission in Haiti,New York,USA,New York,1993-09-23
G-15,Group of 15,Geneva,CH,GE,
ITU,International Telecommunication Union,Geneva,CH,GE,1932-12-09
AMF,Arab Monetary Fund,Abu Dhabi,UAE,Abu Dhabi,1976-04-27
AG,Andean Group,Lima,PE,Lima,1969-05-26
NSG,Nuclear Suppliers Group,Vienna,A,Vienna,
ECA,Economic Commission for Africa,Addis Ababa,ETH,Ethiopia,1958-04-29
ECLAC,Economic Commission for Latin America and the Caribbean,Santiago,RCH,Chile,1948-02-25
Entente,Council of the Entente,Abidjan,CI,Cote dIvoire,1959-05-29
G-6,Group of 6,,,,1984-05-22
UPU,Universal Postal Union,Bern,CH,BE,1874-10-09
OSCE,Organization for Security and Cooperation in Europe,Vienna,A,Vienna,1995-01-01
UNMOT,United Nations Mission of Observers in Tajikistan,New York,USA,New York,1994-12-16
CDB,Caribbean Development Bank,,,,1969-10-18
ILO,International Labor Organization,Geneva,CH,GE,1919-04-11
Mekong Group,ASEAN-Mekong Basin Development Group,,,,1995-12-01
G-5,Group of 5,,,,1985-09-22
Sparteca,South Pacific Regional Trade and Economic Cooperation Agreement,,,,1981-01-01
NATO,North Atlantic Treaty Organization,Brussels,B,Brabant,1949-09-17
UNPROFOR,United Nations Protection Force,New York,USA,New York,1992-02-28
UNIFIL,United Nations Interim Force in Lebanon,New York,USA,New York,1978-03-19
WFTU,World Federation of Trade Unions,Prague,CZ,Praha,1945-10-03
LAES,Latin American Economic System,Caracas,YV,Distrito Federal,1975-10-17
Intelsat,International Telecommunications Satellite Organization,Washington,USA,Distr. Columbia,1971-08-20
ANC,North Atlantic Cooperation Council,Brussels,B,Brabant,1991-11-08
OAS,Organization of American States,Washington,USA,Distr. Columbia,1948-04-30
IFRCS,International Federation of Red Cross and Red Crescent Societies,Geneva,CH,GE,1919-05-05
NAM,Nonaligned Movement,Jakarta,RI,Indonesia,1961-09-01
UNOMIG,United Nations Observer Mission in Georgia,New York,USA,New York,
IDA,International Development Association,Washington,USA,Distr. Columbia,1960-01-26
UNITAR,United Nations Institute for Training and Research,,,,1963-12-11
WEU,Western European Union,Brussels,B,Brabant,1954-10-23
OAU,Organization of African Unity,Addis Ababa,ETH,Ethiopia,1963-05-25
UN,United Nations,New York,USA,New York,1945-06-26
