country1,country2,length
IL,SYR,76.0
MEX,USA,3326.0
PY,RA,1880.0
CAM,TCH,1094.0
EAU,SUD,435.0
R,TJ,3645.0
KAZ,TM,379.0
AZ,GE,322.0
BRU,MAL,381.0
BR,CO,1643.0
BEN,RT,644.0
MOC,Z,419.0
ET,IL,255.0
N,R,167.0
ARM,AZ,787.0
KGZ,TJ,858.0
MAL,THA,506.0
SUD,ZRE,628.0
BG,SRB,318.0
BF,RT,126.0
RMM,RN,821.0
E,P,1214.0
ANG,Z,1110.0
PL,UA,428.0
PL,R,206.0
E,GBZ,1.2
RSA,ZW,225.0
I,SLO,235.0
RB,RSA,1840.0
DOM,RH,275.0
SK,UA,90.0
BR,FGU,673.0
RI,TL,228.0
DZ,RMM,1376.0
EW,LV,267.0
I,V,3.2
GNB,SN,338.0
EAK,EAT,769.0
KAZ,R,6846.0
GAZA,IL,51.0
I,RSM,39.0
CI,LB,716.0
AFG,TM,744.0
EAT,MW,475.0
A,H,366.0
RIM,SN,813.0
LV,R,217.0
MD,RO,450.0
MYA,THA,1800.0
LB,WAL,306.0
BR,PE,1560.0
CI,RMM,532.0
IL,RL,79.0
BF,RN,628.0
A,CZ,362.0
ANG,NAM,1376.0
RO,SRB,476.0
D,L,138.0
BIH,KOS,225.0
BI,ZRE,233.0
BOL,BR,3400.0
RCA,SUD,1165.0
EAT,MOC,756.0
BR,PY,1290.0
G,RCB,1903.0
ER,ETH,912.0
GUY,SME,600.0
BEN,BF,306.0
AND,E,65.0
EAK,SP,682.0
BR,YV,2200.0
SUD,TCH,1360.0
F,MC,4.4
EAT,RWA,217.0
EAU,RWA,169.0
AFG,IR,936.0
GE,R,723.0
AFG,UZB,137.0
TJ,VN,1281.0
TM,UZB,1621.0
CR,NIC,309.0
IRQ,JOR,181.0
ES,GCA,203.0
DJI,SP,58.0
LAR,RN,354.0
NA,SMAR,15.0
IND,MYA,1463.0
TCH,WAN,87.0
BD,MYA,193.0
BG,GR,494.0
AZ,IR,611.0
CI,RG,610.0
D,NL,577.0
MOC,MW,1569.0
BR,GUY,1119.0
KGZ,UZB,1099.0
EAU,ZRE,765.0
MOC,RSA,491.0
OM,UAE,410.0
PK,TJ,523.0
A,SK,91.0
ES,HCA,342.0
BEN,RN,266.0
LT,LV,453.0
EAK,EAU,933.0
CAM,WAN,1690.0
EW,R,290.0
OM,YE,288.0
BOL,RCH,861.0
AL,MNE,172.0
RCA,ZRE,1577.0
IR,PK,909.0
CZ,PL,658.0
AL,MK,151.0
CZ,D,646.0
K,THA,803.0
BHT,IND,605.0
NEP,TJ,1236.0
RIM,RMM,2237.0
RSA,SD,430.0
AL,KOS,112.0
CR,PA,330.0
BIH,SRB,302.0
CZ,SK,215.0
MNE,SRB,124.0
R,UA,1576.0
RG,SN,330.0
MOC,ZW,1231.0
R,SF,1313.0
GR,MK,228.0
DZ,TN,965.0
N,SF,729.0
SA,YE,1458.0
KOS,SRB,352.0
HONX,TJ,30.0
EC,PE,1420.0
LAR,TCH,1055.0
ET,LAR,1150.0
B,NL,450.0
IRQ,SA,814.0
A,I,430.0
BEN,WAN,773.0
MW,Z,837.0
MACX,TJ,0.34
BOL,PY,750.0
CH,I,740.0
MOC,SD,105.0
CO,YV,2050.0
ARM,IR,35.0
ET,SUD,1273.0
BF,GH,548.0
LAO,TJ,423.0
H,SK,515.0
MNG,TJ,4673.0
KOS,MNE,79.0
GCA,HCA,256.0
EAT,Z,338.0
BY,R,959.0
SN,WAG,740.0
DZ,RIM,463.0
AZ,TR,9.0
RG,RMM,858.0
TAD,TJ,414.0
IND,PK,2912.0
ANG,ZRE,2511.0
PNG,RI,820.0
DZ,MA,1559.0
AFG,TAD,1206.0
IRQ,TR,331.0
MK,SRB,62.0
KAZ,KGZ,1051.0
RCA,RCB,467.0
SA,UAE,457.0
K,VN,1228.0
BHT,TJ,470.0
NAM,RB,1360.0
AL,GR,282.0
BY,UA,891.0
BI,EAT,451.0
RA,ROU,579.0
BR,RA,1224.0
S,SF,586.0
IND,TJ,3380.0
OM,SA,676.0
RCB,ZRE,2410.0
EAK,SUD,232.0
RCA,TCH,1197.0
HR,SLO,546.0
CAM,RCB,523.0
CO,PA,225.0
ETH,SP,1626.0
E,F,623.0
DJI,ER,113.0
IR,TR,499.0
PL,SK,444.0
B,D,167.0
EAT,EAU,396.0
GH,RT,877.0
Z,ZW,797.0
BR,SME,597.0
MD,UA,939.0
CH,D,334.0
IND,NEP,1690.0
EAT,ZRE,459.0
KOS,MK,159.0
RWA,ZRE,217.0
GNB,RG,386.0
RL,SYR,375.0
BG,MK,148.0
CH,F,573.0
BY,LT,502.0
ETH,SUD,1606.0
CAM,GQ,189.0
EAK,ETH,830.0
ER,SUD,605.0
MYA,TJ,2185.0
RO,UA,531.0
BZ,MEX,250.0
H,SRB,151.0
