island,country,province
Madagaskar,RM,Toliara
Reunion,REUN,Reunion
South Andaman Island,IND,Andaman and Nicobar Is.
Pitcairn,PITC,Pitcairn Islands
Cuba,C,Santiago de Cuba
Great Britain,GB,Durham
Great Britain,GB,Gwynedd
Langeland,DK,Denmark
Borkum,D,Niedersachsen
Great Britain,GB,Cambridgeshire
Great Britain,GB,North Yorkshire
Krakatau,RI,Indonesia
Ameland,NL,Friesland
New Providence,BS,Bahamas
Lesbos,GR,Voreion Aiyaion
Great Britain,GB,Hereford and Worcester
Korfu,GR,Ionioi Nisoi
Long Island,USA,New York
Timor,TL,Timor-Leste
Tongatapu,TO,Tonga
Great Britain,GB,Surrey
Sardegna,I,Sardegna
Victoria Island,CDN,Northwest Territories
Kyushu,J,Kagoshima
Little Cayman,CAYM,Cayman Islands
Savaii,WS,Samoa
Bishop Rock,GB,Cornwall
Luzon,RP,Philippines
Samosir,RI,Indonesia
New Guinea,RI,Indonesia
Honshu,J,Toyama
Nantucket,USA,Massachusetts
Great Britain,GB,Aberconwy and Colwyn
Pemba,EAT,Mjini Magharibi
Rota,NMIS,Northern Mariana Islands
Hawaii,USA,Hawaii
Isle of Man,GBM,Man
Great Britain,GB,Leicestershire
La Palma,E,Canary Islands
Borneo,MAL,Sarawak
Great Britain,GB,Blaenau Gwent
Martinique,MART,Martinique
Principe,STP,Sao Tome and Principe
Great Britain,GB,Swansea
Saint Lucia,WL,Saint Lucia
Hoy,GB,Orkneys
Salina,I,Calabria
Honshu,J,Fukushima
Oahu,USA,Hawaii
Honshu,J,Niigata
Fuenen,DK,Denmark
Male,MV,Maldives
Great Britain,GB,Cumbria
Gran Canaria,E,Canary Islands
Madagaskar,RM,Fianarantsoa
Sulawesi,RI,Indonesia
Maui,USA,Hawaii
Great Britain,GB,Tayside
Great Britain,GB,Cardiff
Great Britain,GB,West Yorkshire
Great Britain,GB,Hampshire
Lampedusa,I,Sicilia
Anjouan,COM,Comoros
Honshu,J,Kyoto
Great Britain,GB,Avon
Sri Lanka,CL,Sri Lanka
Sao Miguel,P,Azores
Saipan,NMIS,Northern Mariana Islands
Grande-Terre,GUAD,Guadeloupe
Alicudi,I,Calabria
Honshu,J,Tottori
Te Waka-a-Maui (South Island),NZ,New Zealand
Baffin Island,CDN,Northwest Territories
Benbecula,GB,Outer Hebrides
Great Britain,GB,Cheshire
Negros,RP,Philippines
Isle of Wight,GB,Isle of Wight
Stromboli,I,Calabria
Bougainville,PNG,Papua New Guinea
Upolu,WS,Samoa
Fehmarn,D,Schleswig Holstein
Vulcano,I,Calabria
Pellworm,D,Schleswig Holstein
Rhodos,GR,Notion Aiyaion
Honshu,J,Gumma
Great Britain,GB,Oxfordshire
Honshu,J,Tochigi
Great Britain,GB,Grampian
Langeoog,D,Niedersachsen
Honshu,J,Kanagawa
Bornholm,DK,Denmark
Madagaskar,RM,Toamasina
Shikoku,J,Tokushima
Honshu,J,Osaka
Cuba,C,Las Tunas
Mindanao,RP,Philippines
Faial,P,Azores
Taiwan,RC,Taiwan
Lavan,IR,Fars
Gozo,M,Malta
Honshu,J,Iwate
Kyushu,J,Saga
Kyushu,J,Kumamoto
Great Britain,GB,Berkshire
Sao Jorge,P,Azores
Mallorca,E,Balearic Islands
Paramuschir,R,Kamchatskaya oblast
Christmas Island,XMAS,Christmas Island
Trinidad,TT,Trinidad and Tobago
Honshu,J,Aomori
Great Britain,GB,South Yorkshire
Great Britain,GB,Lincolnshire
Jura,GB,Strathclyde
Niue,NIUE,Niue
Kreta,GR,Kriti
Jersey,GBJ,Jersey
Great Britain,GB,Wiltshire
Miquelon-Langlade,SPMI,Saint Pierre and Miquelon
San Clemente Island,USA,California
Great Britain,GB,Suffolk
Great Britain,GB,Pembrokeshire
Bonaire,NA,Netherlands Antilles
Honshu,J,Shiga
Koror,PAL,Palau
Honshu,J,Ibaraki
Zakinthos,GR,Ionioi Nisoi
Guam,GUAM,Guam
Great Britain,GB,Fife
Great Britain,GB,Derbyshire
St. Martin,SMAR,Saint Martin
Kotelny Island,R,Rep. of Sakha
Antigua,AG,Antigua and Barbuda
Ireland,GB,Northern Ireland
Great Britain,GB,West Midlands
Lanai,USA,Hawaii
Texel,NL,Noord Holland
Tobago,TT,Trinidad and Tobago
Pulau Panjang,COCO,Cocos Islands
Sansibar,EAT,Mjini Magharibi
Helgoland,D,Schleswig Holstein
Oeland,S,Kalmar
Graciosa,P,Azores
Baltrum,D,Niedersachsen
Gheschm,IR,Hormozgan
Great Britain,GB,Humberside
Cuba,C,Sancti Spiritus
Madagaskar,RM,Mahajanga
Shetland Mainland,GB,Shetland
Cuba,C,Villa Clara
Honshu,J,Akita
Great Britain,GB,Ceredigion
Barbuda,AG,Antigua and Barbuda
Linosa,I,Sicilia
Gomera,E,Canary Islands
Nauru,NAU,Nauru
Great Britain,GB,Cornwall
Guadalcanal,SLB,Solomon Islands
Khark,IR,Fars
Terschelling,NL,Friesland
Isla da Ometepe,NIC,Nicaragua
Anguilla,AXA,Anguilla
Orkney Mainland,GB,Orkneys
Ireland,IRL,Ireland
Wangerooge,D,Niedersachsen
Cebu,RP,Philippines
Grand Cayman,CAYM,Cayman Islands
Lombok,RI,Indonesia
Schiermonnikoog,NL,Friesland
