name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Donau,,,Black Sea,2845.0,8.52,47.95,Black Forest,686.0,29.65,45.16
Bahr el-Djebel/Albert-Nil,White Nile,,,,30.9,1.7,East African Rift,619.0,30.43,9.5
Vaal,Oranje,,,1251.0,30.0,-26.0,Drakensberge,,24.0,-29.0
Mississippi,,,Gulf of Mexico,3778.0,-95.2,47.25,,512.0,-89.25,29.15
Rio Lerma,,Lago de Chapala,Pacific Ocean,965.0,-99.0,19.0,,,-105.6,21.5
Reuss,Aare,Vierwaldstattersee,,164.0,8.54,46.56,Alps,2431.0,8.2371,47.4921
Darling River,Murray River,,,2739.0,152.0,-28.0,Great Dividing Range,,141.9,-34.1
Marne,Seine,,,514.0,5.35,47.8,,406.0,2.4,48.8
Schatt al Arab,,,Persian Gulf,193.0,47.44,31.0,,20.0,48.6,29.9
Mincio,Po,,,75.0,10.7,45.4,Alps,65.0,10.95,45.1
Maas,,,North Sea,925.0,5.63,47.97,,409.0,4.67,51.72
Aare,Rhein,Brienzersee,,288.0,8.2,46.55,Alps,2310.0,8.22,47.61
Adda,Po,Lago di Como,,313.0,10.3,46.55,Alps,2235.0,9.88,45.13
Lagen,Glomma,Mjoesa-See,,322.0,8.45,62.19,,611.0,11.45,61.1
Kymijoki,,,Baltic Sea,203.0,25.4,61.5,,78.0,26.5,60.3
Senegal,,,Atlantic Ocean,1430.0,-12.0,11.5,,,-16.5,15.96
Saint Lawrence River,,,Atlantic Ocean,1197.0,-76.55,44.2,,75.0,-64.8,49.6
Shabelle,Jubba,,,1820.0,,,,,42.76,0.5
Euphrat,Schatt al Arab,,,2736.0,38.75,38.8,,,47.44,31.0
Volta,,Lake Volta,Atlantic Ocean,1500.0,-4.5,11.0,,,0.68,5.77
Main,Rhein,,,524.0,11.4,50.1,Fichtelgebirge,887.0,8.29,49.99
Don,,,Sea of Azov,1870.0,37.5,53.0,,,39.4,47.1
Connecticut River,,,Atlantic Ocean,655.0,-71.21,45.25,,,-72.33,41.27
Arkansas,Mississippi,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Ammer,Isar,Ammersee,,168.0,11.05,47.57,Alps,850.0,11.96,48.5
Semliki,,Lake Sese Seko/Albertsee,,230.0,29.6,-0.35,East African Rift,920.0,30.9,1.7
Umeaelv,,Storuman,Baltic Sea,470.0,15.0,66.1,,,20.1,63.5
Lualaba,Zaire,,,,27.0,-12.0,,,25.2,0.5
Isar,Donau,,,295.0,11.4,47.37,Alps,1.16,12.98,48.8
Akagera,,Lake Victoria,,275.0,29.3,-2.5,East African Rift,2700.0,33.0,-1.0
Hudson River,,,Atlantic Ocean,493.0,-73.95,44.1,Adirondacks,1309.0,-74.0,40.7
Schilka,Amur,,,560.0,111.0,49.8,,,121.48,53.33
Uruguay,,,Atlantic Ocean,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Katun,Ob,,,688.0,86.56,49.75,Altai,2000.0,85.0,52.43
Benue,Niger,,,1400.0,12.58,7.58,,1100.0,6.75,7.78
Riviere Richelieu,Saint Lawrence River,,,124.0,-73.3,45.0,,30.0,-73.1,46.0
Niger,,Lake Kainji,Atlantic Ocean,4184.0,-10.87,9.65,,490.0,6.42,5.32
Kolyma,,,Sibirian Sea,2129.0,145.0,61.5,,,161.49,69.63
Isere,Rhone,,,290.0,7.0,45.4,Alps,2770.0,4.9,45.0
Tiber,,,Mediterranean Sea,405.0,12.08,43.77,Apennin,1348.0,12.23,41.74
Lech,Donau,,,264.0,10.0,47.17,Alps,1840.0,10.93,48.73
Hwangho,,,Yellow Sea,4845.0,96.2,35.3,,4500.0,119.14,37.74
Victoria Nile,,Lake Sese Seko/Albertsee,,,33.0,-1.0,East African Rift,1134.0,30.9,1.7
Baro,Sobat,,,,,,,,,
Mekong,,,South China Sea,4350.0,94.0,32.5,,5200.0,107.0,9.0
Saar,Mosel,,,227.0,7.15,48.5,Vogesen,640.0,6.6,49.7
Irawaddy,,,Andaman Sea,2170.0,98.0,29.0,,4300.0,96.0,17.0
Enns,Donau,,,254.0,13.35,47.33,Alps,1375.0,14.52,48.24
Kokemaeenjoki,,,Baltic Sea,121.0,23.0,61.3,,,21.2,61.3
Merrimack River,,,Atlantic Ocean,177.0,-71.6,43.4,,,-70.8119,42.8194
Morava,Donau,,,185.0,21.4,43.7,,,21.1,44.6
Suchona,Northern Dwina,,,558.0,59.0,39.0,,180.0,60.9,46.3
Tennessee,Ohio River,Chickamauga Lake,,1049.0,-83.0,35.2,Appalachian Mountains,,-88.63,37.07
Ruki,Zaire,,,130.0,19.0,-0.3,,,18.0,0.0
Raab,Donau,,,250.0,15.52,47.35,Alps,1150.0,17.63,47.69
Manicouagan,Saint Lawrence River,,,560.0,-68.7,51.4,,350.0,-68.15,49.2
Glomma,,,Skagerrak,604.0,12.0,62.6,,860.0,10.95,59.2
Amudarja,,Ozero Aral,,1415.0,68.3,37.1,,310.0,59.0,44.0
Aller,Weser,,,211.0,11.23,52.1,,130.0,9.18,52.94
Ischim,Irtysch,,,2450.0,71.5,52.0,,,71.5,58.0
Tajo,,,Atlantic Ocean,1007.0,-1.7,40.32,Cordillera Iberica,1.58,-9.3,38.7
Ganges,,,Gulf of Bengal,2511.0,79.5,30.5,,,90.0,22.0
Vuoksi,,Ozero Ladoga,,162.0,28.75,61.2,,,31.54,60.81
Kasai,Kwa,,,1983.0,19.3,-10.96,,,17.4,3.3
Jangtse,,,East China Sea,6380.0,91.2,33.5,,5405.0,121.5,32.0
Luvua,Lualaba,,,350.0,28.7,-9.0,East African Rift,931.0,27.0,-7.0
Syrdarja,,Ozero Aral,,2129.0,71.7,41.0,,,60.5,46.0
Bani,Niger,,,430.0,-6.56,12.6,,285.0,-4.2,14.52
