city,province,country,island
Bridgetown,Barbados,BDS,Barbados
Guantanamo,Guantanamo,C,Cuba
Lerwick,Shetland,GB,Shetland Mainland
Mytilini,Voreion Aiyaion,GR,Lesbos
Kuching,Sarawak,MAL,Borneo
Male,Maldives,MV,Male
Port Louis,Mauritius,MS,Mauritius
Matlock,Derbyshire,GB,Great Britain
Palermo,Sicilia,I,Sicilia
Durham,Durham,GB,Great Britain
Palikir,Micronesia,FSM,Ponape
Surakarta,Indonesia,RI,Java
Makati,Philippines,RP,Luzon
Santa Cruz de Tenerife,Canary Islands,E,Teneriffa
Windsor,Berkshire,GB,Great Britain
Huntingdon,Cambridgeshire,GB,Great Britain
Tunbridge Wells,Kent,GB,Great Britain
Honiara,Solomon Islands,SLB,Guadalcanal
Maebashi,Gumma,J,Honshu
Pekan Baru,Indonesia,RI,Sumatra
Ajaccio,Corse,F,Corse
Binjai,Indonesia,RI,Sumatra
Palma de Mallorca,Balearic Islands,E,Mallorca
Kirkwall,Orkneys,GB,Orkney Mainland
Bournemouth,Dorset,GB,Great Britain
Singapore,Singapore,SGP,Singapore
Rochdale,Greater Manchester,GB,Great Britain
Coventry,West Midlands,GB,Great Britain
Cagliari,Sardegna,I,Sardegna
Haverfordwest,Pembrokeshire,GB,Great Britain
Victoria de las Tunas,Las Tunas,C,Cuba
Matanzas,Matanzas,C,Cuba
Leichester,Leicestershire,GB,Great Britain
George Town,Cayman Islands,CAYM,Grand Cayman
Middlesbrough,Cleveland,GB,Great Britain
Nottingham,Nottinghamshire,GB,Great Britain
Nara,Nara,J,Honshu
Kingston upon Hull,Humberside,GB,Great Britain
Okayama,Okayama,J,Honshu
Yogyakarta,Indonesia,RI,Java
Aomori,Aomori,J,Honshu
Chiai,Taiwan,RC,Taiwan
Kaohsiung,Taiwan,RC,Taiwan
Catania,Sicilia,I,Sicilia
Reading,Berkshire,GB,Great Britain
Mansfield,Nottinghamshire,GB,Great Britain
Newcastle under Lyme,Staffordshire,GB,Great Britain
Mamoutzou,Mayotte,MAYO,Mayotte
Havana,Ciudad de la Habana,C,Cuba
Tarawa,Kiribati,KIR,Tarawa
Saint Johns,Newfoundland,CDN,Newfoundland
Doncaster,South Yorkshire,GB,Great Britain
Wycombe,Buckinghamshire,GB,Great Britain
Trowbridge,Wiltshire,GB,Great Britain
Tameside,Greater Manchester,GB,Great Britain
Haikou,Hainan,TJ,Hainan
Stafford,Staffordshire,GB,Great Britain
Salford,Greater Manchester,GB,Great Britain
Oldham,Greater Manchester,GB,Great Britain
Bandar Lampung,Indonesia,RI,Sumatra
Semarang,Indonesia,RI,Java
Colombo,Sri Lanka,CL,Sri Lanka
Basse-Terre,Guadeloupe,GUAD,Basse-Terre
Sunderland,Tyne and Wear,GB,Great Britain
Adamstown,Pitcairn Islands,PITC,Pitcairn
Wellington,New Zealand,NZ,Te Ika-a-Maui (North Island)
Kingston,Norfolk Island,NORF,Norfolk Island
Saint Helier,Jersey,GBJ,Jersey
Palangkaraya,Indonesia,RI,Borneo
Tanjung Balai,Indonesia,RI,Sumatra
Basingstoke,Hampshire,GB,Great Britain
Basseterre,Saint Kitts and Nevis,KN,Saint Kitts
Akita,Akita,J,Honshu
Yaren,Nauru,NAU,Nauru
Cwmbran,Monmouthshire,GB,Great Britain
Douglas,Man,GBM,Isle of Man
Caernarfon,Gwynedd,GB,Great Britain
Port Blair,Andaman and Nicobar Is.,IND,South Andaman Island
Saipan,Northern Mariana Islands,NMIS,Saipan
York,North Yorkshire,GB,Great Britain
Aberystwyth,Ceredigion,GB,Great Britain
Mito,Ibaraki,J,Honshu
Stornoway,Outer Hebrides,GB,Lewis and Harris
Renfrew,Strathclyde,GB,Great Britain
Bedford,Bedfordshire,GB,Great Britain
