island,sea,lake,river
Honshu,Sea of Japan,,
Sachalin,Sea of Okhotsk,,
Jersey,The Channel,,
Oesel,Baltic Sea,,
Martinique,Atlantic Ocean,,
Panay,Sulawesi Sea,,
Luzon,South China Sea,,
Antigua,Atlantic Ocean,,
Dominica,Atlantic Ocean,,
Cangaroo Island,Indian Ocean,,
Vulcano,Mediterranean Sea,,
Lefkas,Mediterranean Sea,,
Corvo,Atlantic Ocean,,
Bahrain,Persian Gulf,,
La Palma,Atlantic Ocean,,
Barbuda,Atlantic Ocean,,
Bali,Sunda Sea,,
Mauritius,Indian Ocean,,
Borneo,South China Sea,,
Cuba,Gulf of Mexico,,
Anjouan,Indian Ocean,,
Arran,Atlantic Ocean,,
Gran Canaria,Atlantic Ocean,,
Victoria Island,Arctic Ocean,,
Grand Cayman,Caribbean Sea,,
Streymoy,Norwegian Sea,,
Samar,Sulawesi Sea,,
Westray,North Sea,,
Saint Lucia,Atlantic Ocean,,
Sumatra,Malakka Strait,,
Porto Santo,Atlantic Ocean,,
San Miguel Island,Pacific Ocean,,
Trinidad,Atlantic Ocean,,
Skye,Atlantic Ocean,,
Bishop Rock,Atlantic Ocean,,
Sumatra,Andaman Sea,,
Gheschm,Arabian Sea,,
Olkhon,,Ozero Baikal,
Saint Lucia,Caribbean Sea,,
Wangerooge,North Sea,,
Kotelny Island,Arctic Ocean,,
New Guinea,Pacific Ocean,,
Banks Island,Arctic Ocean,,
Saipan,Pacific Ocean,,
Reunion,Indian Ocean,,
Niihau,Pacific Ocean,,
Mindoro,South China Sea,,
Aruba,Caribbean Sea,,
Pitcairn,Pacific Ocean,,
Sumatra,Sunda Sea,,
Efate,Pacific Ocean,,
Miquelon-Langlade,Atlantic Ocean,,
Newfoundland,Atlantic Ocean,,
Kyushu,Pacific Ocean,,
Pemba,Indian Ocean,,
Nauru,Pacific Ocean,,
Sansibar,Indian Ocean,,
Montserrat,Caribbean Sea,,
Okinawa,Pacific Ocean,,
Jura,Atlantic Ocean,,
Principe,Atlantic Ocean,,
Sao Tome,Atlantic Ocean,,
Cyprus,Mediterranean Sea,,
Vancouver Island,Pacific Ocean,,
Lewis and Harris,Atlantic Ocean,,
Oahu,Pacific Ocean,,
Grand Bermuda,Atlantic Ocean,,
Greenland,Norwegian Sea,,
Viti Levu,Pacific Ocean,,
Male,Indian Ocean,,
Sachalin,Sea of Japan,,
Sulawesi,Sunda Sea,,
Singapore,South China Sea,,
Sokotra,Gulf of Aden,,
Te Waka-a-Maui (South Island),Pacific Ocean,,
Pulau Panjang,Indian Ocean,,
Korfu,Mediterranean Sea,,
Anguilla,Caribbean Sea,,
Niue,Pacific Ocean,,
Fogo,Atlantic Ocean,,
Isla da Ometepe,,Lake Nicaragua,
Santa Maria,Atlantic Ocean,,
Hokkaido,Sea of Okhotsk,,
Mindanao,Sulawesi Sea,,
Benbecula,Atlantic Ocean,,
Great Britain,The Channel,,
Taiwan,South China Sea,,
Helgoland,North Sea,,
Ireland,Atlantic Ocean,,
Kefallinia,Mediterranean Sea,,
Paramuschir,Sea of Okhotsk,,
Borkum,North Sea,,
Sachalin,Sea of Japan,,
Anglesey,Irish Sea,,
Saint Helena,Atlantic Ocean,,
San Miguel Island,Pacific Ocean,,
Kos,Mediterranean Sea,,
Batam,South China Sea,,
Rugen,North Sea,,
Cuba,Atlantic Ocean,,
Lipari,Mediterranean Sea,,
Streymoy,Norwegian Sea,,
Lavan,Arabian Sea,,
Lombok,Indian Ocean,,
Molokai,Pacific Ocean,,
Cebu,Sulawesi Sea,,
Gheschm,Arabian Sea,,
Grande-Terre,Atlantic Ocean,,
Santa Catalina Island,Pacific Ocean,,
Saint Thomas,Caribbean Sea,,
Wangerooge,North Sea,,
Martinique,Atlantic Ocean,,
Negros,Sulawesi Sea,,
Panarea,Mediterranean Sea,,
Benbecula,Atlantic Ocean,,
Sokotra,Indian Ocean,,
Gozo,Mediterranean Sea,,
Svalbard,Arctic Ocean,,
Teneriffa,Atlantic Ocean,,
Sumatra,Indian Ocean,,
Isabela,Pacific Ocean,,
Hierro,Atlantic Ocean,,
Borneo,Sunda Sea,,
Bangka,South China Sea,,
Basse-Terre,Caribbean Sea,,
Baltrum,North Sea,,
Corvo,Atlantic Ocean,,
St. Martin,Atlantic Ocean,,
Khark,Arabian Sea,,
Hispaniola,Caribbean Sea,,
Zakinthos,Mediterranean Sea,,
Bahrain,Persian Gulf,,
Honshu,Pacific Ocean,,
Corse,Mediterranean Sea,,
Samos,Mediterranean Sea,,
Hoy,North Sea,,
Skye,Atlantic Ocean,,
Taiwan,East China Sea,,
Falster,Baltic Sea,,
Basse-Terre,Atlantic Ocean,,
Timor,Sunda Sea,,
Lewis and Harris,Atlantic Ocean,,
Sicilia,Mediterranean Sea,,
Lanzarote,Atlantic Ocean,,
