country,population_growth,infant_mortality
USA,0.91,6.7
DZ,2.21,48.7
H,-0.68,12.3
OM,3.53,27.3
VN,1.57,38.4
D,0.67,6.0
GUAD,1.2,8.3
BI,1.54,102.2
RSM,0.82,5.5
IR,2.21,52.7
BF,2.53,117.8
MH,3.85,46.9
ET,1.91,72.8
SLO,-0.27,7.3
BVIR,1.84,14.65
ANG,2.68,138.9
VIRG,-0.06,12.54
NEP,2.45,79.0
HR,0.58,10.2
BEN,3.32,105.1
ER,2.79,118.9
UZB,1.87,79.6
IL,2.11,8.5
AG,0.76,17.2
GNB,2.35,115.8
DK,0.38,4.8
GCA,2.48,50.7
MAYO,3.32,56.29
RC,0.89,7.0
TJ,0.98,39.6
WAFU,0.35,5.02
SRB,-0.47,6.75
GROX,1.0,23.8
MACX,1.15,5.3
RIM,3.17,81.7
MK,0.46,29.7
BIH,-2.84,43.2
BD,1.85,102.3
E,0.16,6.3
WL,1.14,20.0
WEST,4.99,28.6
AFG,4.78,149.7
MYA,1.84,80.7
RP,2.18,35.9
ARM,0.02,38.9
MART,1.1,7.1
LT,-0.35,17.0
ROK,1.02,8.2
EAT,1.15,105.9
EC,1.96,34.8
GR,0.42,7.4
C,0.44,9.0
DOM,1.73,47.7
WAG,3.55,80.5
JOR,2.65,31.5
KOS,,
SGP,1.9,4.7
RSA,1.76,48.8
TT,0.08,18.2
FL,1.08,5.3
NZ,1.12,6.7
WV,0.64,16.8
S,0.56,4.5
GH,2.29,80.3
JA,0.8,15.6
VU,2.17,64.6
SLB,3.35,25.8
SN,3.37,64.0
CDN,1.06,6.1
CL,1.13,20.8
RA,1.1,28.3
RN,2.99,117.6
NMIS,2.29,6.7
FALK,,
BZ,2.42,33.9
AUS,0.99,5.5
BRU,2.56,24.2
SD,3.24,88.4
GBM,0.94,2.4
GB,0.22,6.4
GUAM,1.37,6.05
KAZ,-0.15,63.2
Z,2.11,96.1
TUV,1.51,27.6
RB,1.63,54.2
PE,1.74,52.2
CO,1.66,25.8
BDS,0.26,18.7
LAO,2.81,96.8
WS,2.37,34.3
STP,2.58,61.1
FGU,3.86,14.6
SY,0.76,12.5
SK,0.34,10.7
HONX,0.51,2.9
IS,0.83,4.3
RMM,2.95,102.7
BR,1.16,55.3
MEX,1.87,25.0
SYR,3.37,40.0
EAK,2.27,55.3
RWA,16.49,118.8
ARU,1.478,13.79
G,1.47,90.1
PITC,,
K,2.77,107.8
NAU,1.33,40.6
AXA,2.27,3.52
NL,0.56,4.9
MD,0.18,47.6
RH,1.77,103.8
LV,-1.39,21.2
SF,0.1,4.9
AND,2.96,2.2
TR,1.67,43.2
FJI,1.28,17.4
SUD,3.48,76.0
CV,2.93,54.3
P,0.02,7.6
PK,2.24,96.8
RG,1.85,134.1
CZ,-0.03,8.4
TN,1.81,35.1
TUCA,2.56,13.89
R,-0.07,24.7
KWT,6.65,11.1
GQ,2.58,98.0
TM,1.82,81.6
Q,2.39,19.6
N,0.48,4.9
RI,1.53,63.1
BOL,1.82,67.5
NIUE,,
MW,1.71,139.9
YE,3.56,71.5
V,,
BRN,2.27,17.1
ES,1.81,31.9
ETH,2.72,122.8
WSA,2.46,145.82
RCH,1.24,13.6
PNG,2.29,60.1
SPMI,0.77,9.95
HELX,0.45,17.63
THA,1.03,33.4
CAM,2.89,78.7
MNG,1.69,69.7
TO,0.82,40.26
GBZ,0.54,6.9
KN,0.98,18.9
IRL,-0.22,6.4
A,0.41,6.2
MC,0.59,6.9
IND,1.64,71.1
AMSA,1.22,10.18
F,0.34,5.3
SVAX,-0.02,
AZ,0.78,74.5
SMAR,,
AL,1.34,49.2
SME,1.6,29.3
SP,3.1,121.1
MV,3.52,47.0
COM,3.55,75.3
MNE,-0.851,
KGZ,0.07,77.8
NAM,2.93,47.2
WAN,3.05,72.4
GBG,1.28,9.2
PY,2.67,23.2
IRQ,3.69,60.0
RCA,2.08,111.7
GE,-1.02,22.5
PR,0.34,8.42
EAU,2.24,99.4
NCA,1.14,7.05
NA,0.73,9.09
TL,2.03,40.65
REUN,1.93,7.5
LAR,3.67,59.5
GUY,-0.9,51.4
CH,0.59,5.4
RM,2.83,93.5
YV,1.89,29.5
DJI,1.5,106.7
BHT,2.32,116.3
ZRE,1.67,108.0
EW,-1.13,17.4
FPOL,1.39,7.55
GBJ,0.77,2.7
MA,2.05,43.2
RL,2.16,36.7
FARX,-1.8,7.2
WD,0.38,9.6
RO,-1.21,23.2
BY,0.2,13.4
NORF,,
NIC,2.67,45.8
HCA,2.6,41.8
MOC,2.65,125.6
RT,3.56,84.3
