mountain,island
Silisili,Savaii
Pico de los Nieves,Gran Canaria
Monte Cinto,Corse
Mt. Cook,Te Waka-a-Maui (South Island)
Popomanaseu,Guadalcanal
Etna,Sicilia
Pulog,Luzon
Mont Orohena,Tahiti
Mt. Balbi,Bougainville
Puncak Jaya,New Guinea
Gunung Agung,Bali
Tambora,Sumbawa
Pico Basile,Bioko
Tatamailau,Timor
Kerinci,Sumatra
Mt. Babel,Rene Levasseur Island
Soufriere Hills,Montserrat
Zhima,Olkhon
Asahi-Dake,Hokkaido
Oraefajokull,Iceland
Mt. Wilhelm,New Guinea
Mt.Victoria,Viti Levu
Pico Ruivo,Madeira
Ruapehu,Te Ika-a-Maui (North Island)
Rantekombola,Sulawesi
Piton des Neiges,Reunion
Andringitra,Madagaskar
Yu Shan,Taiwan
Mantalingajan,Palawan
La Soufriere,Basse-Terre
Mt. Odin,Baffin Island
Tsaratanana,Madagaskar
Pinatubo,Luzon
Ben Nevis,Great Britain
Krakatau,Krakatau
Barbeau Peak,Ellesmere Island
Psiloritis,Kreta
Piton de la Fournaise,Reunion
Tsiafajavona,Madagaskar
Mauna Loa,Hawaii
Merapi,Java
Queen Marys Peak,Tristan Da Cunha
Pelee,Martinique
Pico Duarte,Hispaniola
Pico de Sao Tome,Sao Tome
Semeru,Java
Mt. Giluwe,New Guinea
Pico,Pico
Mauna Kea,Hawaii
Snaefell,Iceland
Roque de los Muchachos,La Palma
Pico de Teide,Teneriffa
Soufriere,Saint Vincent
Pico Turquino,Cuba
Kinabalu,Borneo
Kanlaon,Negros
Cerro de Punta,Puerto Rico
Leuser,Sumatra
Fogo,Fogo
Blue Mountain Peak,Jamaica
Morne Diablotins,Dominica
Rinjani,Lombok
Olympos,Cyprus
Haleakala,Maui
Gunung Binaiya,Ceram
Mount Apo,Mindanao
Concepcion,Isla da Ometepe
