river,country,province
Rio Sao Francisco,BR,Sergipe
Mur,H,Zala
Rio Grande,MEX,Tamaulipas
Sanga,RCB,Congo
Hudson River,USA,New York
Semliki,EAU,Uganda
Mekong,VN,Vietnam
Karasu,TR,Erzincan
Schilka,R,Chitinskaya oblast
Guadalquivir,E,Andalusia
Tobol,R,Tyumenskaya oblast
Argun,R,Chitinskaya oblast
Main,D,Hessen
Dnepr,UA,Khersonska
Tajo,P,Lisbon
Alz,D,Bayern
Pruth,RO,Galati
Irawaddy,MYA,Yangon
Black Drin,AL,Albania
Jangtse,TJ,Shanghai (munic.)
Zambezi,MOC,Manica
Murray River,AUS,South Australia
Guadiana,P,Aveiro
Iller,D,Baden Wurttemberg
Luvua,ZRE,Shaba/Katanga
Uruguay,ROU,Uruguay
Joekulsa a Fjoellum,IS,Iceland
Goetaaelv,S,Goteborg och Bohus
Guadiana,P,Porto
Dalaelv,S,Uppsala
Ganges,IND,West Bengal
Zaire,ZRE,Bas Zaire
Narva,R,Pskovskaya oblast
Kemijoki,SF,Lappia
Blue Nile,SUD,al Khartum
Kasai,ZRE,Bandundu
Kymijoki,SF,Uusimaa
Missouri,USA,Missouri
Enns,A,Styria
Nile,ET,El Buhayra
Southern Morava,SRB,Serbia
Reuss,CH,AG
Lualaba,ZRE,Haut Zaire
Volta,GH,Ghana
Neckar,D,Baden Wurttemberg
Uruguay,RA,Entre Rios
Werra,D,Niedersachsen
Tennessee,USA,Kentucky
Zambezi,MOC,Zambezia
Brahmaputra,BD,Bangladesh
Ebro,E,Catalonia
Bahr el-Ghasal,SUD,Aali an Nil
Uelle,ZRE,Equateur
Orinoco,YV,Delta Amacuro
Parana,RA,Entre Rios
Atbara,SUD,ash Shamaliyah
Elbe,D,Niedersachsen
Rhein,NL,Zuid Holland
Moldau,CZ,Praha
Schatt al Arab,IRQ,Al Anbar
Pruth,MD,Moldova
Enns,A,Lower Austria
Mincio,I,Veneto
Weichsel,PL,Gdanskie
Weser,D,Bremen
Murat,TR,Elazig
Inn,D,Bayern
Marne,F,Ile de France
Don,R,Rostovskaya oblast
Lulua,ZRE,Kasai Occidental
Oesterdalaelv,S,Dalarna
Euphrat,IRQ,Al Anbar
Irawaddy,MYA,Kachin
Cuango,ZRE,Bandundu
Weser,D,Niedersachsen
Detroit River,CDN,Ontario
Luapula,Z,Luapula
Oka,R,Nizhegorodskaya oblast
Suchona,R,Vologodskaya oblast
Bomu,ZRE,Equateur
Irtysch,R,Tyumenskaya oblast
Mur,HR,Croatia
Ohio River,USA,Illinois
Truckee River,USA,Nevada
Saint Lawrence River,CDN,Quebec
Thjorsa,IS,Iceland
Salzach,D,Bayern
Western Morava,SRB,Serbia
Rio San Juan,CR,Alajuela
Senegal,SN,Saint Louis
Fimi,ZRE,Bandundu
Klaraelv,S,Varmland
Allegheny River,USA,Pennsylvania
Volga,R,Astrakhanskaya oblast
Kolyma,R,Rep. of Sakha
Po,I,Emilia Romagna
Sobat,SUD,Aali an Nil
Donau,RO,Tulcea
Karun,IR,Khuzestan
Parana,RA,Buenos Aires
Pjandsh,AFG,Afghanistan
Thames,GB,Kent
Bomu,RCA,Central African Republic
Nile,ET,Dumyat
Guadiana,E,Andalusia
Murrumbidgee River,AUS,New South Wales
Vaesterdalaelv,S,Dalarna
Aller,D,Niedersachsen
Bahr el-Djebel/Albert-Nil,SUD,Aali an Nil
Kura,AZ,Azerbaijan
Umeaelv,S,Vasterbotten
Angara,R,Krasnoyarskiy kray
Leine,D,Thuringen
Nile,ET,El Daqahliya
Sanaga,CAM,Cote/Littoral
Inn,A,Tyrol
Lena,R,Rep. of Sakha
Oulujoki,SF,Oulu
Doubs,F,Bourgogne
Jordan,JOR,Jordan
March,SK,Slovakia
Lomami,ZRE,Haut Zaire
Wurm,D,Bayern
Save,SRB,Serbia
Gambia,WAG,Gambia
Northern Dwina,R,Arkhangelskaya oblast
Mosel,D,Rheinland Pfalz
Chire,MOC,Tete
Rio San Juan,NIC,Nicaragua
Salzach,A,Salzburg
Loire,F,Pays de la Loire
Limmat,CH,AG
Manicouagan,CDN,Quebec
Aare,CH,AG
Drin,AL,Albania
Olt,RO,Olt
Garonne,F,Aquitaine
Rio Desaguadero,BOL,Bolivia
Hwangho,TJ,Shandong
Morava,SRB,Serbia
Paraguay,PY,Paraguay
Ruki,ZRE,Equateur
Katun,R,Altayskiy kray
Fulda,D,Hessen
Saskatchewan River,CDN,Saskatchewan
Paatsjoki,N,Finnmark
Aruwimi,ZRE,Haut Zaire
Waag,SK,Slovakia
Colorado,MEX,Sonora
Jenissej,R,Krasnoyarskiy kray
Victoria Nile,EAU,Uganda
Rio Mamore,BOL,Bolivia
Glomma,N,Oestfold
Brigach,D,Baden Wurttemberg
Naryn,TAD,Khujand
Paraguay,RA,Chaco
Jordan,WEST,West Bank
Lukenie,ZRE,Bandundu
Ruzizi,ZRE,Kivu
Thames,GB,Essex
Douro,P,Porto
