mountain,country,province
Popocatepetl,MEX,"Mexico, Estado de"
Mt. Cook,NZ,New Zealand
Ruapehu,NZ,New Zealand
Pulog,RP,Philippines
Mt Bona,CDN,Saskatchewan
Concepcion,NIC,Nicaragua
Schneekoppe,CZ,Vychodocesky
Monte Rosa,I,Lombardia
Krakatau,RI,Indonesia
Gunung Agung,RI,Indonesia
Nanga Parbat,PK,Pakistan
Pico,P,Azores
Mt Rainier,USA,Washington
Pico de Almanzor,E,Castile and Leon
Mt Columbia,CDN,British Columbia
Illimani,BOL,Bolivia
Mt Logan,CDN,Yukon Territory
Licancabur,BOL,Bolivia
Puncak Jaya,RI,Indonesia
Ararat,TR,Agri
Puy de Sancy,F,Auvergne
Vesuv,I,Campania
Blue Mountain Peak,JA,Jamaica
Cho Oyu,NEP,Nepal
Tambora,RI,Indonesia
Kerinci,RI,Indonesia
Pico de los Nieves,E,Canary Islands
Snoehetta,N,Oppland
Tatamailau,TL,Timor-Leste
Glittertind,N,Oppland
Jabal Lubnan,RL,Lebanon
Harney Peak,USA,South Dakota
Mt Marcy,USA,New York
Popocatepetl,MEX,Puebla
Pik Moskva,TAD,Badakhshoni Kuni
Kangchendzonga,NEP,Nepal
Pico Turquino,C,Santiago de Cuba
Llullaillaco,RCH,Chile
Pico Cristobal Colon,CO,Magdalena
Haltiatunturi,SF,Lappia
Finsteraarhorn,CH,BE
Mauna Kea,USA,Hawaii
Mauna Loa,USA,Hawaii
Pico Bolivar,YV,Merida
Mt Mitchell,USA,North Carolina
Hotaka-Dake,J,Gifu
Mt Whitney,USA,California
Fako,CAM,Sudoueste
Tahan,MAL,Kelantan
Mt. Wilhelm,PNG,Papua New Guinea
Grand Ballon,F,Alsace
Mt Fairweather,USA,Alaska
Zugspitze,A,Tyrol
Galdhoeppig,N,Oppland
Tahan,MAL,Pahang
Pico de Agulhas Negras,BR,Minas Gerais
Hotaka-Dake,J,Nagano
Jezerce,AL,Albania
Moncayo,E,Castile and Leon
Mt.Victoria,FJI,Fiji
Meru,EAT,Arusha
Mt. Babel,CDN,Quebec
Huascaran,PE,Ancash
Pico de Agulhas Negras,BR,Rio de Janeiro
Sulitjelma,S,Norrbotten
Feldberg,D,Baden Wurttemberg
Nevado de Colima,MEX,Jalisco
Mt Robson,CDN,British Columbia
La Soufriere,GUAD,Guadeloupe
Hochgolling,A,Styria
Mulhacen,E,Andalusia
Elgon,EAU,Uganda
Pik Kommunizma,TAD,Badakhshoni Kuni
Thabana Ntlenyana,LS,Lesotho
Kailash,TJ,Tibet
Broad Peak,TJ,Xinjiang Uygur
Portefjaellen,S,Norrbotten
Emi Kussi,TCH,Chad
Pik Revoluzija,TAD,Badakhshoni Kuni
Damavand,IR,Mazandaran
Mont Greboun,RN,Niger
Mt Waddington,CDN,British Columbia
Pikes Peak,USA,Colorado
Kenia,EAK,Eastern
Olympos,CY,Cyprus
Mt. Bogong,AUS,Victoria
Mt. Kosciuszko,AUS,New South Wales
Changbai Shan,TJ,Jilin
Mount Everest,TJ,Tibet
Bjelucha,R,Rep. of Altay
Jabal Shuayb,YE,Yemen
Mt. Balbi,PNG,Papua New Guinea
Oraefajokull,IS,Iceland
Pico Ruivo,P,Madeira
Cayambe,EC,Ecuador
Nevado del Ruiz,CO,Risaralda
Changbai Shan,NOK,North Korea
Merapi,RI,Indonesia
Andringitra,RM,Fianarantsoa
Pik Pobeda,TJ,Xinjiang Uygur
Semeru,RI,Indonesia
K2,TJ,Xinjiang Uygur
Iztaccihuatl,MEX,Puebla
Mawenzi,EAT,Kilimanjaro
Cerro Chirripo,CR,Limon
Mt Elbert,USA,Colorado
Monte Cinto,F,Corse
Gunung Binaiya,RI,Indonesia
Mt St.Elias,CDN,Yukon Territory
Llullaillaco,RA,Tucuman
Nanda Devi,IND,Uttar Pradesh
Coropuna,PE,Arequipa
Mt Redoubt,USA,Alaska
Olymp,GR,Kedriki Makedhonia
Boundary Peak,USA,California
Tajumulco,GCA,Guatemala
Psiloritis,GR,Kriti
Mt Blackburn,USA,Alaska
Hochgolling,A,Salzburg
Pico Rocarre,PE,Ancash
Haleakala,USA,Hawaii
Narodnaja,R,Rep. of Komi
Vignemale,E,Aragon
Yu Shan,RC,Taiwan
Pico Duarte,DOM,Dominican Republic
Pik Karl-Marx,TAD,Badakhshoni Kuni
Gasherbrum I,PK,Pakistan
Mt Hood,USA,Oregon
Tarrekaise,S,Norrbotten
Annapurna,NEP,Nepal
Kasbek,GE,Georgia
Monte Rosa,CH,VS
Fogo,CV,Cape Verde
Pik Chan-Tengri,KGZ,Kyrgyzstan
Ben Nevis,GB,Highland
Jabal Katrina,ET,Sina al Janubiyah
Asahi-Dake,J,Hokkaido
Moldoveanu,RO,Arges
Moldoveanu,RO,Brasov
Pik Lenina,KGZ,Kyrgyzstan
Pinatubo,RP,Philippines
Olymp,GR,Thessalia
Moncayo,E,Aragon
Leuser,RI,Indonesia
Broad Peak,PK,Pakistan
Guadalupe Peak,USA,Texas
Matterhorn,CH,VS
Ausangate,PE,Cuzco
Lhotse,NEP,Nepal
Nevado del Huila,CO,Huila
Torre de Cerredo,E,Asturias
Gasherbrum I,TJ,Xinjiang Uygur
Pico de Teide,E,Canary Islands
Kljutschewskaja Sopka,R,Kamchatskaya oblast
Boundary Peak,USA,Nevada
Irazu,CR,Cartago
Soufriere Hills,MNTS,Montserrat
Rinjani,RI,Indonesia
Mantalingajan,RP,Philippines
Tsiafajavona,RM,Antananarivo
Makalu,TJ,Tibet
Jostedalsbre,N,Sogn og Fjordane
Piz Bernina,I,Lombardia
Monte Pissis,RA,La Rioja
Zard Kuh,IR,Chahar Mahal e Bakhtiari
Mount Apo,RP,Philippines
Mont Blanc,I,Valle dAosta
Morne Diablotins,WD,Dominica
Popomanaseu,SLB,Solomon Islands
Matterhorn,I,Valle dAosta
Kebnekaise,S,Norrbotten
Demirkazik,TR,Nigde
Barbeau Peak,CDN,Northwest Territories
Citlaltepetl (Pico de Orizaba),MEX,Puebla
Citlaltepetl (Pico de Orizaba),MEX,Veracruz
Ras Daschan Terara,ETH,Ethiopia
Cerro Chirripo,CR,Cartago
Mt Adams,USA,Washington
GrandCombin,CH,VS
Borah Peak,USA,Idaho
Sulitjelma,N,Nordland
Ojos del Salado,RCH,Chile
Queen Marys Peak,HELX,Saint Helena
Tahat,DZ,Algeria
Humphreys Peak,USA,Arizona
Monte Pissis,RA,Tucuman
Tupungato,RA,Mendoza
Wheeler Peak,USA,New Mexico
Sajama,BOL,Bolivia
Clingmans Dome,USA,Tennessee
Soufriere,WV,Saint Vincent and the Grenadines
Finsteraarhorn,CH,VS
Mt. Giluwe,PNG,Papua New Guinea
Mont Blanc,F,Rhone Alpes
Pik Lenina,TAD,Badakhshoni Kuni
Piton des Neiges,REUN,Reunion
Kings Peak,USA,Utah
Granite Peak,USA,Montana
Cathkin Peak,RSA,Kwazulu Natal
