country,target
CAM,Christian
B,Christian
N,Christian
SP,non-Christian
MYA,non-Christian
NAM,Christian
MNG,non-Christian
I,Christian
HCA,Christian
WAFU,Christian
RSM,Christian
JOR,non-Christian
BY,Christian
IRL,Christian
RMM,non-Christian
NAU,Christian
WAN,non-Christian
YV,Christian
TN,non-Christian
MD,Christian
CAYM,Christian
NEP,non-Christian
GE,Christian
Q,non-Christian
GUAD,Christian
OM,non-Christian
COM,non-Christian
TUV,non-Christian
BDS,Christian
SYR,non-Christian
RC,non-Christian
PL,Christian
TM,non-Christian
IR,non-Christian
SA,non-Christian
BOL,Christian
BRN,non-Christian
IS,Christian
J,non-Christian
GQ,Christian
H,Christian
FL,Christian
WAL,non-Christian
GBZ,Christian
DZ,non-Christian
SN,non-Christian
WS,Christian
FJI,Christian
WL,Christian
HR,Christian
ARM,Christian
MOC,Christian
AUS,Christian
CO,Christian
TAD,non-Christian
BD,non-Christian
FPOL,Christian
LAR,non-Christian
NCA,Christian
GUY,Christian
WAG,non-Christian
MV,non-Christian
KWT,non-Christian
FGU,Christian
C,Christian
GAZA,non-Christian
JA,Christian
PK,non-Christian
BRU,non-Christian
RA,Christian
SRB,Christian
KAZ,non-Christian
SD,Christian
ET,non-Christian
GUAM,Christian
LB,non-Christian
CI,non-Christian
MA,non-Christian
RL,non-Christian
BI,Christian
MACX,non-Christian
MAYO,non-Christian
NORF,Christian
ROK,Christian
F,Christian
VIRG,Christian
EAK,Christian
E,Christian
ROU,Christian
FSM,Christian
AMSA,Christian
CH,Christian
ES,Christian
Z,Christian
SK,Christian
COOK,Christian
AFG,non-Christian
ANG,Christian
MEX,Christian
COCO,non-Christian
S,Christian
MART,Christian
G,Christian
HONX,Christian
TO,Christian
GR,Christian
CY,Christian
UZB,non-Christian
EC,Christian
TR,non-Christian
IND,non-Christian
CDN,Christian
RI,non-Christian
MS,non-Christian
PY,Christian
BVIR,Christian
PNG,Christian
RT,Christian
GROX,Christian
SUD,non-Christian
BR,Christian
DOM,Christian
P,Christian
TUCA,Christian
MW,Christian
SPMI,Christian
RB,Christian
SY,Christian
BIH,non-Christian
WEST,non-Christian
WD,Christian
RG,non-Christian
RN,non-Christian
LS,Christian
IL,non-Christian
BHT,non-Christian
M,Christian
PR,Christian
MC,Christian
MNE,Christian
CZ,Christian
CL,non-Christian
RP,Christian
TJ,non-Christian
CV,Christian
SLO,Christian
DK,Christian
K,non-Christian
RH,Christian
THA,non-Christian
TL,Christian
AL,non-Christian
MK,Christian
REUN,Christian
V,Christian
A,Christian
SF,Christian
MH,Christian
FARX,Christian
RIM,non-Christian
NIUE,Christian
TCH,non-Christian
AXA,Christian
NL,Christian
VU,Christian
ETH,non-Christian
KIR,Christian
WSA,non-Christian
AZ,non-Christian
TT,Christian
NZ,Christian
NIC,Christian
BG,Christian
RCH,Christian
