category_id,name,last_update
1,Меры,2006-02-15T03:46:27
2,Анимация,2006-02-15T03:46:27
3,Дети,2006-02-15T03:46:27
4,Классика,2006-02-15T03:46:27
5,Комедия,2006-02-15T03:46:27
6,Документальный,2006-02-15T03:46:27
7,Драма,2006-02-15T03:46:27
8,Семья,2006-02-15T03:46:27
9,Иностранные,2006-02-15T03:46:27
10,Игры,2006-02-15T03:46:27
11,Ужас.,2006-02-15T03:46:27
12,Музыка,2006-02-15T03:46:27
13,Новые должности,2006-02-15T03:46:27
14,Sci-Fi,2006-02-15T03:46:27
15,Спорт,2006-02-15T03:46:27
16,Поездки,2006-02-15T03:46:27
