actor_id,film_id,last_update
45,65,2006-02-15T04:05:03
198,379,2006-02-15T04:05:03
113,656,2006-02-15T04:05:03
140,835,2006-02-15T04:05:03
141,863,2006-02-15T04:05:03
137,224,2006-02-15T04:05:03
162,18,2006-02-15T04:05:03
100,846,2006-02-15T04:05:03
66,361,2006-02-15T04:05:03
70,869,2006-02-15T04:05:03
74,44,2006-02-15T04:05:03
161,880,2006-02-15T04:05:03
164,15,2006-02-15T04:05:03
181,874,2006-02-15T04:05:03
46,830,2006-02-15T04:05:03
105,831,2006-02-15T04:05:03
123,479,2006-02-15T04:05:03
123,151,2006-02-15T04:05:03
137,14,2006-02-15T04:05:03
83,764,2006-02-15T04:05:03
184,969,2006-02-15T04:05:03
170,416,2006-02-15T04:05:03
69,202,2006-02-15T04:05:03
124,997,2006-02-15T04:05:03
176,802,2006-02-15T04:05:03
160,767,2006-02-15T04:05:03
19,2,2006-02-15T04:05:03
62,951,2006-02-15T04:05:03
159,342,2006-02-15T04:05:03
159,206,2006-02-15T04:05:03
50,645,2006-02-15T04:05:03
166,1000,2006-02-15T04:05:03
43,89,2006-02-15T04:05:03
35,615,2006-02-15T04:05:03
74,902,2006-02-15T04:05:03
