playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
larmeje01,,,Jeff,Larmer,,Jeffrey,,70,175,L,13312,2977,larmeje01,1981,1985,,,L,1962,11,10,Canada,ON,Peterborough,,,,,,
kerral02,,,Albert,Kerr,,Albert,Dubbie,,,,,,,,,,,R,1889,,,Canada,ON,Brockville,,,,,,
yatesro01,,,Ross,Yates,,Ross Richard,,71,170,R,14735,6422,yatesro01,1983,1983,,,C,1959,6,18,Canada,QC,Montreal,,,,,,
hillse01,,,Sean,Hill,,Sean Ronald,,72,211,R,10643,2279,hillse01,1990,2007,,,D,1970,2,14,USA,MN,Duluth,,,,,,
vermean01,,,Antoine,Vermette,,,,72,199,L,19610,43897,vermean01,2003,2011,,,C,1982,7,20,Canada,QC,St-Agapit,,,,,,
frieska01,,,Karl,Friesen,,Karl,,72,185,L,18518,9639,frieska01,1986,1986,,,G,1958,6,30,Canada,MB,Winnipeg,,,,,,
nashri02,,,Riley,Nash,,,,73,191,,,,nashri02,2011,2011,,,C,1989,5,9,,,,,,,,,
riouxpi01,,,Pierre,Rioux,,Pierre,,69,165,R,14126,6176,riouxpi01,1982,1982,,,R,1962,2,1,Canada,QC,Quebec City,,,,,,
,,morriia01h,Ian,Morrison,,,Scotty,,,,B199901,,,,,,,,1930,4,22,Canada,QC,Montreal,,,,,,
pizuned01,,,Ed,Pizunski,,Edward,,71,185,L,,8123,pizuned01,,,1975,1975,R,1954,10,8,Canada,ON,Toronto,,,,,,
osiecma01,,,Mark,Osiecki,,Mark Anthony,,74,200,R,11240,4090,osiecma01,1991,1992,,,D,1968,7,23,USA,MN,St. Paul,,,,,,
adamsjo02,,,John,Adams,,John Matthew,,72,200,L,18412,6859,adamsjo02,1972,1974,,,G,1946,7,27,Canada,ON,Port Arthur,,,,,,
faheybr01,,,Brian,Fahey,,,,73,216,,,,faheybr01,2010,2010,,,D,1981,3,2,USA,IL,Des Plaines,,,,,,
vyborfr01,,,Frantisek,Vyborny,,,,,,,,40832,vyborfr01,,,1977,1977,L,,,,,,,,,,,,
braysru01,,,Russ,Brayshaw,,Russell Ambrose,Buster,70,170,L,12090,14194,braysru01,1944,1944,,,L,1918,1,17,Canada,SK,Rosthern,1996,,,,,
henrybu01,,,Burke,Henry,,,,75,206,L,17790,28610,henrybu01,2002,2003,,,D,1979,1,21,Canada,MB,Ste. Rose,,,,,,
breweer01,,,Eric,Brewer,,Eric,,76,229,L,11410,26844,breweer01,1998,2011,,,D,1979,4,17,Canada,BC,Vernon,,,,,,
cotero01,,,Roger,Cote,,Rejean Norman,,69,184,L,,8766,cotero01,,,1972,1974,D,1939,12,22,Canada,QC,Belleterre,,,,,,
beechkr01,,,Kris,Beech,,,,75,211,L,19149,29125,beechkr01,2000,2007,,,C,1981,2,5,Canada,BC,Salmon Arm,,,,,,
mailhja01,,,Jacques,Mailhot,,Jacques,,74,208,L,13492,3326,mailhja01,1988,1988,,,R,1961,12,5,Canada,QC,Shawnigan,,,,,,
heggeho01,,,Howie,Heggedal,,Howard Leonard,,72,185,L,,7739,heggeho01,,,1972,1972,L,1949,9,15,Canada,AB,Lethbridge,,,,,,
niittan01,,,Antero,Niittymaki,,,,73,215,L,18968,49967,niittan01,2003,2010,,,G,1980,6,18,Finland,,Turku,,,,,,
rynnaju01,,,Jussi,Rynnas,,,,77,205,,,,rynnaju01,2011,2011,,,G,1987,5,22,,,,,,,,,
stientr01,,,Trevor,Stienburg,,Trevor Malcolm,,73,200,R,11574,5201,stientr01,1985,1988,,,R,1966,5,13,Canada,ON,Kingston,,,,,,
amodemi01,,,Mike,Amodeo,,Michael Anthony,,70,190,L,11835,60,amodemi01,1979,1979,1972,1978,D,1952,6,22,Canada,ON,Toronto,,,,,,
mottda01,,,Darwin,Mott,,Darwin Robert,,69,165,L,,7719,mottda01,,,1972,1972,L,1950,8,19,Canada,SK,Creelman,,,,,,
lacroer01,,,Eric,Lacroix,,Eric,,73,210,L,10870,2895,lacroer01,1993,2000,,,L,1971,7,15,Canada,QC,Montreal,,,,,,
keczmda01,,,Dan,Keczmer,,Daniel Leonard,,73,190,L,10767,2661,keczmda01,1990,1999,,,D,1968,5,25,USA,MI,Mt. Clemens,,,,,,
ironsjo01,,,Joe,Ironstone,,Joseph,Kelly,66,180,R,18563,27767,ironsjo01,1925,1927,,,G,1898,6,28,Canada,ON,Sudbury,1972,12,12,Canada,ON,Sudbury
richahe01,,richahe01h,Henri,Richard,,Joseph Henri,Pocket Rocket,67,160,R,P197903,4547,richahe01,1955,1974,,,C,1936,2,29,Canada,QC,Montreal,,,,,,
,kinasra01c,,Ray,Kinasewich,,Raymond,,,,,,12371,kinasra99c,,,,,,1933,9,12,Canada,AB,Smokey Lake,,,,,,
marquma01,,,Mark,Marquess,,Mark Clarence Emmett,,68,160,R,13539,13322,marquma01,1946,1946,,,R,1925,3,26,Canada,AB,Bassano,,,,,,
tetarjo01,,,Joey,Tetarenko,,,,74,215,R,15159,19317,tetarjo01,2000,2003,,,R,1978,3,3,Canada,SK,Prince Albert,,,,,,
handyro01,,,Ron,Handy,,Ronald,,71,175,L,12839,2127,handyro01,1984,1987,,,C,1963,1,15,Canada,ON,Toronto,,,,,,
smyliro01,,,Rod,Smylie,,Roderick Thomas,Doctor,70,170,R,14387,29876,smyliro01,1920,1925,,,L,1895,9,28,Canada,ON,Toronto,1985,3,3,Canada,ON,Toronto
rochoj01,,,J,Rochon,,,,,,,,,,,,,,,,,,,,,,,,,,
smithdo01,,,Don,Smith,,Donald John,,67,160,R,14361,29905,smithdo01,1919,1919,,,C,1888,6,3,Canada,ON,Cornwall,1959,5,13,,,
desjaan01,,,Andrew,Desjardins,,,,73,200,,,,desjaan01,2010,2011,,,C,1986,7,27,Canada,ON,Lively,,,,,,
quintst01,,,Stephane,Quintal,,Stephane,,75,231,R,11336,4431,quintst01,1988,2003,,,D,1968,10,22,Canada,QC,Boucherville,,,,,,
mcgilja02,,,Jack,McGill,,John George,Big Jack,73,180,L,13640,3564,mcgilja02,1941,1946,,,C,1920,9,19,Canada,AB,Edmonton,1994,1,13,Canada,BC,Vancouver
lampmmi01,,,Mike,Lampman,,Michael David,,74,195,L,13292,2938,lampmmi01,1972,1976,,,L,1950,4,20,Canada,ON,Hamilton,,,,,,
seaboji01,,,Jim,Seaborn,,James Thomas,,74,210,R,,,,,,,,D,1892,,,Canada,MB,Winnipeg,,,,,,
mccriji01,,,Jim,McCrimmon,,James John,,73,210,R,13611,10358,mccriji01,1974,1974,1973,1975,D,1953,5,29,Canada,AB,Ponoka,,,,,,
farkaje01,,,Jeff,Farkas,,Jeffrey Thomas,,72,185,L,17800,24460,farkaje01,1999,2002,,,C,1978,1,24,USA,NY,Williamsville,,,,,,
orlanga01,,,Gates,Orlando,,Gates Gaetano,,68,180,R,13897,4084,orlanga01,1984,1986,,,C,1962,11,13,Canada,QC,Montreal,,,,,,
sprinda01,,,Dan,Spring,,Daniel Joseph,,72,180,R,,10940,sprinda01,,,1973,1975,C,1951,10,31,Canada,BC,Rossland,,,,,,
mckaydo01,,,Doug,McKay,,Douglas Alvin,,69,165,L,13650,13726,mckaydo01,1949,1949,,,L,1929,5,28,Canada,ON,Hamilton,,,,,,
vorobvl01,,,Vladimir,Vorobiev,,Vladimir,,72,184,R,14836,22834,vorobvl01,1996,1998,,,R,1972,10,2,Russia,,Cherepovets,,,,,,
