year,lgid,tmid,oppid,w,l,t,otl
2009,NHL,AND,MIN,2,0,,2
1983,NHL,PIT,LAK,1,2,0.0,
1944,NHL,DET,TOR,8,1,1.0,
1989,NHL,VAN,BOS,2,1,0.0,
1996,NHL,PHI,PIT,3,1,0.0,
1972,NHL,VAN,CHI,1,3,1.0,
2000,NHL,COL,SJS,3,0,1.0,0
2001,NHL,TOR,NAS,1,0,0.0,1
1957,NHL,NYR,TOR,7,5,2.0,
1973,NHL,CHI,NYR,3,1,1.0,
1996,NHL,PHO,COL,0,4,0.0,
2007,NHL,SJS,DAL,4,4,,0
1992,NHL,CHI,NJD,0,1,1.0,
1995,NHL,OTT,WIN,0,2,0.0,
1989,NHL,NJD,NYR,3,3,1.0,
1976,NHL,CHI,VAN,1,4,1.0,
1993,NHL,WIN,BUF,1,1,0.0,
1980,NHL,MTL,EDM,2,2,0.0,
1999,NHL,STL,ATL,2,0,0.0,0
1986,NHL,BUF,STL,1,2,0.0,
2009,NHL,AND,LAK,2,3,,1
2005,NHL,BOS,FLO,2,1,,1
1991,NHL,EDM,DET,0,2,1.0,
1998,NHL,TOR,VAN,2,1,0.0,
1992,NHL,CAL,EDM,6,1,0.0,
1983,NHL,CHI,CAL,1,2,0.0,
1976,NHL,VAN,MTL,0,4,0.0,
1951,NHL,NYR,BOS,6,4,4.0,
1995,NHL,STL,CAL,0,2,2.0,
1978,WHA,BIR,SOV,0,0,1.0,
1977,WHA,EDO,IND,9,2,0.0,
2009,NHL,WAS,OTT,1,1,,2
1987,NHL,DET,BUF,2,1,0.0,
1993,NHL,TOR,BUF,0,1,1.0,
1985,NHL,BUF,NYR,3,0,0.0,
2011,NHL,CHI,MIN,2,0,,2
1937,NHL,NYR,TOR,4,2,0.0,
1973,WHA,LAS,VAB,3,5,0.0,
1971,NHL,PIT,MTL,1,4,1.0,
1998,NHL,MTL,STL,2,0,0.0,
1984,NHL,VAN,NYR,1,2,0.0,
1988,NHL,WAS,MNS,1,1,1.0,
2006,NHL,EDM,CBS,3,1,,0
2009,NHL,ATL,NYI,1,2,,1
2009,NHL,MIN,CAL,5,1,,0
1996,NHL,DET,PHO,2,2,1.0,
1995,NHL,COL,LAK,2,2,1.0,
1980,NHL,PHI,HAR,3,0,1.0,
2011,NHL,COL,DAL,2,1,,1
2010,NHL,NAS,BOS,1,0,,0
1982,NHL,NYI,CHI,1,1,1.0,
2000,NHL,OTT,NYR,2,2,0.0,0
2008,NHL,LAK,BOS,1,0,,0
1976,WHA,IND,EDO,3,3,0.0,
2008,NHL,AND,BOS,0,1,,0
1988,NHL,BUF,BOS,5,0,3.0,
1980,NHL,NYI,CHI,4,0,0.0,
2011,NHL,NYI,OTT,1,3,,0
1987,NHL,EDM,WIN,4,1,3.0,
1985,NHL,WIN,TOR,1,1,1.0,
1976,NHL,LAK,NYI,2,2,0.0,
2002,NHL,BOS,ANA,0,1,0.0,0
1979,NHL,NYR,ATF,0,3,1.0,
1936,NHL,DET,BOS,7,1,0.0,
1990,NHL,CHI,BOS,1,2,0.0,
2008,NHL,OTT,DAL,1,0,,0
1982,NHL,DET,NYR,0,2,1.0,
1974,WHA,CHC,WIJ,1,5,0.0,
1979,NHL,QUE,MTL,1,2,1.0,
1937,NHL,NYA,TOR,2,5,1.0,
2001,NHL,PHI,TOR,2,1,1.0,0
2002,NHL,MIN,NYI,0,1,0.0,0
1993,NHL,CAL,BUF,0,2,0.0,
1982,NHL,CHI,VAN,0,1,2.0,
1983,NHL,MTL,PHI,0,2,1.0,
1992,NHL,CHI,BUF,0,2,0.0,
1985,NHL,TOR,NYI,0,3,0.0,
1974,NHL,KCS,NYR,0,4,1.0,
1977,WHA,SOV,HOU,1,0,0.0,
1997,NHL,WAS,LAK,1,0,1.0,
1997,NHL,PIT,PHI,2,2,0.0,
1998,NHL,NYR,OTT,1,2,1.0,
2002,NHL,MIN,CAR,1,1,0.0,0
1999,NHL,NJD,TOR,0,3,1.0,0
1944,NHL,BOS,MTL,0,10,0.0,
1995,NHL,ANA,LAK,2,3,1.0,
1972,WHA,LAS,ALB,3,5,0.0,
1976,NHL,LAK,CHI,2,2,0.0,
2009,NHL,COL,DAL,3,1,,0
1999,NHL,DAL,NYR,2,0,0.0,0
1998,NHL,NJD,PIT,4,1,0.0,
1943,NHL,NYR,DET,1,8,1.0,
1998,NHL,NYI,TOR,1,3,0.0,
2001,NHL,MTL,NAS,1,1,0.0,0
2007,NHL,WAS,EDM,1,0,,0
2011,NHL,NAS,COL,4,0,,0
1981,NHL,PIT,MNS,1,2,0.0,
1975,NHL,CLF,ATF,1,3,0.0,
1984,NHL,HAR,LAK,0,2,1.0,
2009,NHL,PHI,COL,0,1,,0
1958,NHL,BOS,DET,8,5,1.0,
2006,NHL,MIN,TBL,0,1,,0
1973,WHA,NYJ,QUN,4,4,0.0,
2008,NHL,NJD,BOS,2,2,,0
1999,NHL,NAS,NJD,0,2,0.0,0
1951,NHL,MTL,DET,2,9,3.0,
1974,WHA,HOU,QUN,3,3,0.0,
2011,NHL,BUF,MTL,5,0,,1
2010,NHL,PHI,NJD,3,2,,1
1972,NHL,BUF,PHI,2,3,0.0,
