playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
rutlewa01,1968,1,LAK,NHL,17,921,6,7,4,0,0,56,,5,229,1,3,,1,0,12,
plantja01,1954,1,MTL,NHL,52,3040,33,12,7,,5,110,,12,640,6,4,,,0,30,
puppada01,1991,1,BUF,NHL,33,1757,11,14,4,1,0,114,932,,,,,,,,,
osgooch01,2008,1,DET,NHL,46,2663,26,9,8,0,2,137,1208,23,1406,15,8,,1,2,47,637
mossty01,1998,1,CAL,NHL,11,550,3,7,0,0,0,23,295,,,,,,,,,
wakeler01,1970,1,STL,NHL,51,2859,20,14,11,0,3,133,,3,180,2,1,,0,1,7,
cloutda01,2003,1,VAN,NHL,60,3539,33,21,6,2,5,134,1554,3,138,1,1,,0,0,5,64
lumleha01,1958,1,BOS,NHL,11,660,8,2,1,,1,27,,7,436,3,4,,,0,20,
esposto01,1977,1,CHI,NHL,64,3840,28,22,14,4,5,168,,4,252,0,4,,0,0,19,
tugnuro01,1998,1,OTT,NHL,43,2508,22,10,8,2,3,75,1005,2,118,0,2,,0,0,6,41
hurmeja01,2000,1,OTT,NHL,22,1296,12,5,4,4,2,54,563,,,,,,,,,
champbo01,1963,1,DET,NHL,,,,,,,,,,1,55,1,0,,0,0,4,
croziro01,1968,1,DET,NHL,38,1820,12,16,3,2,0,101,,,,,,,,,,
hebersa01,1914,1,OT1,NHA,2,23,0,0,0,,0,1,,,,,,,,,,
burkese01,2000,1,PHO,NHL,62,3644,25,22,13,5,4,138,1766,,,,,,,,,
brodema01,2003,1,NJD,NHL,75,4555,38,26,11,4,11,154,1845,5,298,1,4,,1,0,13,133
drydeke01,1975,1,MTL,NHL,62,3580,42,10,8,3,8,121,,13,780,12,1,,1,1,25,
hextaro01,1987,1,PHI,NHL,62,3560,30,22,7,1,0,208,1817,7,379,2,4,,0,0,30,196
vanbijo01,1988,1,NYR,NHL,56,3207,28,21,4,4,0,197,1666,2,107,0,1,,1,0,6,55
grantdo01,1978,1,STL,NHL,4,190,0,2,1,1,0,23,,,,,,,,,,
malarcl01,1982,1,QUE,NHL,15,900,8,5,2,0,0,71,517,,,,,,,,,
bacasja01,2005,1,STL,NHL,19,966,4,10,1,5,0,52,515,,,,,,,,,
berthda01,1986,1,WIN,NHL,31,1758,18,7,3,1,1,93,810,8,439,4,4,,0,0,21,210
gigueje01,2011,1,COL,NHL,32,1820,15,11,3,4,2,69,850,,,,,,,,,
janasst01,1981,1,COR,NHL,2,100,0,1,0,0,0,13,,,,,,,,,,
enrotjh01,2009,1,BUF,NHL,1,58,0,1,0,0,0,4,37,,,,,,,,,
smithga01,1970,1,CLF,NHL,71,3975,19,48,4,3,2,256,,,,,,,,,,
brunema01,1989,1,QUE,NHL,6,191,1,2,0,0,0,13,99,,,,,,,,,
mclelda01,1972,1,VAN,NHL,2,120,1,1,0,0,0,10,,,,,,,,,,
blancbo01,1974,1,SDM,WHA,3,179,2,1,0,2,1,7,70,,,,,,,,,
faveldo01,1977,1,COR,NHL,47,2663,13,20,11,2,1,159,,2,120,0,2,,0,0,6,
johnsbr02,2009,1,PIT,NHL,23,1108,10,6,1,6,0,51,541,1,31,0,0,,0,0,1,7
barrato01,1985,1,BUF,NHL,60,3561,29,24,5,5,2,214,1778,,,,,,,,,
vanbijo01,2000,1,NYI,NHL,44,2390,10,25,5,4,1,120,1177,,,,,,,,,
lindsbe01,1914,1,VA1,PCHA,17,1054,4,13,0,,0,116,,,,,,,,,,
budajpe01,2007,1,COL,NHL,35,1912,16,10,4,6,0,82,849,3,108,0,0,,0,0,6,65
terrech01,1989,1,NJD,NHL,35,1931,15,12,3,3,0,110,1004,4,238,2,2,,0,0,13,103
sauveph01,2003,1,COL,NHL,17,986,7,7,3,2,0,50,479,,,,,,,,,
toskave01,2003,1,SJS,NHL,28,1541,12,8,4,3,1,53,760,,,,,,,,,
dubeaer01,1913,1,MOC,NHA,1,2,0,0,0,,0,1,,,,,,,,,,
hasekdo01,1998,1,BUF,NHL,64,3817,30,18,14,2,9,119,1877,19,1217,13,6,,2,2,36,587
osgooch01,1996,1,DET,NHL,47,2769,23,13,9,3,6,106,1175,2,47,0,0,,0,0,2,21
edwardo01,1979,1,BUF,NHL,49,2920,27,9,12,1,2,125,,6,360,3,3,,1,1,17,
ranfobi01,1989,1,EDM,NHL,56,3107,24,16,9,5,1,165,1463,22,1401,16,6,,1,1,59,672
cousima01,1996,1,TOR,NHL,13,566,3,5,1,1,1,31,317,,,,,,,,,
tobinbi01,1924,1,EDE,WCHL,3,180,2,1,0,,0,12,,,,,,,,,,
winklha01,1922,1,EDE,WCHL,29,1797,18,10,1,,1,89,,2,150,1,0,1,,1,3,
dycked01,1971,1,VAN,NHL,12,573,1,6,2,1,0,35,,,,,,,,,,
muzzaja01,1997,2,SJS,NHL,1,27,0,0,0,0,0,2,13,,,,,,,,,
