year,hofid,name,category
1947,caldefr01h,Frank Calder,Builder
1974,dundeto01h,Tommy Dunderdale,Player
1999,morriia01h,Scotty Morrison,Builder
1979,richahe01h,Henri Richard,Player
1962,pitredi01h,Didier Pitre,Player
1958,dudlege01h,George Dudley,Builder
1972,belivje01h,Jean Beliveau,Player
1971,sawchte01h,Terry Sawchuk,Player
1950,griffsi01h,Si Griffis,Player
1963,goodfeb01h,Ebbie Goodfellow,Player
1958,fredrfr01h,Frank Fredrickson,Player
1966,brimsfr01h,Frank Brimsek,Player
1962,stanlba01h,Barney Stanley,Player
1962,lavioja01h,Jack Laviolette,Player
1963,mclaufr01h,Frederic McLaughlin,Builder
1972,howego01h,Gordie Howe,Player
1967,colvine01h,Neil Colville,Player
1945,pulfoha01h,Harvey Pulford,Player
1994,conacli01h,Lionel Conacher,Player
1984,esposph01h,Phil Esposito,Player
2007,macinal01h,Al MacInnis,Player
1975,baileac01h,Ace Bailey,Player
1974,coultar01h,Art Coulter,Player
1960,walkeja01h,Jack Walker,Player
1964,stewaja01h,Jack Stewart,Player
1964,siebeba01h,Babe Siebert,Player
1978,bathgan01h,Andy Bathgate,Player
1959,thompti01h,Tiny Thompson,Player
1977,ahearbu01h,Bunny Ahearne,Builder
1991,armstne01h,Neil Armstrong,Referee/Linesman
1962,darraja01h,Jack Darragh,Player
1980,butteja01h,Jack Butterfield,Builder
1991,bossymi01h,Mike Bossy,Player
1963,dandule01h,Leo Dandurand,Builder
1976,rossph01h,Philip Ross,Builder
2005,neelyca01h,Cam Neely,Player
1968,dunnji01h,Jimmy Dunn,Builder
1961,appssy01h,Syl Apps,Player
1950,davidal01h,Scotty Davidson,Player
1947,roberjo02h,John Robertson,Builder
1999,gretzwa01h,Wayne Gretzky,Player
1983,sindeha01h,Harry Sinden,Builder
2007,messima01h,Mark Messier,Player
1961,brownge03h,George Brown,Builder
2010,develji01h,Jim Devellano,Builder
1945,bakerho01h,Hobey Baker,Player
1964,diliofr01h,Francis Dilio,Builder
1996,bauerbo01h,Bobby Bauer,Player
1975,bucklfr01h,Frank Buckland,Builder
1965,hornere01h,Red Horner,Player
2008,scapira01h,Ray Scapinello,Referee/Linesman
1962,wilsoph01h,Phat Wilson,Player
1988,hayesge01h,George Hayes,Referee/Linesman
2004,murphla01h,Larry Murphy,Player
1965,marshja02h,Jack Marshall,Player
1964,bentldo01h,Doug Bentley,Player
1995,sabetgu01h,Gunther Sabetzki,Builder
1986,hanlebi01h,Bill Hanley,Builder
1971,wirtzar01h,Arthur Wirtz,Builder
1968,cowlebi01h,Bill Cowley,Player
1966,lindste01h,Ted Lindsay,Player
1959,dennecy01h,Cy Denneny,Player
1992,mcdonla01h,Lanny McDonald,Player
1962,mcgimbi01h,Billy McGimsie,Player
1989,tretivl01h,Vladislav Tretiak,Player
2004,coffepa01h,Paul Coffey,Player
1990,perregi01h,Gilbert Perreault,Player
1958,irvindi01h,Dick Irvin,Player
1965,lockhth01h,Tommy Lockhart,Builder
1987,ziegljo01h,John Ziegler,Builder
1971,weilaco01h,Cooney Weiland,Player
1958,raymodo01h,Donat Raymond,Builder
1962,noblere01h,Reg Noble,Player
1984,parenbe01h,Bernie Parent,Player
1991,smithcl01h,Clint Smith,Player
1999,vanhean01h,Andy Van Hellemond,Referee/Linesman
1986,savarse01h,Serge Savard,Player
1945,vezinge01h,Georges Vezina,Player
1977,delveal01h,Alex Delvecchio,Player
1984,imlacpu01h,Punch Imlach,Builder
1958,hayge01h,George Hay,Player
1975,hallgl01h,Glenn Hall,Player
1981,mahovfr01h,Frank Mahovlich,Player
2007,gregoji01h,Jim Gregory,Builder
1967,brodatu01h,Turk Broda,Player
2003,ilitcmi01h,Mike Illitch,Builder
1949,bainda01h,Dan Bain,Player
1973,raynech01h,Chuck Rayner,Player
1945,allanmo01h,Montagu Allan,Builder
1992,dionnma01h,Marcel Dionne,Player
2000,mullejo01h,Joe Mullen,Player
1980,worslgu01h,Gump Worsley,Player
1966,blaketo01h,Toe Blake,Player
2011,nieuwjo01h,Joe Nieuwendyk,Player
1975,pilotpi01h,Pierre Pilote,Player
1969,wortero01h,Roy Worters,Player
1969,leadeal01h,Al Leader,Builder
1998,conacro01h,Roy Conacher,Player
1962,hoopeto01h,Tom Hooper,Player
1962,obrieja01h,Ambrose O'Brien,Builder
2002,federbe01h,Bernie Federko,Player
1958,norrija02h,James Norris Sr.,Builder
1963,gormato01h,Tommy Gorman,Builder
1958,smythco01h,Conn Smythe,Builder
1945,gerared01h,Eddie Gerard,Player
1961,dayha01h,Hap Day,Player
1962,schrisw01h,Sweeney Schriner,Player
2011,gilmodo01h,Doug Gilmour,Player
2008,andergl01h,Glenn Anderson,Player
