orderid,productid,unitprice,quantity,discount
10442,66,13.6,60,0.0
10740,28,45.6,5,0.0
10905,1,18.0,20,0.0
10970,52,7.0,40,0.0
11058,60,34.0,21,0.0
10663,51,53.0,20,0.0
10346,17,31.2,36,0.0
10414,33,2.0,50,0.0
10345,19,7.3,80,0.0
10645,36,19.0,15,0.0
10517,52,7.0,6,0.0
10693,9,97.0,6,0.0
10996,42,14.0,40,0.0
10394,62,39.4,10,0.0
11069,39,18.0,20,0.0
10534,30,25.89,10,0.0
10459,46,9.6,20,0.0
10982,43,46.0,9,0.0
10646,10,31.0,18,0.0
10251,22,16.8,6,0.0
10621,19,9.2,5,0.0
10670,67,14.0,25,0.0
10485,55,19.2,30,0.0
10749,76,18.0,10,0.0
10421,26,24.9,30,0.0
10673,42,14.0,6,0.0
10382,74,8.0,50,0.0
10403,48,10.2,70,0.0
10719,54,7.45,40,0.0
10470,18,50.0,30,0.0
10818,32,32.0,20,0.0
10439,74,8.0,30,0.0
10987,43,46.0,6,0.0
10952,6,25.0,16,0.0
10370,74,8.0,20,0.0
10575,59,55.0,12,0.0
10802,30,25.89,25,0.0
10875,49,20.0,15,0.0
10347,25,11.2,10,0.0
10312,28,36.4,4,0.0
10436,64,26.6,30,0.0
11047,5,21.35,30,0.0
10991,70,15.0,20,0.0
10484,21,8.0,14,0.0
10477,1,14.4,15,0.0
10386,24,3.6,15,0.0
10625,60,34.0,10,0.0
10563,52,7.0,70,0.0
10935,23,9.0,8,0.0
10294,75,6.2,6,0.0
10795,16,17.45,65,0.0
10686,17,39.0,30,0.0
10851,57,19.5,10,0.0
10489,16,13.9,18,0.0
10650,54,7.45,30,0.0
11077,73,15.0,2,0.0
10793,52,7.0,8,0.0
10899,39,18.0,8,0.0
10885,77,13.0,25,0.0
10487,26,24.9,30,0.0
10614,21,10.0,8,0.0
10911,1,18.0,10,0.0
10665,76,18.0,10,0.0
10274,71,17.2,20,0.0
10612,10,31.0,70,0.0
10831,38,263.5,8,0.0
10815,33,2.5,16,0.0
10990,21,10.0,65,0.0
10999,41,9.65,20,0.0
10360,29,99.0,35,0.0
10955,75,7.75,12,0.0
11006,1,18.0,8,0.0
11049,12,38.0,4,0.0
10926,19,9.2,7,0.0
11062,53,32.8,10,0.0
10705,32,32.0,4,0.0
10249,14,18.6,9,0.0
10764,3,10.0,20,0.0
10510,29,123.79,36,0.0
10703,2,19.0,5,0.0
10262,56,30.4,2,0.0
10583,29,123.79,10,0.0
10536,31,12.5,20,0.0
10305,29,99.0,25,0.0
10696,46,12.0,18,0.0
10409,14,18.6,12,0.0
10894,13,6.0,28,0.0
10731,51,53.0,30,0.0
10613,75,7.75,40,0.0
10493,65,16.8,15,0.0
10946,77,13.0,40,0.0
10512,24,4.5,10,0.0
10296,69,28.8,15,0.0
11072,64,33.25,130,0.0
11022,69,36.0,30,0.0
10902,62,49.3,6,0.0
