orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry
10252,SUPRD,4,1996-07-0900:00:00,1996-08-06T00:00:00,1996 - 07 - 11 ч. 00 м.,2,51.3,Супримовые куски,"Бульвар Тиру, 255",Шарлерой,,B-6000,Бельгия
10253,HANAR,3,1996 - 07 - 10 ч. 00 м.,1996-07-240000:00,1996 - 07 - 16 ч. 00 м.,2,58.17,Ханари Карнс,"Руа-ду-Пао, 67",Рио-де-Жанейро,RJ,05454-876,Бразилия
10255,RICSU,9,1996-07-1200:00:00,1996-08-0900:00:00,1996-07-1500:00:00,3,148.33,Ричтер Супермаркет,Старенвег 5,Джентльмены,,1204,Швейцария
10257,HILAA,4,1996 - 07 - 16 ч. 00 м.,1996 - 08 - 13 ч. 00 м.,1996-07-22T00:00:00,3,81.91,ГИЛАРИОН-Абастос,Каррера 22 ав. Карлос Сублетт #8-35,Сан-Кристбал,Чира,5022,Венесуэла
10259,CENTC,4,1996 - 07 - 18 ч. 00 м.,1996 - 08 - 15 ч. 00 м.,1996-07-2500:00:00,3,3.25,Центральная комикция &quot; Моктезума &quot;,Сьерра-де-Гранада 9993,Mxico D.F.,,5022,Мексика
10260,OTTIK,4,1996 - 2007 - 19 ч. 00 м.,1996 - 2008 16 ч. 00 м.,1996-07-29-T00:00:00,1,55.09,Оттилисы Кселаден,Mehrheimerstr. 369,Клн,,50739,Германия
10261,QUEDE,4,1996 - 2007 - 19 ч. 00 м.,1996 - 2008 16 ч. 00 м.,1996 - 07 - 30 ч. 00 м.,2,3.05,Que Delcia,"&lt; &lt; Руа да панификадора &gt; &gt; , 12",Рио-де-Жанейро,RJ,02389-673,Бразилия
10263,ERNSH,9,1996-07-23T00:00:00,1996 - 08 - 20 ч. 00 м.,1996-07-31T00:00:00,3,146.06,Эрнст Хандель,Кирчгассе 6,Грац,,8010,Австрия
10272,RATTC,6,1996-08-02T00:00,1996 - 08 - 30 ч. 00 м.,1996-08-06T00:00:00,2,98.03,Рэттлеснайк Каньон Гроучери,2817 Milton Dr.,Альбукерке,НМ,87110,США
10277,MORGK,2,1996-08-0900:00:00,1996-09-06T00:00:00,1996 - 08 - 13 ч. 00 м.,3,125.77,Моргенстерн Гесундкост,Стр. 22,Лейпциг,,4179,Германия
10281,ROMEY,4,1996 - 08 - 14 ч. 00 м.,1996-08-28T00:00:00,1996-08-21T00:00:00,1,2.94,Ромеро и Томильо,"Бабушка Va, 1",Мадрид,,28001,Испания
