territoryid,territorydescription,regionid
2184,Мозги,1
20852,Роквилль,1
98104,Сиэтл,2
90405,Санта-Моника,2
45839,Финдлей,3
48075,Саутфилд,3
19428,Филадельфия,3
80202,Денвер,2
31406,Саванна,4
30346,Атланта,4
3801,Портсмут,3
10038,Нью-Йорк,1
95060,Санта-Круз,2
32859,Орландо,4
98004,Бельвью,2
48084,Трой,3
85251,Скоттсдейл,2
8837,Эдисон,1
3049,Холлис,3
72716,Бентонвилль,4
55113,Роузвилль,3
78759,Остин,4
85014,Феникс,2
27511,Кэри,1
44122,Бичвуд,3
11747,Мельвиль,1
19713,Ньюард,1
2903,Провидение,1
2139,Кембридж,1
7960,Морристаун,1
80909,Колорадо Спрингс,2
98052,Редмонд,2
95054,Санта-Клара,2
53404,Расин,3
94025,Парк Менло,2
33607,Тампа,4
40222,Луисвилль,1
14450,Фейрпорт,1
27403,Гринсборо,1
60179,Hoffman Estatements,2
6897,Уилтон,1
10019,Нью-Йорк,1
48304,Блумфилдские холмы,3
29202,Колумбия,4
75234,Даллас,4
2116,Бостон,1
95008,Кэмпбелл,2
60601,Чикаго,2
55439,Миннеаполис,3
1833,Жоржтоу,1
1581,Вестборо,1
94105,Сан-Франциско,2
1730,Бедфорд,1
