playerid,year,stint,tmid,lgid,gp,min,w,l,t/ol,eng,sho,ga,sa,postgp,postmin,postw,postl,postt,posteng,postsho,postga,postsa
lalimpa01,2000,1,OTT,NHL,60,3607,36,19,5,3.0,7,141,1640.0,4.0,251.0,0.0,4.0,,0.0,0.0,10.0,99.0
rollial01,1959,1,NYR,NHL,10,600,3,4,3,,0,31,,,,,,,,,,
berkhad01,2005,1,ATL,NHL,9,473,2,4,1,0.0,0,30,255.0,,,,,,,,,
benedcl01,1921,1,OTS,NHL,24,1510,14,8,2,,2,84,,2.0,120.0,0.0,1.0,1.0,,1.0,5.0,
norrija01,1974,1,PHR,WHA,33,1962,14,15,4,1.0,1,107,979.0,2.0,100.0,0.0,2.0,,0.0,0.0,10.0,
josepcu01,2007,1,CAL,NHL,9,400,3,2,0,1.0,0,17,181.0,2.0,79.0,1.0,0.0,,0.0,0.0,1.0,33.0
karlshe01,2010,1,CAL,NHL,17,838,4,5,6,4.0,0,36,391.0,,,,,,,,,
prusema01,2001,1,OTT,NHL,1,62,0,1,0,0.0,0,3,15.0,,,,,,,,,
mattsma01,1983,1,LAK,NHL,19,1101,7,8,2,1.0,1,79,530.0,,,,,,,,,
hebergu01,1999,1,ANA,NHL,68,3976,28,31,9,8.0,4,166,1805.0,,,,,,,,,
tabarri01,1994,1,WAS,NHL,8,394,1,3,2,0.0,0,16,147.0,,,,,,,,,
gigueje01,2008,1,AND,NHL,46,2458,19,18,6,3.0,2,127,1274.0,1.0,17.0,0.0,0.0,,1.0,0.0,0.0,6.0
hollake01,1983,1,DET,NHL,3,146,0,1,1,2.0,0,10,53.0,,,,,,,,,
gilbegi01,1977,1,BOS,NHL,25,1326,15,6,2,0.0,2,56,,,,,,,,,,
smithbi01,1976,1,NYI,NHL,36,2089,21,8,6,1.0,2,87,,10.0,580.0,7.0,3.0,,0.0,0.0,27.0,
mcnamge01,1960,1,TOR,NHL,5,300,2,2,1,,0,13,,,,,,,,,,
thibajo01,1995,2,MTL,NHL,40,2334,23,13,3,2.0,3,110,1258.0,6.0,311.0,2.0,4.0,,0.0,0.0,18.0,188.0
bouchda01,1974,1,ATF,NHL,40,2400,20,15,5,6.0,3,111,,,,,,,,,,
wilsodu01,1977,1,PIT,NHL,21,1180,5,11,3,0.0,0,95,,,,,,,,,,
kerrda01,1932,1,MTM,NHL,26,1520,14,8,3,,4,58,,2.0,120.0,0.0,2.0,0.0,,0.0,5.0,
wilkide01,1996,1,TBL,NHL,5,169,0,2,1,1.0,0,12,72.0,,,,,,,,,
smithga01,1974,1,VAN,NHL,72,3828,32,24,9,3.0,6,197,,4.0,257.0,1.0,3.0,,0.0,0.0,14.0,
noronmi01,2001,1,BUF,NHL,10,518,4,3,1,0.0,0,23,217.0,,,,,,,,,
kleiste01,1985,1,NYR,NHL,4,191,0,2,0,0.0,0,14,109.0,,,,,,,,,
jablopa01,1991,1,STL,NHL,10,468,3,6,0,1.0,0,38,259.0,,,,,,,,,
dunhami01,2005,1,ATL,NHL,17,779,8,5,2,1.0,1,36,336.0,,,,,,,,,
ranfobi01,1994,1,EDM,NHL,40,2203,15,20,3,2.0,2,133,1134.0,,,,,,,,,
brathfr01,1999,1,CAL,NHL,61,3448,25,25,7,3.0,5,158,1664.0,,,,,,,,,
cleghsp01,1921,1,MTL,NHL,1,2,0,0,0,,0,0,,,,,,,,,,
trefian01,1995,1,BUF,NHL,22,1094,8,8,1,2.0,0,64,660.0,,,,,,,,,
cheveti01,1990,1,DET,NHL,65,3615,30,26,5,5.0,2,214,1716.0,7.0,398.0,3.0,4.0,,1.0,0.0,22.0,208.0
paillma01,1972,1,PHB,WHA,15,611,2,8,0,3.0,0,49,377.0,1.0,27.0,0.0,1.0,,0.0,0.0,5.0,21.0
roachjo01,1932,1,DET,NHL,48,2970,25,15,8,,10,93,,4.0,240.0,2.0,2.0,0.0,,1.0,8.0,
shtalmi01,1997,1,ANA,NHL,40,2049,13,18,5,3.0,1,110,1031.0,,,,,,,,,
guenest01,1986,1,PIT,NHL,2,113,0,2,0,2.0,0,8,54.0,,,,,,,,,
currami01,1975,1,MFS,WHA,5,240,2,2,0,0.0,1,22,153.0,,,,,,,,,
gigueje01,2003,1,ANA,NHL,55,3210,17,31,6,4.0,3,140,1623.0,,,,,,,,,
roberea01,1938,1,NYA,NHL,46,2850,17,18,10,,3,136,,,,,,,,,,
gossema01,1992,1,HAR,NHL,16,867,5,9,1,1.0,0,57,499.0,,,,,,,,,
brownan01,1974,1,IND,WHA,52,2979,15,35,0,1.0,2,206,1627.0,,,,,,,,,
forbeja01,1929,1,NYA,NHL,1,70,0,0,1,,0,1,,,,,,,,,,
stephwa01,1976,1,PHI,NHL,21,1065,12,3,2,2.0,3,41,,9.0,532.0,4.0,3.0,,1.0,1.0,23.0,
lockhho01,1920,1,HAM,NHL,24,1454,6,18,0,,1,132,,,,,,,,,,
lockhho01,1916,1,TOB,NHA,12,720,7,5,0,,1,69,,,,,,,,,,
richtmi01,1994,1,NYR,NHL,35,1993,14,17,2,2.0,2,97,884.0,7.0,384.0,2.0,5.0,,1.0,0.0,23.0,189.0
mcelhcu01,2010,1,AND,NHL,21,996,6,9,1,0.0,2,57,516.0,,,,,,,,,
kiddtr01,2001,1,FLO,NHL,33,1683,4,16,5,4.0,1,90,857.0,,,,,,,,,
tellqmi01,2006,1,TOR,NHL,1,59,0,1,0,0.0,0,2,19.0,,,,,,,,,
potvife01,1995,1,TOR,NHL,69,4009,30,26,11,4.0,2,192,2135.0,6.0,350.0,2.0,4.0,,0.0,0.0,19.0,198.0
tugnuro01,2003,1,DAL,NHL,11,548,3,7,0,0.0,1,22,220.0,,,,,,,,,
brodeke01,1974,1,BOS,NHL,15,804,7,6,0,1.0,1,32,,,,,,,,,,
irbear01,1991,1,SJS,NHL,13,645,2,6,3,1.0,0,48,365.0,,,,,,,,,
winklha01,1927,1,BOS,NHL,44,2780,20,13,11,,15,70,,2.0,120.0,0.0,1.0,1.0,,0.0,5.0,
saloto01,1997,1,NYI,NHL,62,3461,23,29,5,9.0,4,152,1617.0,,,,,,,,,
brodeke01,1976,1,EDO,WHA,40,2301,18,18,1,1.0,4,134,1098.0,3.0,179.0,1.0,2.0,,0.0,0.0,10.0,82.0
daleyjo01,1968,1,PIT,NHL,29,1615,10,13,3,2.0,2,87,,,,,,,,,,
vernomi01,1998,1,SJS,NHL,49,2831,16,22,10,3.0,4,107,1200.0,5.0,321.0,2.0,3.0,,0.0,0.0,13.0,172.0
edwarga01,1981,1,STL,NHL,10,480,1,5,1,0.0,0,45,,,,,,,,,,
roberea01,1941,1,BKN,NHL,12,750,3,8,1,,0,46,,,,,,,,,,
thomawa01,1975,1,TOR,NHL,64,3684,28,24,12,5.0,2,196,,10.0,587.0,5.0,5.0,,1.0,1.0,34.0,
lehtoka01,2011,1,DAL,NHL,59,3497,32,22,4,6.0,4,136,1739.0,,,,,,,,,
worslgu01,1970,1,MNS,NHL,24,1369,4,10,8,0.0,0,57,,4.0,240.0,3.0,1.0,,0.0,0.0,13.0,
winklha01,1921,1,EDE,WCHL,15,891,10,4,0,,1,36,,2.0,120.0,0.0,1.0,1.0,,0.0,3.0,
simmodo01,1958,1,BOS,NHL,58,3480,24,26,8,,3,184,,,,,,,,,,
stefagr01,1983,1,DET,NHL,50,2600,19,22,2,5.0,2,152,1223.0,3.0,210.0,1.0,2.0,,0.0,0.0,8.0,86.0
henrygo01,1948,1,BOS,NHL,1,60,1,0,0,,1,0,,,,,,,,,,
brodema01,1998,1,NJD,NHL,70,4239,39,21,10,4.0,4,162,1728.0,7.0,425.0,3.0,4.0,,1.0,0.0,20.0,139.0
belfoed01,1993,1,CHI,NHL,70,3998,37,24,6,0.0,7,178,1892.0,6.0,360.0,2.0,4.0,,0.0,0.0,15.0,191.0
daleyjo01,1971,1,DET,NHL,29,1620,11,10,5,1.0,0,85,,,,,,,,,,
landobr01,1974,1,NEW,WHA,7,339,2,3,0,0.0,0,19,190.0,,,,,,,,,
flahewa01,1992,1,SJS,NHL,1,60,0,1,0,0.0,0,5,46.0,,,,,,,,,
raynech01,1946,1,NYR,NHL,58,3480,22,30,6,,5,177,,,,,,,,,,
liutmi01,1980,1,STL,NHL,61,3570,33,14,13,2.0,1,199,,11.0,685.0,5.0,6.0,,0.0,0.0,50.0,
grantdo01,1978,1,STL,NHL,4,190,0,2,1,1.0,0,23,,,,,,,,,,
davidjo01,1977,1,NYR,NHL,34,1848,14,13,4,4.0,1,98,,2.0,122.0,1.0,1.0,,0.0,0.0,7.0,
elliobr01,2010,1,OTT,NHL,43,2293,13,19,8,4.0,3,122,1147.0,,,,,,,,,
enrotjh01,2009,1,BUF,NHL,1,58,0,1,0,0.0,0,4,37.0,,,,,,,,,
shtalmi01,1999,2,FLO,NHL,15,882,8,4,2,0.0,0,34,369.0,,,,,,,,,
