year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1981,NHL,LAK,LAK,CC,SM,4,DF,80,24,41,15.0,,63,,,314,369,Короли Лос-Анджелеса,1730.0,10.0,75.0,355.0,11.0,89.0,310.0,7.0
1997,NHL,CAR,CAR,EC,NE,6,,82,33,41,8.0,,74,,,200,219,Ураганы в Каролине,1455.0,12.0,50.0,378.0,10.0,58.0,391.0,8.0
2003,NHL,CHI,CHI,WC,CE,5,,82,20,43,11.0,8.0,59,,,188,259,Чикаго Блэкхокс,1318.0,18.0,55.0,349.0,14.0,63.0,383.0,5.0
2003,NHL,TOR,TOR,EC,NE,2,СФК,82,45,24,10.0,3.0,103,,,242,204,Торонтские кленовые листья,1452.0,20.0,75.0,373.0,8.0,64.0,386.0,8.0
1999,NHL,SJS,SJS,WC,PC,4,СФК,82,35,30,10.0,7.0,87,,,225,214,Сан-Хосе Акулы,1292.0,6.0,62.0,377.0,4.0,61.0,372.0,16.0
1966,NHL,CHI,CHI,,,1,SF,70,41,17,12.0,,94,,,264,170,Чикаго Черные Ястребы,757.0,,51.0,232.0,3.0,37.0,234.0,10.0
1974,WHA,EDO,EDM,,CW,5,,78,36,38,4.0,,76,,,279,279,Edmonton Oilers,896.0,,40.0,262.0,4.0,52.0,236.0,10.0
1968,NHL,OAK,CLE,,WD,2,QF,76,29,36,11.0,,69,,,219,251,Оклендские печати,807.0,,44.0,286.0,5.0,42.0,226.0,3.0
2001,NHL,DET,DET,WC,CE,1,ПК,82,51,17,10.0,4.0,116,,,251,187,&lt; &lt; Красные крылья &gt; &gt;,1053.0,10.0,73.0,359.0,7.0,48.0,343.0,9.0
1977,NHL,TOR,TOR,WA,AD,3,SF,80,41,29,10.0,,92,,,271,237,Торонтские кленовые листья,1258.0,4.0,57.0,261.0,7.0,55.0,295.0,5.0
2000,NHL,MTL,MTL,EC,NE,5,,82,28,40,8.0,6.0,70,,,206,232,Монреальские канадиенсы,1020.0,18.0,68.0,421.0,3.0,60.0,337.0,5.0
1920,PCHA,VA2,VIC,,,3,,24,10,13,1.0,,21,,,72,88,Виктория Аристократс,,,,,,,,
1928,NHL,MTM,MTM,,CA,5,,44,15,20,9.0,,39,,,67,65,Монреальские мароны,636.0,,,,,,,
1929,NHL,BOS,BOS,,AM,1,F,44,38,5,1.0,,77,,,179,98,Бостонские бруины,447.0,,,,,,,
1978,WHA,SOV,SOV,,,8,,6,4,1,1.0,,9,,,27,20,Советские все звезды,77.0,0.0,,,,,,
1995,NHL,TOR,TOR,WC,CE,3,CQF,82,34,36,12.0,,80,,,247,252,Торонтские кленовые листья,1742.0,18.0,83.0,438.0,9.0,70.0,403.0,11.0
2008,NHL,NAS,NAS,WC,CE,5,,82,40,34,,8.0,88,6.0,5.0,213,233,Нэшвилл Хищники,994.0,12.0,50.0,318.0,8.0,59.0,338.0,9.0
2008,NHL,DAL,DAL,WC,PC,3,,82,36,35,,11.0,83,6.0,6.0,230,257,Далласские Звезды,1144.0,10.0,54.0,351.0,4.0,70.0,327.0,2.0
1974,NHL,VAN,VAN,CC,SM,1,QF,80,38,32,10.0,,86,,,271,254,Ванкуверские канаки,965.0,14.0,70.0,337.0,5.0,59.0,300.0,5.0
1940,NHL,NYR,NYR,,,4,QF,48,21,19,8.0,,50,,,143,125,Нью-Йоркские рейнджеры,356.0,,,,,,,
2002,NHL,STL,STL,WC,CE,2,CQF,82,41,24,11.0,6.0,99,,,253,222,Блюз Сент-Луис,1618.0,16.0,80.0,391.0,7.0,71.0,389.0,11.0
1925,NHL,MTL,MTL,,,7,,36,11,24,1.0,,23,,,79,108,Монреальские канадиенсы,458.0,,,,,,,
2005,NHL,NYR,NYR,EC,AT,3,CQF,82,44,26,,12.0,100,7.0,4.0,257,215,Нью-Йоркские рейнджеры,1194.0,12.0,83.0,442.0,9.0,79.0,486.0,4.0
1983,NHL,DET,DET,CC,NO,3,DSF,80,31,42,7.0,,69,,,298,323,&lt; &lt; Красные крылья &gt; &gt;,1546.0,10.0,79.0,356.0,10.0,77.0,311.0,9.0
2009,NHL,NAS,NAS,WC,CE,3,CQF,82,47,29,,6.0,100,8.0,4.0,225,225,Нэшвилл Хищники,710.0,12.0,47.0,286.0,6.0,59.0,258.0,5.0
2002,NHL,TOR,TOR,EC,NE,2,CQF,82,44,28,7.0,3.0,98,,,236,208,Торонтские кленовые листья,1390.0,22.0,63.0,359.0,7.0,56.0,426.0,11.0
2007,NHL,MTL,MTL,EC,NE,1,СФК,82,47,25,,10.0,104,5.0,6.0,262,222,Монреальские канадиенсы,1090.0,18.0,90.0,374.0,3.0,60.0,342.0,8.0
1998,NHL,VAN,VAN,WC,NW,4,,82,23,47,12.0,,58,,,192,258,Ванкуверские канаки,1764.0,16.0,57.0,358.0,9.0,77.0,450.0,17.0
1980,NHL,PHI,PHI,CC,PT,2,QF,80,41,24,15.0,,97,,,313,249,Филадельфия Флайерс,2621.0,40.0,75.0,278.0,4.0,85.0,432.0,10.0
2010,NHL,COL,COL,WC,NW,4,,82,30,44,,8.0,68,6.0,1.0,227,288,Колорадо Авалонш,1077.0,22.0,49.0,265.0,11.0,75.0,314.0,8.0
