year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1928,QF,C,TOR,NHL,DTC,NHL,2,0,0,7,2,ТГ
1975,SF,I,MTL,NHL,NYI,NHL,4,1,0,17,14,
1982,DSF,B,BUF,NHL,MTL,NHL,3,0,0,8,2,
1973,DF,,CHC,WHA,TOT,WHA,4,3,0,34,27,
1975,Предварительно,C,LAK,NHL,ATF,NHL,2,0,0,3,1,
1979,Предварительно,A,PHI,NHL,EDM,NHL,3,0,0,12,6,
1997,CQF,E,DAL,NHL,SJS,NHL,4,2,0,16,12,
1966,ПКФ,C,TOR,NHL,MTL,NHL,4,2,0,17,16,
1980,Предварительно,B,STL,NHL,PIT,NHL,3,2,0,20,21,
1938,ПКФ,E,BOS,NHL,TOR,NHL,4,1,0,12,6,
1962,ПКФ,C,TOR,NHL,DET,NHL,4,1,0,17,10,
1980,SF,М,NYI,NHL,NYR,NHL,4,0,0,22,8,
1973,DSF,,MFS,WHA,EDO,WHA,4,1,0,22,14,
1927,SF,C,MTM,NHL,MTL,NHL,1,0,1,3,2,ТГ
1985,DF,L,CAL,NHL,EDM,NHL,4,3,0,25,24,
1959,SF,A,MTL,NHL,CHI,NHL,4,0,0,14,6,
1974,QF,,SDM,WHA,TOT,WHA,4,2,0,29,27,
1978,SF,J,MTL,NHL,BOS,NHL,4,3,0,25,20,
1990,DSF,B,MTL,NHL,BUF,NHL,4,2,0,29,24,
1950,ПКФ,C,TOR,NHL,MTL,NHL,4,1,0,13,10,
1974,РВК,,HOU,WHA,QUN,WHA,4,0,0,20,7,
2003,СФК,К,CAL,NHL,DET,NHL,4,2,0,11,12,
1994,СФК,К,DET,NHL,SJS,NHL,4,0,0,24,6,
2009,CQF,D,PIT,NHL,OTT,NHL,4,2,0,24,19,
1974,Предварительно,A,TOR,NHL,LAK,NHL,2,1,0,7,6,
1999,CQF,A,PHI,NHL,BUF,NHL,4,1,0,14,8,
2009,CQF,Н,DET,NHL,PHO,NHL,4,3,0,26,18,
1974,Предварительно,D,NYI,NHL,NYR,NHL,2,1,0,10,13,
1928,ПКФ,E,BOS,NHL,NYR,NHL,2,0,0,4,1,
1977,QF,,QUN,WHA,HOU,WHA,4,2,0,29,16,
2007,CF,Н,DET,NHL,DAL,NHL,4,2,0,17,10,
1976,Предварительно,A,NYI,NHL,CHI,NHL,2,0,0,7,3,
1978,Предварительно,B,NYR,NHL,LAK,NHL,2,0,0,9,2,
1972,Предварительно,,MFS,WHA,ALB,WHA,1,0,0,4,2,
2011,CQF,F,STL,NHL,SJS,NHL,4,1,0,14,8,
2011,СФК,К,LAK,NHL,STL,NHL,4,0,0,15,6,
1977,QF,F,BOS,NHL,CHI,NHL,4,0,0,19,9,
1989,DSF,D,WAS,NHL,NJD,NHL,4,2,0,21,18,
1980,Предварительно,G,CAL,NHL,CHI,NHL,3,0,0,15,9,
1997,СФК,К,DAL,NHL,EDM,NHL,4,1,0,9,5,
2005,CQF,A,OTT,NHL,TBL,NHL,4,1,0,23,13,
1988,DSF,Н,LAK,NHL,EDM,NHL,4,3,0,25,20,
1934,SF,A,TOR,NHL,BOS,NHL,3,1,0,7,2,
1946,SF,B,TOR,NHL,DET,NHL,4,1,0,18,14,
2010,CQF,C,BOS,NHL,MTL,NHL,4,3,0,17,17,
1987,DSF,F,STL,NHL,CHI,NHL,4,1,0,21,17,
1986,DF,К,DET,NHL,TOR,NHL,4,3,0,20,18,
2006,CF,М,OTT,NHL,BUF,NHL,4,1,0,15,10,
2005,CQF,G,ANA,NHL,CAL,NHL,4,3,0,17,16,
1999,CQF,G,COL,NHL,PHO,NHL,4,1,0,17,10,
1995,CQF,B,PIT,NHL,WAS,NHL,4,2,0,21,17,
1972,SF,E,MTL,NHL,PHI,NHL,4,1,0,19,13,
2002,CF,М,NJD,NHL,OTT,NHL,4,3,0,17,13,
1945,SF,B,BOS,NHL,DET,NHL,4,1,0,16,10,
1999,CQF,D,NJD,NHL,FLO,NHL,4,0,0,12,6,
1990,DSF,A,BOS,NHL,HAR,NHL,4,2,0,24,17,
1979,QF,J,BUF,NHL,CHI,NHL,4,0,0,16,7,
2008,CQF,C,CAR,NHL,NJD,NHL,4,3,0,17,15,
1993,CQF,Н,DAL,NHL,STL,NHL,4,0,0,16,10,
1972,DF,,WIJ,WHA,HOU,WHA,4,0,0,14,3,
1977,Предварительно,D,DET,NHL,ATF,NHL,2,0,0,8,5,
1999,CQF,C,TOR,NHL,OTT,NHL,4,2,0,17,10,
1984,ПКФ,O,EDM,NHL,PHI,NHL,4,1,0,21,14,
1924,SF,,VIC,WCHL,SAS,WCHL,1,0,1,6,4,ТГ
1938,SF,A,BOS,NHL,NYR,NHL,4,3,0,14,12,
2010,СФК,J,BOS,NHL,PHI,NHL,4,0,0,20,7,
1933,SF,A,DET,NHL,TOR,NHL,3,2,0,11,12,
1931,QF,C,MTM,NHL,DTF,NHL,1,0,1,3,1,ТГ
1976,QF,Н,NYI,NHL,BUF,NHL,4,0,0,16,10,
1930,QF,C,NYR,NHL,MTM,NHL,2,0,0,8,1,ТГ
1938,SF,D,TOR,NHL,DET,NHL,2,1,0,10,8,
1999,CQF,E,SJS,NHL,STL,NHL,4,3,0,20,22,
1997,CQF,Н,STL,NHL,LAK,NHL,4,0,0,16,8,
1983,DF,L,EDM,NHL,CAL,NHL,4,3,0,33,27,
1997,СФК,J,BUF,NHL,MTL,NHL,4,0,0,17,10,
1995,CQF,E,DET,NHL,WIN,NHL,4,2,0,20,10,
1985,DSF,A,HAR,NHL,QUE,NHL,3,0,0,16,7,
1996,СФК,L,DET,NHL,ANA,NHL,4,0,0,13,8,
2006,CQF,Н,SJS,NHL,NAS,NHL,4,1,0,16,14,
1997,CQF,D,WAS,NHL,BOS,NHL,4,2,0,15,13,
1973,SF,E,BOS,NHL,CHI,NHL,4,2,0,28,20,
1989,DF,L,EDM,NHL,LAK,NHL,4,0,0,24,10,
2007,CQF,D,NYR,NHL,NJD,NHL,4,1,0,19,12,
1993,CF,Н,VAN,NHL,TOR,NHL,4,1,0,16,9,
1973,DF,,HOU,WHA,MFS,WHA,4,2,0,26,17,
1957,ПКФ,C,MTL,NHL,BOS,NHL,4,2,0,16,14,
2010,CQF,C,BOS,NHL,MTL,NHL,4,3,0,17,17,
2003,CQF,C,PHI,NHL,NJD,NHL,4,1,0,14,9,
1993,CQF,E,SJS,NHL,DET,NHL,4,3,0,21,27,
1985,DF,J,NYR,NHL,WAS,NHL,4,2,0,20,25,
1946,ПКФ,C,TOR,NHL,MTL,NHL,4,2,0,13,13,
1932,SF,D,NYR,NHL,DET,NHL,2,0,0,6,3,ТГ
2007,CF,М,PIT,NHL,PHI,NHL,4,1,0,20,9,
1948,SF,B,TOR,NHL,BOS,NHL,4,1,0,16,10,
1997,CF,Н,DET,NHL,DAL,NHL,4,2,0,15,11,
2005,СФК,К,EDM,NHL,SJS,NHL,4,2,0,19,12,
1976,DF,,WIJ,WHA,HOU,WHA,4,2,0,24,23,
2006,ПКФ,O,AND,NHL,OTT,NHL,4,1,0,16,11,
1970,QF,C,CHI,NHL,PHI,NHL,4,0,0,20,8,
1981,DSF,Н,VAN,NHL,CAL,NHL,3,0,0,10,5,
1980,Предварительно,A,NYI,NHL,TOR,NHL,3,0,0,20,4,
2008,СФК,L,CHI,NHL,VAN,NHL,4,2,0,23,19,
1932,ПКФ,E,NYR,NHL,TOR,NHL,3,1,0,11,5,
1917,F,,VML,PCHA,SEA,PCHA,1,0,1,3,2,ТГ
1923,СКФ,,MTL,NHL,VAM,PCHA,2,0,0,5,3,
1947,SF,B,DET,NHL,NYR,NHL,4,2,0,17,12,
1982,CF,Н,EDM,NHL,CHI,NHL,4,0,0,25,11,
1954,SF,A,DET,NHL,TOR,NHL,4,0,0,14,6,
1949,SF,A,DET,NHL,TOR,NHL,4,3,0,10,11,
2002,СФК,J,NJD,NHL,TBL,NHL,4,1,0,14,8,
1922,ПКФ,,OTS,NHL,EDE,WCHL,2,0,0,3,1,
2001,CQF,G,SJS,NHL,PHO,NHL,4,1,0,13,7,
1928,SF,A,BOS,NHL,MTL,NHL,3,0,0,5,2,
1980,SF,М,NYI,NHL,NYR,NHL,4,0,0,22,8,
1992,DF,J,NYI,NHL,PIT,NHL,4,3,0,24,27,
2010,CQF,F,SJS,NHL,LAK,NHL,4,2,0,20,20,
2002,CF,М,NJD,NHL,OTT,NHL,4,3,0,17,13,
1997,СФК,I,WAS,NHL,OTT,NHL,4,1,0,18,7,
1931,QF,C,MTM,NHL,DTF,NHL,1,0,1,3,1,ТГ
2006,CQF,Н,SJS,NHL,NAS,NHL,4,1,0,16,14,
1999,СФК,К,DAL,NHL,SJS,NHL,4,1,0,15,7,
2008,CQF,B,WAS,NHL,NYR,NHL,4,3,0,19,11,
1973,QF,B,NYR,NHL,MTL,NHL,4,2,0,21,17,
1990,DF,К,MNS,NHL,STL,NHL,4,2,0,22,17,
1984,DSF,B,QUE,NHL,BUF,NHL,3,2,0,22,22,
1999,CQF,C,TOR,NHL,OTT,NHL,4,2,0,17,10,
1923,F,,VAM,PCHA,SEA,PCHA,1,0,1,4,3,ТГ
2000,CQF,D,BUF,NHL,PHI,NHL,4,2,0,21,13,
1980,ПКФ,O,NYI,NHL,MNS,NHL,4,1,0,26,16,
1995,CQF,B,PIT,NHL,WAS,NHL,4,2,0,21,17,
