playerid,year,ppa,sha
tantito01,1990,5.0,
brookbo01,1989,1.0,2.0
kennede01,1988,,2.0
stastpe01,1989,23.0,
huberwi01,1987,14.0,
hullbr01,1987,10.0,
poulida02,1989,1.0,1.0
tuckejo01,1990,1.0,
archida01,1989,4.0,
paslagr01,1990,3.0,1.0
manthmo01,1987,15.0,1.0
grahadi01,1987,7.0,1.0
macdepa01,1989,2.0,
bassebo01,1988,,1.0
carpebo01,1988,4.0,
hunteda01,1987,1.0,4.0
carsoli01,1987,1.0,1.0
nichobe01,1989,37.0,1.0
petitmi01,1987,9.0,1.0
makelmi01,1989,1.0,
libaig01,1988,6.0,
fentopa01,1990,2.0,
ysebapa01,1990,4.0,1.0
ciccadi01,1988,10.0,1.0
sheehne01,1987,1.0,
coxecr01,1987,1.0,
erickbr01,1987,6.0,
bennibr01,1989,5.0,
ferrara01,1990,5.0,
adamsgr01,1988,1.0,
donnemi01,1987,2.0,
ledyagr01,1988,6.0,
murphla01,1990,19.0,
ramagro01,1987,19.0,2.0
samueul01,1990,,2.0
hunteda01,1988,,1.0
pederma01,1990,7.0,
loisecl01,1990,1.0,1.0
gingrga01,1987,9.0,
sandsto01,1989,20.0,
cunnera01,1989,4.0,
josepch01,1987,6.0,
dineego01,1988,2.0,
archida01,1989,4.0,
lawlepa01,1987,3.0,
erickbr01,1987,6.0,
frasecu01,1987,2.0,
loisecl01,1990,1.0,1.0
adamsgr01,1988,1.0,
malondo01,1988,2.0,
wilsoca01,1990,4.0,
cunnera01,1989,4.0,
libaig01,1988,6.0,
grahadi01,1987,7.0,1.0
pavesji01,1987,1.0,
maroima01,1988,3.0,
cyrpa01,1987,1.0,
playfla01,1988,,1.0
maclebr01,1988,8.0,
larsore01,1988,14.0,
poulida02,1989,1.0,1.0
bennibr01,1989,5.0,
creigad01,1988,7.0,
foligmi01,1990,1.0,
carsoji01,1989,5.0,
ciccadi01,1988,10.0,1.0
joycebo01,1989,3.0,
vaiveri01,1988,15.0,
goulemi01,1989,15.0,1.0
sandsto01,1989,20.0,
bodgedo01,1988,25.0,1.0
maclebr01,1988,8.0,
archida01,1989,4.0,
deblolu01,1990,,1.0
franclo01,1990,1.0,1.0
malondo01,1988,2.0,
bullami01,1988,13.0,
dineego01,1988,2.0,
tuckejo01,1989,6.0,
mcintjo01,1990,,2.0
mcbeawa01,1988,1.0,
manthmo01,1987,15.0,1.0
murphla01,1988,22.0,
donnemi01,1987,2.0,
nichobe01,1989,37.0,1.0
