playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
gagnear01,,,Искусство,Ганье,,Артур Эдвард,,67.0,160.0,Р,12662,18932.0,gagnear01,1926.0,1931.0,,,Р,1897.0,10.0,11.0,Канада,ВО ВСТРЕЧЕ,Оттава,1988.0,10.0,6.0,,,
jonsske01,,,Кенни,Джонссон,,Кенни,,75.0,217.0,L,14904,2591.0,jonsske01,1994.0,2003.0,,,D,1974.0,10.0,6.0,Франция,,Анжелхолм,,,,,,
pronocl01,,,Клод,Проновост,,Клод,Костюм,69.0,190.0,L,18664,11143.0,pronocl01,1955.0,1958.0,,,G,1935.0,7.0,22.0,Канада,QC,Шавиниганские водопады,,,,,,
wilsoal01,,,Аллан,Уилсон,,Аллан,,,,,,,,,,,,,,,,,,,,,,,,
roachjo01,,,Джон Росс,Роуч,,Джон Росс,Маленький Наполеон,65.0,130.0,L,18678,4585.0,roachjo01,1921.0,1934.0,,,G,1900.0,6.0,23.0,Канада,ВО ВСТРЕЧЕ,Порт-Перри,1973.0,7.0,9.0,,,
glovefr01,glovefr01c,,Фред,Гловер,,Фредерик Остин,,69.0,170.0,Р,12733,1934.0,glovefr01,1948.0,1952.0,,,C,1928.0,1.0,5.0,Канада,ВО ВСТРЕЧЕ,Торонто,2001.0,8.0,16.0,,,
stumpjo01,,,Йозеф,Ступень,,Йозеф,,75.0,222.0,Р,11587,5233.0,stumpjo01,1991.0,2007.0,,,C,1972.0,7.0,20.0,Словакия,,Нитра,,,,,,
farkaje01,,,Джефф,Фаркас,,Джеффри Томас,,72.0,185.0,L,17800,24460.0,farkaje01,1999.0,2002.0,,,C,1978.0,1.0,24.0,США,Нью-Йорк,Вильямсвилль,,,,,,
atchebl01,,,Блэр,Атчейнум,,Блэр,,74.0,198.0,Р,10042,125.0,atchebl01,1992.0,2000.0,,,Р,1969.0,4.0,20.0,Канада,SK,Эстеван,,,,,,
krogja01,,,Джейсон,Крог,,Джейсон,,71.0,185.0,Р,19272,27657.0,krogja01,1999.0,2008.0,,,C,1975.0,10.0,9.0,Канада,БК,Ферни,,,,,,
odrowge01,,,Джерри,Одровски,,Джеральд Бернард,Снег/Крюк,70.0,185.0,L,13880,4062.0,odrowge01,1960.0,1971.0,1972.0,1975.0,D,1938.0,10.0,4.0,Канада,ВО ВСТРЕЧЕ,Троут Крик,,,,,,
macdoke01,,,Кевин,Макдональд,,Кевин Скотт,,72.0,200.0,L,10069,15329.0,macdoke01,1993.0,1993.0,,,D,1966.0,2.0,24.0,Канада,ВО ВСТРЕЧЕ,Прескотт,,,,,,
richate01,,,Терри,Ричардсон,,Терренс Пол,,73.0,190.0,Р,18672,4557.0,richate01,1973.0,1978.0,,,G,1953.0,5.0,7.0,Канада,БК,Новый Вестминстер,,,,,,
