year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
1943,NHL,BOS,15,8,2.0,,4,18,3.0,,,,,,0.0,0.0,1.0,,5.0,6.0,1.0,,5.0,2.0,2.0,,3,8,0.0,,3,6,0.0,,3.0,4.0,1.0,,,,,
2008,NHL,NAS,24,13,,4.0,16,21,,4.0,,,,,5.0,4.0,,1.0,6.0,6.0,,1.0,6.0,6.0,,1.0,4,8,,0.0,10,4,,1.0,7.0,3.0,,4.0,2.0,3.0,,0.0
1973,WHA,EDO,24,14,1.0,,14,23,2.0,,,,,,6.0,1.0,0.0,,9.0,5.0,0.0,,5.0,9.0,0.0,,5,8,0.0,,5,7,0.0,,7.0,6.0,3.0,,1.0,1.0,0.0,
1913,NHA,MOW,4,6,0.0,,3,7,0.0,,,,,,,,,,,,,,2.0,0.0,0.0,,0,9,0.0,,4,4,0.0,,1.0,0.0,0.0,,,,,
1984,NHL,LAK,20,14,6.0,,14,18,8.0,,,,,,2.0,6.0,3.0,,9.0,3.0,0.0,,4.0,5.0,5.0,,7,6,1.0,,6,4,2.0,,5.0,7.0,2.0,,1.0,1.0,1.0,
1985,NHL,DET,10,26,4.0,,7,31,2.0,,,,,,1.0,8.0,2.0,,5.0,5.0,2.0,,2.0,11.0,0.0,,3,11,1.0,,1,10,0.0,,4.0,9.0,1.0,,1.0,3.0,0.0,
1998,NHL,NYR,17,19,5.0,,16,19,6.0,,,,,,3.0,4.0,3.0,,3.0,5.0,4.0,,7.0,6.0,0.0,,6,7,0.0,,6,6,0.0,,6.0,5.0,3.0,,2.0,5.0,1.0,
1995,NHL,NYR,22,10,9.0,,19,17,5.0,,,,,,7.0,3.0,1.0,,7.0,5.0,2.0,,11.0,3.0,3.0,,5,0,4.0,,5,6,1.0,,4.0,4.0,3.0,,2.0,6.0,0.0,
2007,NHL,VAN,21,15,,5.0,18,18,,5.0,,,,,5.0,7.0,,0.0,9.0,2.0,,2.0,8.0,5.0,,2.0,4,7,,1.0,6,1,,5.0,7.0,8.0,,0.0,0.0,3.0,,0.0
1998,NHL,NAS,15,22,4.0,,13,25,3.0,,,,,,3.0,5.0,1.0,,6.0,7.0,0.0,,4.0,6.0,2.0,,5,9,1.0,,3,6,2.0,,5.0,8.0,1.0,,2.0,6.0,0.0,
1997,NHL,COL,21,10,10.0,,18,16,7.0,,,,,,7.0,2.0,5.0,,6.0,4.0,3.0,,8.0,2.0,4.0,,5,5,4.0,,5,1,0.0,,6.0,7.0,0.0,,2.0,5.0,1.0,
1993,NHL,DET,23,13,6.0,,23,17,2.0,,,,,,5.0,7.0,0.0,,6.0,3.0,2.0,,9.0,3.0,1.0,,8,3,2.0,,9,4,0.0,,7.0,7.0,1.0,,2.0,3.0,2.0,
1970,NHL,VAN,17,18,4.0,,7,28,4.0,,,,,,3.0,6.0,2.0,,6.0,7.0,1.0,,5.0,7.0,0.0,,1,10,2.0,,3,7,1.0,,5.0,8.0,2.0,,1.0,1.0,0.0,
1976,WHA,NEW,20,16,4.0,,15,24,2.0,,,,,,4.0,4.0,1.0,,4.0,8.0,2.0,,8.0,6.0,1.0,,4,10,1.0,,6,6,1.0,,8.0,5.0,0.0,,1.0,1.0,0.0,
1984,NHL,NYR,16,18,6.0,,10,26,4.0,,,,,,4.0,4.0,1.0,,4.0,7.0,1.0,,4.0,8.0,3.0,,5,6,3.0,,3,8,1.0,,5.0,9.0,1.0,,1.0,2.0,0.0,
1981,NHL,HAR,13,17,10.0,,8,24,8.0,,,,,,1.0,4.0,5.0,,3.0,7.0,3.0,,6.0,7.0,1.0,,4,6,3.0,,3,8,2.0,,4.0,8.0,3.0,,0.0,1.0,1.0,
1972,NHL,NYR,26,8,5.0,,21,15,3.0,,,,,,6.0,3.0,1.0,,9.0,4.0,1.0,,8.0,5.0,1.0,,11,1,1.0,,7,3,2.0,,6.0,7.0,1.0,,0.0,0.0,1.0,
1909,NHA,OT1,5,1,0.0,,4,2,0.0,,,,,,,,,,,,,,,,,,4,0,0.0,,5,1,0.0,,0.0,2.0,0.0,,,,,
1973,NHL,BOS,33,4,2.0,,19,13,7.0,,,,,,7.0,2.0,1.0,,9.0,2.0,1.0,,8.0,2.0,1.0,,9,2,3.0,,9,2,1.0,,9.0,5.0,2.0,,1.0,2.0,0.0,
1923,WCHL,CAT,13,2,0.0,,5,9,1.0,,,,,,,,,,,,,,6.0,1.0,0.0,,7,5,0.0,,5,5,0.0,,0.0,0.0,1.0,,,,,
1971,NHL,CLF,14,12,13.0,,7,27,5.0,,,,,,3.0,5.0,3.0,,5.0,9.0,0.0,,3.0,6.0,4.0,,6,5,3.0,,1,6,5.0,,3.0,7.0,3.0,,0.0,1.0,0.0,
1973,WHA,WIJ,26,11,2.0,,8,28,3.0,,,,,,4.0,5.0,1.0,,5.0,8.0,2.0,,8.0,5.0,1.0,,7,4,0.0,,5,8,1.0,,5.0,7.0,0.0,,0.0,2.0,0.0,
1988,NHL,MNS,17,15,8.0,,10,22,8.0,,,,,,2.0,8.0,1.0,,5.0,5.0,3.0,,5.0,6.0,3.0,,4,4,5.0,,4,6,2.0,,7.0,7.0,2.0,,0.0,1.0,0.0,
1927,NHL,OTS,13,4,5.0,,7,10,5.0,,,,,,,,,,3.0,4.0,0.0,,4.0,2.0,4.0,,5,4,1.0,,4,1,4.0,,4.0,3.0,1.0,,,,,
1911,NHA,MOC,4,5,0.0,,4,5,0.0,,,,,,,,,,,,,,,,,,5,4,0.0,,2,6,0.0,,1.0,0.0,0.0,,,,,
1976,NHL,ATF,22,11,7.0,,12,23,5.0,,,,,,5.0,6.0,2.0,,6.0,2.0,4.0,,7.0,5.0,1.0,,5,4,4.0,,3,9,0.0,,7.0,8.0,0.0,,1.0,0.0,1.0,
1945,NHL,MTL,16,6,3.0,,12,11,2.0,,,,,,1.0,0.0,0.0,,7.0,4.0,0.0,,5.0,3.0,3.0,,4,5,0.0,,7,3,0.0,,4.0,2.0,2.0,,,,,
1954,NHL,NYR,10,12,13.0,,7,23,5.0,,,,,,5.0,4.0,1.0,,3.0,6.0,3.0,,1.0,8.0,6.0,,4,7,3.0,,1,6,4.0,,3.0,4.0,1.0,,,,,
1915,NHA,MOW,5,6,0.0,,5,8,0.0,,,,,,,,,,,,,,4.0,0.0,0.0,,3,5,0.0,,3,4,0.0,,0.0,5.0,0.0,,,,,
2006,NHL,CAR,21,16,,4.0,19,18,,4.0,,,,,5.0,5.0,,2.0,9.0,5.0,,1.0,7.0,6.0,,1.0,5,5,,2.0,6,6,,1.0,6.0,5.0,,1.0,2.0,2.0,,0.0
1988,NHL,CHI,16,14,10.0,,11,27,2.0,,,,,,3.0,9.0,1.0,,3.0,7.0,3.0,,4.0,8.0,0.0,,6,5,3.0,,6,3,3.0,,4.0,8.0,2.0,,1.0,1.0,0.0,
1985,NHL,EDM,32,6,2.0,,24,11,5.0,,,,,,8.0,1.0,0.0,,8.0,3.0,3.0,,10.0,3.0,1.0,,10,4,1.0,,7,3,1.0,,11.0,2.0,1.0,,2.0,1.0,0.0,
2009,NHL,OTT,26,11,,4.0,18,21,,2.0,,,,,6.0,4.0,,2.0,7.0,3.0,,2.0,8.0,9.0,,0.0,10,5,,0.0,5,2,,0.0,6.0,7.0,,1.0,2.0,2.0,,1.0
2002,NHL,MIN,25,13,3.0,0.0,17,16,7.0,1.0,,,,,8.0,1.0,2.0,0.0,5.0,6.0,3.0,0.0,7.0,4.0,2.0,1.0,5,7,1.0,0.0,7,4,0.0,0.0,9.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0
1954,NHL,BOS,16,10,9.0,,7,16,12.0,,,,,,1.0,4.0,3.0,,5.0,5.0,2.0,,4.0,6.0,2.0,,7,4,5.0,,3,2,8.0,,3.0,5.0,1.0,,,,,
1989,NHL,DET,20,14,6.0,,8,24,8.0,,,,,,4.0,6.0,2.0,,2.0,10.0,1.0,,6.0,5.0,3.0,,6,6,0.0,,5,5,4.0,,5.0,6.0,3.0,,0.0,0.0,1.0,
2001,NHL,MTL,21,13,6.0,1.0,15,18,6.0,2.0,,,,,5.0,5.0,1.0,0.0,7.0,3.0,2.0,1.0,4.0,8.0,2.0,1.0,6,5,3.0,1.0,3,3,0.0,0.0,6.0,5.0,4.0,0.0,5.0,2.0,0.0,0.0
1973,NHL,PHI,28,6,5.0,,22,10,7.0,,,,,,6.0,3.0,0.0,,7.0,3.0,2.0,,8.0,2.0,2.0,,9,3,2.0,,5,3,4.0,,12.0,1.0,2.0,,3.0,1.0,0.0,
2005,NHL,DET,27,9,,5.0,31,7,,3.0,,,,,11.0,1.0,,0.0,7.0,5.0,,2.0,8.0,3.0,,1.0,8,4,,2.0,5,1,,0.0,11.0,1.0,,3.0,8.0,1.0,,0.0
