type,code,fullname
Отдел,АД,Отдел Адамса
Круглая,F,Финал
Воспроизведение,WF,Потерянные финалы WCHL
Воспроизведение,DF,Проигранные финалы по разделу NHL
Круглая,SF,Полуфинал
Круглая,СФК,Полуфинал Конференции
Отдел,WW,WHA West Division
Отдел,Нет,Северо-восточный отдел
Воспроизведение,ND,Финал Кубка Стэнли прекратился (эпидемия гриппа)
Воспроизведение,QF,Потерянный четвертьфинал NHL
Круглая,ПКФ,Финал Кубка Стэнли
Воспроизведение,AVC,Выиграл Кубок АВКО
Отдел,Нет,Отдел Норриса
Воспроизведение,AVQF,Проиграл четвертьфинала Кубка АВКО
Круглая,CQF,Квартира-финансы конференций
Зал,ЕС,Восточная конференция
Воспроизведение,WSF,Потерянные полуфиналы WCHL
Круглая,СКФ,Кубок Стэнли Полуфинал
Воспроизведение,НФЧМ,Проигранные финалы NHL
Воспроизведение,CQF,"Пропавшая конференция NHL, четверть финала"
Отдел,PT,Отдел Патрика
Воспроизведение,ПК,Выиграл Кубок Стэнли
Отдел,SM,Отдел Смайта
Отдел,АТ,Атлантический отдел
Круглая,РГ,Западный плейофф
Воспроизведение,SF,Потерянные полуфиналы NHL
Круглая,DSF,Полуфинал
Отдел,WD,Западный отдел
Отдел,АМ,Американский отдел
Воспроизведение,F,Проиграл финал Кубка Стэнли
Воспроизведение,ПФ,Потерянные финалы PCHA
Зал,ВК,Западная конференция
Воспроизведение,СКФ,Проиграл полуфинал Кубка Стэнли
Воспроизведение,PRE,Проиграл предварительный раунд НХЛ
Воспроизведение,АВПРА,Проиграл предварительный раунд Кубка АВКО
Круглая,РВК,Финал Кубка Авто
Зал,КК,Конференция &quot; Кэмпбелл &quot;
Отдел,ЭВ,Восточная дивизия WHA
Круглая,QF,Четверо-финал
Отдел,ХО,Отдел по делам женщин Канады
Отдел,НО,Северо-западный отдел
Отдел,ПК,Тихоокеанский отдел
Воспроизведение,ВТС,Серия &lt; &lt; Вон вызов &gt; &gt;
Воспроизведение,CF,Проигранные итоговые документы конференции NHL
Воспроизведение,AVSF,Проиграл полуфинал Кубка АВКО
Воспроизведение,ЛСС,Вон Кубок Стэнли / Lost Challenge Series
Круглая,DF,Окончательные результаты по разделу
Воспроизведение,НКАФ,Проигранные финалы NHA
Круглая,CF,Заключительные документы Конференции
Отдел,СЕ,Центральный отдел
Отдел,КА,Канадский отдел
Воспроизведение,СФК,Пропавшие полуфиналы конференции NHL
Воспроизведение,АВФ,Проиграл финал Кубка AVCO
Зал,WA,Конференция в Уэльсе
Отдел,SE,Юго-восточный отдел
Отдел,Ред.,Восточный отдел
Воспроизведение,DSF,Потерянные полуфиналы подкласса NHL
Круглая,Предварительно,Предварительные данные
