playerid,year,stint,tmid,w,l,sa,ga
fleurma01,2009,1,PIT,6,2,23,6
thomati01,2010,1,BOS,1,5,19,9
auldal01,2009,1,DAL,2,2,15,2
auldal01,2005,1,VAN,4,3,22,7
thomati01,2008,1,BOS,4,4,28,9
hardijo01,2009,1,MIN,2,0,10,1
kiprumi01,2008,1,CAL,3,2,14,3
bryzgil01,2010,1,PHO,4,5,32,11
hillejo01,2008,1,AND,5,1,31,5
vokouto01,2010,1,FLO,2,1,13,2
bouchbr01,2006,1,CHI,0,2,4,4
toivoha01,2005,1,BOS,0,1,3,2
rolosdw01,2005,1,MIN,0,1,8,2
schneco01,2008,1,VAN,0,1,3,3
andercr01,2010,2,OTT,2,1,12,1
dunhami01,2006,1,NYI,1,1,8,3
leclapa01,2009,1,OTT,3,1,10,5
andercr01,2008,1,FLO,0,4,11,7
wardca01,2009,1,CAR,1,3,13,7
macdojo01,2011,1,DET,1,1,9,3
halakja01,2010,1,STL,3,4,29,10
khabini01,2006,1,CHI,4,4,33,11
khabini01,2011,1,EDM,0,5,20,12
garonma01,2007,1,EDM,10,0,32,2
aebisda01,2005,1,COL,2,1,10,2
bernijo01,2010,1,LAK,0,2,5,3
raycran01,2009,1,VAN,2,1,12,6
bironma01,2006,2,PHI,0,1,3,2
weekeke01,2008,1,NJD,2,0,6,2
kiprumi01,2005,1,CAL,1,7,23,12
aubinje01,2006,1,TOR,1,1,11,3
crawfco01,2011,1,CHI,6,4,32,6
climima01,2008,1,DAL,1,0,3,2
niemian02,2011,1,SJS,8,4,40,9
smithmi02,2011,1,PHO,6,8,46,15
osgooch01,2009,1,DET,1,2,8,4
masonch02,2009,1,STL,5,3,28,8
lehtoka01,2007,1,ATL,4,3,18,5
smithmi02,2009,1,TBL,1,3,14,5
reimeja01,2011,1,TOR,2,1,8,3
sabouda01,2008,1,PIT,3,2,19,5
sabouda01,2006,1,VAN,0,1,4,2
lehtoka01,2006,1,ATL,7,4,30,10
valiqst01,2008,1,NYR,1,2,12,3
dipieri01,2006,1,NYI,5,4,44,9
dubiewa01,2007,1,NYI,2,1,13,4
lenevda01,2005,1,PHO,0,1,3,1
holmqjo01,2006,1,TBL,6,1,33,4
johnsbr02,2005,1,WAS,3,1,13,2
wardca01,2007,1,CAR,1,3,11,6
neuvimi01,2010,1,WAS,3,3,21,6
kiprumi01,2011,1,CAL,3,8,40,15
millery01,2011,1,BUF,5,4,34,11
gigueje01,2005,1,ANA,3,7,31,12
belfoed01,2006,1,FLO,1,5,25,9
ellisda01,2009,1,NAS,2,1,10,2
smithmi02,2008,1,TBL,2,7,27,15
mcelhcu01,2009,1,CAL,1,0,4,2
toskave01,2007,1,TOR,2,3,15,6
niittan01,2006,1,PHI,1,4,23,6
dunhami01,2005,1,ATL,0,2,4,3
legacma01,2009,1,CAR,2,2,16,4
garonma01,2010,1,CBS,1,3,12,4
brustba01,2006,1,LAK,1,1,5,1
bryzgil01,2008,1,PHO,2,3,20,10
schneco01,2011,1,VAN,2,1,8,3
masonch02,2011,1,WPG,1,1,8,3
greisth01,2011,1,SJS,1,1,7,2
raycran01,2005,1,BOS,0,1,2,1
gigueje01,2008,1,AND,2,2,12,4
priceca01,2011,1,MTL,5,8,40,14
kiprumi01,2006,1,CAL,3,4,16,7
danisya01,2009,1,NJD,0,1,3,3
ersbeer01,2009,1,LAK,1,2,16,7
johnsbr02,2010,1,PIT,2,1,11,1
gerbema01,2010,1,EDM,1,0,4,1
kiprumi01,2008,1,CAL,3,2,14,3
khabini01,2008,1,CHI,2,5,19,9
holtbbr01,2010,1,WAS,1,1,7,3
masonst01,2011,1,CBS,2,2,10,4
auldal01,2008,1,OTT,2,4,25,9
norrefr01,2007,1,CBS,0,4,10,4
huetcr01,2007,2,WAS,2,0,5,0
grahajo01,2007,1,CAR,1,0,3,2
kolziol01,2005,1,WAS,4,5,44,15
conklty01,2005,1,EDM,0,1,2,2
bouchbr01,2005,1,PHO,1,0,3,0
emeryra01,2011,1,CHI,1,3,13,5
drouije01,2009,1,EDM,4,3,37,11
luongro01,2007,1,VAN,6,8,54,15
josepcu01,2008,1,TOR,2,1,11,3
sanfocu01,2006,1,STL,0,2,6,5
noronmi01,2005,1,BUF,0,0,1,1
niemian02,2009,1,CHI,6,2,32,6
legacma01,2006,1,STL,5,3,25,7
bobrose01,2010,1,PHI,1,4,17,9
ellisda01,2008,1,NAS,1,3,11,6
dipieri01,2010,1,NYI,2,1,9,3
budajpe01,2011,1,MTL,0,4,15,7
lundqhe01,2010,1,NYR,7,3,46,7
auldal01,2010,1,MTL,0,1,4,1
lundqhe01,2009,1,NYR,3,3,22,7
raycran01,2010,1,DAL,2,0,6,1
millery01,2010,1,BUF,2,1,8,4
theodjo01,2008,1,WAS,4,4,22,6
hedbejo01,2009,1,ATL,4,2,21,5
aebisda01,2005,1,COL,2,1,10,2
caronse01,2005,1,PIT,0,3,10,6
dubiewa01,2006,1,NYI,2,0,6,1
toivoha01,2005,1,BOS,0,1,3,2
grahajo01,2007,1,CAR,1,0,3,2
hillejo01,2008,1,AND,5,1,31,5
johnsbr02,2011,1,PIT,0,1,3,2
gigueje01,2008,1,AND,2,2,12,4
gigueje01,2006,1,AND,4,6,39,13
auldal01,2011,1,OTT,0,1,4,3
hardijo01,2006,1,MIN,0,1,3,1
andercr01,2008,1,FLO,0,4,11,7
pavelon01,2009,1,ATL,0,4,11,6
lenevda01,2005,1,PHO,0,1,3,1
sabouda01,2007,1,PIT,4,1,26,6
andercr01,2009,1,COL,7,4,51,16
bouchbr01,2006,1,CHI,0,2,4,4
masonst01,2011,1,CBS,2,2,10,4
andercr01,2006,1,FLO,1,0,2,0
mclenja01,2005,1,FLO,0,1,4,2
huetcr01,2007,2,WAS,2,0,5,0
khabini01,2005,1,CHI,2,1,15,5
masonst01,2009,1,CBS,0,7,28,12
sabouda01,2008,1,PIT,3,2,19,5
masonch02,2010,1,ATL,2,2,17,4
halakja01,2007,1,MTL,0,1,3,1
peterju01,2010,1,CAR,0,1,2,2
backsni01,2011,1,MIN,5,6,32,15
brodema01,2007,1,NJD,8,4,43,11
vokouto01,2006,1,NAS,2,3,17,7
reimeja01,2011,1,TOR,2,1,8,3
andercr01,2005,1,CHI,0,3,7,5
bironma01,2007,1,PHI,2,6,20,13
valiqst01,2007,1,NYR,2,2,11,3
ramoka01,2008,1,TBL,1,3,13,5
gustajo01,2010,1,TOR,2,1,10,4
hedbejo01,2010,1,NJD,2,1,11,3
raycran01,2009,1,VAN,2,1,12,6
clemmsc01,2008,1,NJD,2,1,12,3
khabini01,2009,1,EDM,2,2,12,4
ellisda01,2008,1,NAS,1,3,11,6
bironma01,2008,1,PHI,2,3,17,5
masonch02,2006,1,NAS,4,2,20,6
kolziol01,2006,1,WAS,1,5,17,9
theodjo01,2007,1,COL,6,1,28,6
lalimpa01,2006,1,CHI,2,1,8,4
halakja01,2008,1,MTL,2,1,7,2
khabini01,2010,1,EDM,1,3,18,4
shielst01,2005,1,ATL,0,1,2,1
bironma01,2010,1,NYR,2,0,7,2
montoal01,2011,1,NYI,2,2,13,5
gustajo01,2011,1,TOR,1,3,11,4
neuvimi01,2010,1,WAS,3,3,21,6
