season,daynum,wteam,wscore,lteam,lscore,wloc,numot
2010,50,1153,74,1457,57,H,0
2011,64,1341,68,1108,66,A,1
1996,91,1267,95,1202,71,A,0
2001,23,1181,95,1400,69,N,0
1994,75,1280,67,1208,60,H,0
2010,26,1427,79,1411,57,H,0
2010,43,1388,101,1340,80,H,0
2007,84,1440,102,1421,97,A,0
2001,74,1186,81,1340,72,H,0
1986,103,1461,67,1307,65,A,0
2000,26,1382,64,1161,54,N,0
1996,97,1153,79,1378,60,H,0
1988,61,1140,109,1148,76,H,0
1985,121,1207,85,1385,69,N,0
2011,90,1373,61,1310,59,H,0
2014,61,1286,68,1319,66,H,0
1993,98,1354,87,1175,59,H,0
2005,132,1368,49,1322,42,A,0
1995,124,1110,75,1187,67,N,0
2007,29,1184,70,1241,66,A,0
1991,70,1296,69,1442,68,A,0
2005,49,1422,84,1456,62,H,0
2012,89,1381,62,1377,60,H,0
2014,29,1210,67,1228,64,H,0
1990,86,1285,102,1226,76,H,0
1993,108,1453,76,1460,66,A,0
2002,89,1137,69,1250,50,H,0
2007,15,1350,71,1187,67,H,1
2012,63,1252,77,1239,71,A,0
2012,53,1458,79,1290,45,H,0
1999,104,1159,84,1250,69,A,0
1989,103,1456,88,1172,69,A,0
2007,40,1122,59,1184,57,A,0
1994,75,1450,89,1425,59,H,0
1997,96,1363,76,1361,72,H,0
2002,125,1110,66,1248,58,N,0
1985,120,1119,61,1310,59,H,0
1999,80,1358,76,1270,70,A,0
2008,110,1201,76,1142,70,H,0
1988,68,1352,72,1384,66,A,0
1985,96,1351,84,1250,53,H,0
1995,118,1140,79,1102,72,H,0
1986,110,1151,74,1440,64,H,0
2008,125,1353,64,1371,61,A,0
2004,124,1190,78,1151,62,H,0
2003,117,1423,80,1433,63,H,0
2003,90,1268,85,1259,58,H,0
2005,72,1276,71,1321,61,H,0
2005,50,1371,58,1180,54,H,0
1990,115,1270,75,1426,51,H,0
2014,80,1369,82,1188,78,H,0
2001,110,1463,66,1217,58,H,0
1999,122,1371,70,1452,67,A,0
2013,28,1313,78,1354,72,A,0
1992,110,1334,77,1201,70,H,0
2012,95,1343,77,1135,63,A,0
1993,96,1318,88,1131,81,A,0
1991,89,1320,73,1442,59,A,0
1991,101,1337,87,1339,74,A,0
2008,61,1385,70,1153,58,H,0
2014,70,1164,75,1354,69,H,0
2008,110,1439,92,1210,84,H,0
1991,109,1258,105,1339,84,H,0
1993,100,1345,75,1278,69,H,0
2001,33,1193,71,1103,53,N,0
1995,60,1268,98,1110,77,H,0
2002,107,1261,68,1280,65,H,1
1989,110,1212,75,1341,68,A,0
1999,91,1151,70,1202,60,H,0
2004,40,1168,77,1186,70,H,0
1994,122,1359,78,1209,57,N,0
1987,34,1434,77,1444,76,H,0
1986,115,1249,82,1117,77,H,0
2003,89,1142,74,1414,68,A,0
2004,79,1235,84,1234,76,H,0
1992,117,1144,68,1157,56,H,0
1998,105,1421,75,1251,59,H,0
2004,118,1264,92,1265,67,H,0
1997,35,1376,64,1459,41,H,0
2005,50,1266,81,1304,62,H,0
2014,15,1458,103,1315,85,H,0
2010,57,1433,82,1187,74,H,0
1990,114,1116,114,1401,100,H,0
2013,86,1231,97,1345,60,A,0
1991,89,1418,109,1416,88,H,0
1998,113,1343,71,1335,52,H,0
2009,30,1342,56,1157,53,A,1
2007,105,1115,78,1108,56,H,0
1988,100,1298,63,1456,61,A,0
1987,110,1449,70,1390,65,H,0
2001,94,1186,82,1286,74,H,0
2008,59,1226,76,1294,65,A,0
2009,67,1233,69,1145,58,H,0
2005,96,1326,72,1276,46,H,0
2000,68,1427,70,1372,52,A,0
1999,75,1137,72,1221,51,A,0
2012,101,1310,58,1373,54,H,0
1998,101,1178,94,1260,65,H,0
2006,30,1393,87,1264,82,H,1
2003,120,1130,92,1437,84,H,0
1985,39,1228,72,1162,48,H,0
2001,119,1329,66,1403,58,A,0
2000,42,1120,63,1164,35,H,0
2004,57,1397,80,1421,67,H,0
1991,43,1216,74,1171,56,H,0
2003,110,1271,91,1299,79,A,0
2013,8,1306,72,1171,58,A,0
2002,120,1372,73,1427,62,H,0
2003,81,1111,85,1440,68,A,0
2001,54,1344,110,1135,59,H,0
2000,70,1434,89,1125,86,H,1
2013,47,1112,73,1190,53,N,0
1989,66,1417,97,1332,66,A,0
1999,115,1112,89,1333,72,H,0
1992,53,1231,86,1403,69,N,0
2011,26,1198,80,1151,59,H,0
2003,35,1386,77,1174,59,H,0
1996,82,1268,77,1301,74,H,0
2000,130,1376,75,1397,68,N,0
2012,115,1430,75,1223,56,H,0
1991,100,1155,73,1268,69,H,0
2004,47,1207,89,1224,58,H,0
2009,63,1318,73,1220,50,H,0
2003,94,1254,98,1384,94,A,0
1994,72,1124,83,1403,82,H,0
2013,92,1274,72,1130,50,H,0
2003,114,1400,82,1124,64,H,0
1988,49,1199,93,1215,79,H,0
2006,50,1170,80,1142,59,H,0
2009,39,1455,76,1205,64,H,0
1991,110,1348,89,1263,72,H,0
1987,110,1309,71,1410,66,H,0
1987,71,1106,93,1354,87,H,0
2008,111,1390,79,1143,69,H,0
1989,77,1336,82,1182,73,A,0
1986,108,1113,75,1425,67,H,0
2012,26,1283,69,1409,64,H,1
2009,55,1392,68,1389,52,A,0
1995,94,1158,83,1209,77,A,0
1985,125,1400,71,1425,70,H,0
