season,seed,team
1987,Y10,1261
1985,W11,1455
1991,X11,1208
1988,W15,1131
2012,Y05,1455
1989,Z01,1328
2003,W02,1448
1995,Z01,1246
1986,Y13,1193
1999,Y15,1434
2008,Y05,1277
1995,Y12,1275
1989,W02,1181
2002,X05,1196
2007,Y15,1394
1998,X07,1396
2012,Z14a,1140
1985,Z13,1298
2006,Y06,1328
2010,Z16,1436
1988,Y11,1116
1999,Y05,1417
2000,Z09,1201
1990,Z09,1344
1988,X06,1242
2008,X06,1425
2002,Y05,1231
2000,W13,1335
2012,W09,1379
1999,Y12,1178
1986,X03,1323
1998,Z01,1181
1985,W07,1393
2011,Y04,1458
1988,Z12,1199
1991,Z01,1424
1996,Z11,1203
1990,Y01,1277
1997,W12,1343
1996,X02,1448
1990,Z10,1161
2007,Z14,1460
1999,Y04,1326
2000,Y06,1417
2006,X01,1272
2009,Z08,1140
1993,Y05,1448
2004,Z02,1211
1988,Z11,1385
2010,Y06,1397
1986,Z04,1424
2004,W11,1102
2006,Z13,1102
2009,X13,1103
2011,Z15,1103
2013,X12,1103
2003,Y10,1104
2004,X08,1104
2005,X05,1104
2006,X10,1104
2012,X09,1104
2005,Z16a,1105
2004,W16,1106
2009,Y16a,1106
2011,W16a,1106
2006,Z16,1107
2007,X13,1107
2013,Y15,1107
2014,X16a,1107
2008,W15,1110
2009,W14,1110
2014,Z15,1110
2003,Z01,1112
2004,W09,1112
2005,X03,1112
2006,Y08,1112
2007,Y08,1112
2008,Z10,1112
2009,Y12,1112
2011,X05,1112
2013,Z06,1112
2014,Z01,1112
2003,Z10,1113
2009,X06,1113
2014,Y10,1113
2011,Y16a,1114
2010,X16a,1115
2006,X08,1116
2007,W12,1116
2008,W09,1116
2003,W10,1120
2003,W13,1122
2008,Y15,1122
2008,Z11,1124
2010,X03,1124
2012,Y03,1124
2014,Z06,1124
2006,X15,1125
2007,W15,1125
2008,Z15,1125
2011,Y13,1125
2012,X14,1125
2013,Z11,1125
2009,W15,1127
2008,W14,1129
2013,Z13a,1129
2004,Z06,1130
2005,X04,1130
2006,Y04,1130
2007,W07,1130
2009,Y07,1130
2011,Z16,1131
2006,X13,1133
2005,Z14,1137
2006,X09,1137
2011,X14,1137
2013,W11,1137
2003,W12,1139
2007,Y05,1139
2008,W07,1139
2009,X09,1139
2010,Z05,1139
2011,Y08,1139
2013,W06,1139
2003,X12,1140
2004,X12,1140
2007,X08,1140
2008,Z08,1140
2010,Z07,1140
2011,Y03,1140
2014,Z10,1140
2003,Z11,1141
2014,Y16a,1142
2003,W08,1143
2006,W07,1143
2009,Z07,1143
2010,X08,1143
2012,X12a,1143
2013,W12,1143
1999,W07,1400
1994,Z04,1393
1996,Z06,1234
2012,W13,1285
1998,W15,1192
1996,Y06,1231
1998,Z11,1274
1988,Y03,1228
1989,W16,1343
2004,Y13,1433
2008,Y07,1274
1993,X06,1143
1994,W16,1251
2009,W07,1400
2007,W16,1184
2000,W14,1220
1998,W07,1231
1988,Y06,1437
1998,Z16,1347
2007,Z04,1356
1994,Y14,1337
2010,W13,1459
1987,Z01,1424
2002,Z09,1279
1988,X07,1435
2004,W14,1343
2005,Y16,1175
1992,Y10,1222
1989,Z16,1190
1999,W06,1396
2003,Z09,1211
2003,W14,1264
2005,W06,1403
1998,X15,1319
2012,Z14b,1233
1994,Z03,1257
2006,W02,1400
2001,Z06,1400
2001,X03,1268
2011,Z07,1401
2008,Y11,1246
1997,Y16,1402
1989,X05,1272
2003,Z16,1436
2008,Y13,1331
2007,Y10,1210
1993,W11,1264
2002,W14,1293
1991,Y02,1181
1995,Y14,1453
2009,Z14,1165
1993,Z08,1235
1996,Y02,1153
