season,slot,strongseed,weakseed
1989,R1X4,X04,X13
1990,R1Z6,Z06,Z11
2005,R1W3,W03,W14
1999,R1X7,X07,X10
2004,R1Z8,Z08,Z09
2012,R5WX,R4W1,R4X1
2013,R2X3,R1X3,R1X6
1999,R2Z1,R1Z1,R1Z8
1986,R1Y7,Y07,Y10
2013,R1Z2,Z02,Z15
1996,R1X8,X08,X09
1997,R1Z7,Z07,Z10
1999,R1Y4,Y04,Y13
1998,R1W7,W07,W10
1992,R1X5,X05,X12
2005,R1X6,X06,X11
1998,R2W3,R1W3,R1W6
1985,R1Z3,Z03,Z14
2005,R1W2,W02,W15
2004,R2Y3,R1Y3,R1Y6
1986,R1X8,X08,X09
1991,R1W2,W02,W15
2010,R1Z4,Z04,Z13
2004,R1Z1,Z01,Z16
2003,R3X2,R2X2,R2X3
1992,R2X3,R1X3,R1X6
1997,R2X2,R1X2,R1X7
1996,R2X2,R1X2,R1X7
1986,R1Z5,Z05,Z12
1991,R2Z3,R1Z3,R1Z6
2010,R3Z2,R2Z2,R2Z3
2004,R1W3,W03,W14
1985,R1W3,W03,W14
1991,R2Z4,R1Z4,R1Z5
1997,R4Z1,R3Z1,R3Z2
2012,R1Z3,Z03,Z14
1994,R3Y2,R2Y2,R2Y3
2010,R1Y6,Y06,Y11
1993,R5YZ,R4Y1,R4Z1
2002,R5YZ,R4Y1,R4Z1
2005,R1Y8,Y08,Y09
1987,R1Z1,Z01,Z16
2005,R3Z1,R2Z1,R2Z4
2002,R2Y2,R1Y2,R1Y7
1987,R1Y8,Y08,Y09
1995,R1W4,W04,W13
2007,R2W2,R1W2,R1W7
2003,R3X1,R2X1,R2X4
2007,R1Y1,Y01,Y16
2003,R2Z4,R1Z4,R1Z5
1998,R2X2,R1X2,R1X7
2007,R1Y5,Y05,Y12
2013,R2Y4,R1Y4,R1Y5
1991,R2W1,R1W1,R1W8
1995,R2X3,R1X3,R1X6
1992,R6CH,R5WX,R5YZ
1985,R5YZ,R4Y1,R4Z1
2001,R4X1,R3X1,R3X2
1995,R1Y5,Y05,Y12
1994,R3Z1,R2Z1,R2Z4
2010,R1Z8,Z08,Z09
1999,R4Y1,R3Y1,R3Y2
2014,R2Z3,R1Z3,R1Z6
2011,R3W1,R2W1,R2W4
2004,R1X7,X07,X10
2001,R6CH,R5WX,R5YZ
2010,R2W3,R1W3,R1W6
1991,R1W1,W01,W16
2009,R1X4,X04,X13
1999,R2Y3,R1Y3,R1Y6
2014,R1Y5,Y05,Y12
2000,R2X3,R1X3,R1X6
1989,R1W5,W05,W12
1993,R1Z2,Z02,Z15
1988,R1Y7,Y07,Y10
1986,R2X3,R1X3,R1X6
2012,R4Z1,R3Z1,R3Z2
2003,R1X5,X05,X12
2011,R1Y1,Y01,Y16
