raceid,driverid,stop,lap,time,duration,milliseconds
843,10,3,39,16:14:17,33.827,33827
859,153,1,21,14:31:26,22.773,22773
860,811,3,47,18:22:20,30.888,30888
967,20,1,10,14:29:08,29.981,29981
898,5,1,17,13:36:46,25.323,25323
963,3,2,31,15:58:19,24.661,24661
851,5,3,43,15:12:56,20.990,20990
851,20,2,28,14:48:22,20.611,20611
970,8,3,6,14:18:03,17.435,17435
906,821,1,1,14:05:32,24.370,24370
945,3,1,10,17:21:26,21.637,21637
939,831,2,34,21:12:23,29.917,29917
913,1,2,26,20:53:42,31.040,31040
953,825,2,21,14:40:27,38.811,38811
952,154,3,37,15:02:52,34.832,34832
844,808,4,45,16:14:37,21.662,21662
945,4,2,8,17:19:12,16.128,16128
927,833,2,22,15:46:29,27.004,27004
856,155,3,42,16:21:02,21.472,21472
896,821,1,16,15:28:39,18.423,18423
945,826,2,25,17:49:27,21.634,21634
918,154,1,1,17:05:39,16.120,16120
978,839,1,20,13:40:15,29.194,29194
970,8,4,39,15:14:04,23.119,23119
857,22,1,1,15:05:36,33.650,33650
860,10,2,36,18:02:46,25.046,25046
896,8,1,7,15:14:33,26.989,26989
884,818,3,34,14:56:06,25.362,25362
968,825,1,1,17:05:37,27.068,27068
936,833,2,30,14:53:11,23.125,23125
963,836,1,9,15:20:59,25.820,25820
914,826,3,23,16:12:08,24.222,24222
879,39,1,13,14:22:30,27.113,27113
955,828,2,25,17:51:13,20.559,20559
862,37,2,31,15:59:35,23.488,23488
871,37,1,1,14:06:31,29.107,29107
862,13,1,18,15:35:14,20.250,20250
870,815,1,21,14:37:57,20.320,20320
904,821,3,52,15:25:31,23.025,23025
863,155,2,31,15:56:31,25.590,25590
845,816,3,49,15:21:44,21.708,21708
897,17,2,33,18:03:15,21.911,21911
927,831,4,43,16:23:49,25.204,25204
864,818,2,23,14:38:58,22.645,22645
950,807,2,17,14:36:22,23.867,23867
959,832,3,51,15:13:57,19.547,19547
860,814,2,33,17:55:58,24.579,24579
961,822,1,13,14:22:38,24.161,24161
944,20,3,47,15:03:48,23.861,23861
917,807,1,16,14:24:01,23.554,23554
872,819,1,18,14:31:32,24.039,24039
861,155,1,5,16:14:39,28.122,28122
936,13,4,45,15:17:10,16.818,16818
882,17,1,1,15:05:52,21.287,21287
859,811,2,18,14:27:37,14.029,14029
852,811,2,8,14:20:14,13.968,13968
959,20,1,13,14:20:57,19.230,19230
871,807,1,13,14:33:14,22.152,22152
902,807,1,15,18:29:59,24.757,24757
890,3,3,48,15:15:07,21.854,21854
945,831,2,26,17:51:35,22.806,22806
870,814,1,16,14:30:26,20.460,20460
942,18,2,27,14:57:21,24.689,24689
936,154,5,45,15:17:11,17.114,17114
894,813,2,23,15:45:35,23.642,23642
909,3,1,15,14:24:57,20.055,20055
863,811,3,38,16:08:29,22.796,22796
859,22,2,34,14:48:56,22.590,22590
887,817,2,32,14:01:28,26.229,26229
967,830,1,13,14:33:11,24.186,24186
968,831,1,7,17:16:34,23.272,23272
944,828,2,32,14:45:52,29.148,29148
863,807,2,19,15:36:18,22.446,22446
955,807,1,20,17:41:18,20.347,20347
882,824,3,32,16:00:54,20.625,20625
893,820,2,24,20:51:40,31.173,31173
870,5,3,56,15:30:55,20.567,20567
929,807,1,10,18:20:48,26.652,26652
872,813,1,13,14:23:38,22.970,22970
944,817,2,28,14:40:10,23.979,23979
906,807,1,41,15:03:27,23.902,23902
939,822,2,37,21:18:06,29.239,29239
856,24,1,1,15:05:51,26.379,26379
857,1,3,45,16:12:44,22.172,22172
913,826,3,43,21:32:14,31.092,31092
952,828,1,9,14:19:07,22.840,22840
871,814,1,10,14:27:27,21.402,21402
900,826,2,36,18:08:31,23.920,23920
980,8,1,15,14:31:33,22.533,22533
902,828,1,11,18:23:34,25.367,25367
982,815,1,1,20:06:31,30.709,30709
872,808,1,19,14:32:59,22.182,22182
858,10,2,44,18:24:59,20.561,20561
917,822,2,26,14:36:50,35.284,35284
860,815,1,24,17:41:45,23.882,23882
842,24,3,44,17:25:07,38.823,38823
897,3,1,10,17:21:41,21.653,21653
903,815,2,30,15:57:11,23.636,23636
953,154,2,30,14:54:03,25.111,25111
957,1,1,7,13:18:15,30.343,30343
977,835,1,34,14:43:13,22.233,22233
892,1,2,38,15:00:35,24.315,24315
914,824,3,24,16:14:29,24.910,24910
