title_id,title,type,pub_id,price,advance,royalty,ytd_sales,notes,pubdate
PC1035,Но удобна ли она для пользователей?,Популярный_comp,1389,22.95,7000.0,16.0,8780.0,"Обследование программного обеспечения для наивного пользователя с акцентом на ""удобство"" каждого.",1991-06-30-T00:00:00
PC9999,Чистый этикет,Популярный_comp,1389,,,,,Надо читать компьютерные конференции.,2014/11-07T10:39:37
MC2222,Гастрономическая обработка кремниевой долины,mod_cook,877,19.99,0.0,12.0,2032.0,"Любимые рецепты быстрого, легкого и элегантного питания.",1991-06-0900:00:00
BU1032,"Руководство по базам данных ""Занятость исполнительной власти""",бизнес,1389,19.99,5000.0,10.0,4095.0,Обзор имеющихся систем баз данных с уделением особого внимания общим деловым приложениям.,1991-06-1200:00:00
TC7777,"Суши, кто-нибудь?",Trad_cook,877,14.99,8000.0,10.0,4095.0,"Подробные инструкции о том, как сделать настоящие японские суши в свободное время.",1991-06-1200:00:00
PS2091,Злость - это враг?,Психология,736,10.95,2275.0,12.0,2045.0,Тщательно изученное исследование воздействия сильных эмоций на тело.,1991-06-1500:00:00
TC4203,Пятьдесят лет в кухнях Букингемского дворца,Trad_cook,877,11.95,4000.0,14.0,15096.0,"Больше анекдотов из любимого повара Королевы, описывающих жизнь английской королевской семьи.",1991-06-1200:00:00
PS3333,Продолжительное лишение данных: четыре тематических исследования,Психология,736,19.99,2000.0,10.0,4072.0,"Что происходит, когда данные высыхают?",1991-06-1200:00:00
MC3026,Психология компьютерной кулинарии,НЕИЗБИРАТЕЛЬНОЕ,877,,,,,,2014/11-07T10:39:37
MC3021,Микроволновка Gourmet,mod_cook,877,2.99,15000.0,24.0,22246.0,"Традиционные французские рецепты гурманов, адаптированные к современной микроволновой кухне.",1991-06-18T00:00:00
PS1372,Компьютерные фобические и нефобические лица: изменения поведения,Психология,877,21.59,7000.0,10.0,375.0,"А для специалиста в этой книге исследуется различие между теми, кто ненавидит и боится компьютеров, и теми, кто не любит.",1991 - 21 ч. 00 м. -- 15 ч. 00 м.
PS7777,Эмоциональная безопасность: новый алгоритм,Психология,736,7.99,4000.0,10.0,3336.0,Защищать себя и своих близких от ненужного эмоционального стресса в современном мире.,1991-06-1200:00:00
PS2106,Жизнь без страха,Психология,736,7.0,6000.0,10.0,111.0,"Новые методы упражнения, медитации и питания, которые могут уменьшить шок ежедневного взаимодействия.",1991-10-05T00:00:00
PC8888,Секреты Силиконовой долины,Популярный_comp,1389,20.0,8000.0,10.0,4095.0,Мукракинг сообщает о крупнейших в мире производителях компьютерного оборудования и программного обеспечения.,1994-06-1200:00:00
BU1111,Готовка с компьютерами: невероятные балансовые ведомости,бизнес,1389,11.95,5000.0,10.0,3876.0,"Полезные намеки на то, как лучше использовать свои электронные ресурсы.",1991-06-0900:00:00
BU7832,Прямой разговор о компьютерах,бизнес,1389,19.99,5000.0,10.0,4095.0,"Аннотированный анализ того, что компьютеры могут для вас сделать: руководство для критически важного пользователя.",1991-06-22T00:00:00
TC3218,"Лук, лики и чеснок: приготовление секретов Средиземноморья",Trad_cook,877,20.95,7000.0,10.0,375.0,"Профилактически иллюстрированная цветом, это делает замечательную подарочную книгу для друга, ориентированного на кухню.",1991 - 21 ч. 00 м. -- 15 ч. 00 м.
BU2075,Вы можете бороться с компьютерным стрессом!,бизнес,736,2.99,10125.0,24.0,18722.0,Последние медицинские и психологические методы проживания в электронном офисе.,1991-06-30-T00:00:00
