managerid,awardid,yearid,lgid,tie,notes
larusto01m,BBWAA Manager of the year,1988,AL,,
penato01m,TSN Manager of the Year,2003,AL,,
zimmedo01m,TSN Manager of the Year,1989,NL,,
leylaji99m,TSN Manager of the Year,1992,NL,,
aloufe01m,TSN Manager of the Year,1994,NL,,
southbi01m,TSN Manager of the Year,1941,ML,,
virdobi01m,TSN Manager of the Year,1980,ML,,
meyerbi01m,TSN Manager of the Year,1948,ML,,
mcnamjo99m,BBWAA Manager of the year,1986,AL,,
girarjo01m,BBWAA Manager of the year,2006,NL,,
melvibo01m,BBWAA Manager of the year,2007,NL,,
pinielo01m,TSN Manager of the Year,2001,AL,,
mckecbi01m,TSN Manager of the Year,1940,ML,,
gardero01m,TSN Manager of the Year,2004,AL,,
sewellu01m,TSN Manager of the Year,1944,ML,,
hargrmi01m,TSN Manager of the Year,1995,AL,,
alstowa01m,TSN Manager of the Year,1955,ML,,
larusto01m,BBWAA Manager of the year,1983,AL,,
tebbebi01m,TSN Manager of the Year,1956,ML,,
bowala01m,BBWAA Manager of the year,2001,NL,,
keanejo99m,TSN Manager of the Year,1964,ML,,
durocle01m,TSN Manager of the Year,1954,ML,,
showabu99m,BBWAA Manager of the year,2004,AL,,
bochybr01m,BBWAA Manager of the year,1996,NL,,
melesa01m,TSN Manager of the Year,1965,ML,,
dierkla01m,BBWAA Manager of the year,1998,NL,,
kellyto01m,TSN Manager of the Year,1991,AL,,
alstowa01m,TSN Manager of the Year,1963,ML,,
torrejo01m,BBWAA Manager of the year,1996,AL,Да,
manueje01m,BBWAA Manager of the year,2000,AL,,
mckeoja99m,BBWAA Manager of the year,2003,NL,,
bakerdu01m,TSN Manager of the Year,2000,NL,,
guilloz01m,BBWAA Manager of the year,2005,AL,,
stengca01m,TSN Manager of the Year,1953,ML,,
robinfr02m,TSN Manager of the Year,1989,AL,,
showabu99m,BBWAA Manager of the year,1994,AL,,
alstowa01m,TSN Manager of the Year,1959,ML,,
stengca01m,TSN Manager of the Year,1958,ML,,
mcnamjo99m,TSN Manager of the Year,1986,AL,,
coxbo01m,TSN Manager of the Year,2002,NL,,
sciosmi01m,BBWAA Manager of the year,2002,AL,,
lanieha01m,BBWAA Manager of the year,1986,NL,,
mccarjo99m,TSN Manager of the Year,1938,ML,,
oatesjo01m,TSN Manager of the Year,1996,AL,,
aloufe01m,BBWAA Manager of the year,1994,NL,,
guilloz01m,TSN Manager of the Year,2005,AL,,
coxbo01m,TSN Manager of the Year,1985,ML,,
bambege01m,TSN Manager of the Year,1978,ML,,
lasorto01m,BBWAA Manager of the year,1988,NL,,
melvibo01m,TSN Manager of the Year,2007,NL,,
stanked01m,TSN Manager of the Year,1952,ML,,
stengca01m,TSN Manager of the Year,1949,ML,,
hutchfr01m,TSN Manager of the Year,1957,ML,,
martibi02m,TSN Manager of the Year,1981,ML,,
torboje01m,BBWAA Manager of the year,1990,AL,,
coxbo01m,TSN Manager of the Year,2005,NL,,
larusto01m,TSN Manager of the Year,1983,ML,,
mccarjo99m,TSN Manager of the Year,1943,ML,,
zimmedo01m,BBWAA Manager of the year,1989,NL,,
coxbo01m,BBWAA Manager of the year,2005,NL,,
blackbu02m,BBWAA Manager of the year,2010,NL,,
torboje01m,TSN Manager of the Year,1990,AL,,
johnsda02m,BBWAA Manager of the year,2012,NL,,
bakerdu01m,BBWAA Manager of the year,2000,NL,,
coxbo01m,TSN Manager of the Year,2003,NL,,
kellyto01m,BBWAA Manager of the year,1991,AL,,
dyered01m,TSN Manager of the Year,1946,ML,,
harribu01m,TSN Manager of the Year,1947,ML,,
williji03m,TSN Manager of the Year,1999,AL,,
coxbo01m,BBWAA Manager of the year,1991,NL,,
freyji99m,TSN Manager of the Year,1984,ML,,
mauchge01m,TSN Manager of the Year,1973,ML,,
pinielo01m,BBWAA Manager of the year,2008,NL,,
southbi01m,TSN Manager of the Year,1942,ML,,
tannech01m,TSN Manager of the Year,1972,ML,,
weaveea99m,TSN Manager of the Year,1977,ML,,
murtada01m,TSN Manager of the Year,1970,ML,,
leylaji99m,TSN Manager of the Year,2006,AL,,
smithma01m,TSN Manager of the Year,1968,ML,,
torrejo01m,BBWAA Manager of the year,1998,AL,,
rodgebu01m,TSN Manager of the Year,1987,NL,,
andersp01m,BBWAA Manager of the year,1987,AL,,
gibsoki01m,BBWAA Manager of the year,2011,NL,,
bauerha01m,TSN Manager of the Year,1966,ML,,
gardero01m,BBWAA Manager of the year,2010,AL,,
virdobi01m,TSN Manager of the Year,1974,ML,,
mckecbi01m,TSN Manager of the Year,1937,ML,,
larusto01m,TSN Manager of the Year,1988,AL,,
bakerdu01m,BBWAA Manager of the year,1993,NL,,
herzowh01m,BBWAA Manager of the year,1985,NL,,
lasorto01m,BBWAA Manager of the year,1983,NL,,
rolfere01m,TSN Manager of the Year,1950,ML,,
wedgeer01m,TSN Manager of the Year,2007,AL,,
showabu99m,TSN Manager of the Year,1994,AL,,
coxbo01m,BBWAA Manager of the year,1985,AL,,
willidi02m,TSN Manager of the Year,1967,ML,,
leylaji99m,BBWAA Manager of the year,1992,NL,,
houkra01m,TSN Manager of the Year,1961,ML,,
leylaji99m,TSN Manager of the Year,1990,NL,,
penato01m,BBWAA Manager of the year,2003,AL,,
robinfr02m,BBWAA Manager of the year,1989,AL,,
durocle01m,TSN Manager of the Year,1951,ML,,
leylaji99m,BBWAA Manager of the year,2006,AL,,
maddojo99m,BBWAA Manager of the year,2011,AL,,
rodgebu01m,BBWAA Manager of the year,1987,NL,,
durocle01m,TSN Manager of the Year,1939,ML,,
pinielo01m,BBWAA Manager of the year,2001,AL,,
herzowh01m,TSN Manager of the Year,1982,ML,,
pinielo01m,BBWAA Manager of the year,1995,AL,,
oatesjo01m,BBWAA Manager of the year,1996,AL,Да,
larusto01m,BBWAA Manager of the year,2002,NL,,
oatesjo01m,TSN Manager of the Year,1993,AL,,
melvibo01m,BBWAA Manager of the year,2012,AL,,
baylodo01m,BBWAA Manager of the year,1995,NL,,
andersp01m,TSN Manager of the Year,1987,AL,,
freyji99m,BBWAA Manager of the year,1984,NL,,
bluegos01m,TSN Manager of the Year,1945,ML,,
coxbo01m,TSN Manager of the Year,2004,NL,,
leylaji99m,TSN Manager of the Year,1988,NL,,
torrejo01m,TSN Manager of the Year,1998,AL,,
larusto01m,BBWAA Manager of the year,1992,AL,,
weaveea99m,TSN Manager of the Year,1979,ML,,
coxbo01m,TSN Manager of the Year,1999,NL,,
